Project Name,Package Name,Type Name,Design Smell,Cause of the Smell,Repository
com.novadox.bigdata.common.model,Constants,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: PERSON_HAWQ_TO_GEMFIRE_QUEUE; PERSON_REGION,abtin_bigdata
com.novadox.bigdata.common.model,Constants,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: PERSON_HAWQ_TO_GEMFIRE_QUEUE; PERSON_REGION,,abtin_bigdata
com.novadox.bigdata.gemfire.function,PersonFunction,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,abtin_bigdata
com.novadox.bigdata.gemfire.service,RabbitReader,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,abtin_bigdata
com.novadox.bigdata.rabbit.sender,AppConfig,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,abtin_bigdata
com.novadox.bigdata.rabbit.sender,SenderApp,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,abtin_bigdata
com.novadox.bigdata.gemfire.rabbit.client,ClientConfig,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: ,abtin_bigdata
com.novadox.bigdata.gemfire.rabbit.client,ClientConfig,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,abtin_bigdata
com.novadox.bigdata.gemfire.rabbit.client,RabbitGemfireClientRunner,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,abtin_bigdata
com.novadox.bigdata.gemfire.rabbit.client,RabbitGemfireClientRunner.RabbitReader,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: api; isRunning; consumer,abtin_bigdata
