Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
AdaptiveSystem_finalproject,com.movie.worth.controller,MovieRating,history,Magic Number,The method contains a magic number: 19,118
AdaptiveSystem_finalproject,com.movie.worth.controller,Test,sim2,Magic Number,The method contains a magic number: 2,38
AdaptiveSystem_finalproject,com.movie.worth.controller,Test,simall,Magic Number,The method contains a magic number: 3,45
AdaptiveSystem_finalproject,com.movie.worth.dao,Movies,get5Movies,Long Statement,The length of the statement "String sql="SELECT itemid` COUNT(itemid) AS count FROM `movielens`.`ratings` GROUP BY itemid ORDER BY count DESC LIMIT ? OFFSET ?;";" is 132.,47
AdaptiveSystem_finalproject,com.movie.worth.dao,Movies,get5Movies,Magic Number,The method contains a magic number: 10,47
AdaptiveSystem_finalproject,com.movie.worth.dao,Movies,getPopularMovies,Long Statement,The length of the statement "String sql="SELECT mid` mtitle from movielens.ratings`movielens.items where uid in " + "(SELECT uid from movielens.users where occupation = (SELECT occupation FROM movielens.users where uid = ?)) " + "AND rating > 3 And mid = itemid And itemid Not IN (SELECT distinct itemid FROM movielens.ratings where uid = ?) "+ "Group by itemid Order by count(rating) desc limit 10 ";" is 372.,78
AdaptiveSystem_finalproject,com.movie.worth.dao,Ratings,newRating,Long Statement,The length of the statement "int no=getJdbcTemplate().update(sql`new Object[]{rating.getuId()`rating.getItemId()`rating.getRating()`rating.getTimeStamp()});" is 127.,17
AdaptiveSystem_finalproject,com.movie.worth.dao,Ratings,updateRating,Long Statement,The length of the statement "int no=getJdbcTemplate().update(sql`new Object[]{rating.getRating()`rating.getTimeStamp()`rating.getuId()`rating.getItemId()});" is 127.,30
AdaptiveSystem_finalproject,com.movie.worth.dao,Ratings,getOneParticularRating,Long Statement,The length of the statement "String sql="SELECT `ratings`.`uid`` `ratings`.`itemid`` `ratings`.`rating` FROM `movielens`.`ratings` WHERE uid = ? AND itemid = ?";" is 132.,93
AdaptiveSystem_finalproject,com.movie.worth.dao,Ratings,getOneParticularRating,Long Statement,The length of the statement "Rating rs=(Rating)getJdbcTemplate().queryForObject(sql`new Object[]{uid`mid}`new BeanPropertyRowMapper<Rating>(Rating.class));" is 126.,93
AdaptiveSystem_finalproject,com.movie.worth.dao,Users,newUser,Long Statement,The length of the statement "String sql="INSERT INTO `movielens`.`users` (`age```gender```occupation```zipcode```username```password`)" + "VALUES(?`?`?`?`?`?)";" is 131.,15
AdaptiveSystem_finalproject,com.movie.worth.dao,Users,newUser,Long Statement,The length of the statement "int no=getJdbcTemplate().update(sql`new Object[]{user.getAge()`user.getGender()`user.getOccupation()`user.getZipcode()`user.getUsername()`user.getPassword()});" is 159.,15
AdaptiveSystem_finalproject,com.movie.worth.dao,Users,getUserByUsername,Long Statement,The length of the statement "User target=(User)getJdbcTemplate().queryForObject(sql`new Object[]{username}`new BeanPropertyRowMapper<User>(User.class));" is 123.,40
AdaptiveSystem_finalproject,com.movie.worth.service,RatingService,updateRating,Magic Number,The method contains a magic number: 1000L,28
AdaptiveSystem_finalproject,com.movie.worth.util,SlopeOne,buildDiffMatrix,Complex Method,Cyclomatic complexity of the method is 9,113
AdaptiveSystem_finalproject,com.movie.worth.util,SlopeOne,Predict,Complex Method,Cyclomatic complexity of the method is 11,152
AdaptiveSystem_finalproject,com.movie.worth.util,SlopeOne,Predict,Magic Number,The method contains a magic number: 5,152
AdaptiveSystem_finalproject,com.movie.worth.util,SlopeOne,Predict,Magic Number,The method contains a magic number: 5,152
