Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
AlexAbraham1_YUClubs,main.java.core,Server,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
AlexAbraham1_YUClubs,main.java.models,DBC,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 21 public methods
AlexAbraham1_YUClubs,main.java.models,FreeMarkerTemplateEngine,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
AlexAbraham1_YUClubs,main.java.models,JSONParser,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
AlexAbraham1_YUClubs,main.java.models,JSONParser,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: gson
AlexAbraham1_YUClubs,main.java.models,JSONTemplateEngine,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
AlexAbraham1_YUClubs,main.java.models,PasswordHash,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: PBKDF2_ALGORITHM; SALT_BYTE_SIZE; HASH_BYTE_SIZE; PBKDF2_ITERATIONS; ITERATION_INDEX; SALT_INDEX; PBKDF2_INDEX
AlexAbraham1_YUClubs,main.java.models,RSS,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
AlexAbraham1_YUClubs,main.java.models,RSS,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: name; description; link
AlexAbraham1_YUClubs,main.java.models,SecureString,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
AlexAbraham1_YUClubs,main.java.models.db_objects,President,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: User; President
AlexAbraham1_YUClubs,main.java.models.db_objects.join_tables,EventClub,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: EVENT_ID_FIELD_NAME; CLUB_ID_FIELD_NAME; id; modified_at; event; club
AlexAbraham1_YUClubs,main.java.models.db_objects.join_tables,UserClub,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: USER_ID_FIELD_NAME; CLUB_ID_FIELD_NAME; id; modified_at; user; club
AlexAbraham1_YUClubs,main.java.routes.get,CreateClubGetRoute,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
AlexAbraham1_YUClubs,main.java.routes.get,CreateEventGetRoute,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
AlexAbraham1_YUClubs,main.java.routes.get,HomeGetRoute,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
AlexAbraham1_YUClubs,main.java.routes.get,LoginGetRoute,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
AlexAbraham1_YUClubs,main.java.routes.get,LogoutGetRoute,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
AlexAbraham1_YUClubs,main.java.routes.get,ProfileGetRoute,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
AlexAbraham1_YUClubs,main.java.routes.get,SignupGetRoute,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
AlexAbraham1_YUClubs,main.java.routes.post,CreateClubPostRoute,Imperative Abstraction,The tool detected the smell in this class because it looks like that an operation is turned into a class. This class contains only the following public method: handle
AlexAbraham1_YUClubs,main.java.routes.post,CreateClubPostRoute,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
AlexAbraham1_YUClubs,main.java.routes.post,LinkUserClubPostRoute,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
AlexAbraham1_YUClubs,main.java.routes.post,LoginPostRoute,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
AlexAbraham1_YUClubs,main.java.routes.post,PasswordChangePostRoute,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
AlexAbraham1_YUClubs,main.java.routes.post,SignupPostRoute,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
