Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
AlexAbraham1_YUClubs,main.java.core,Server,main,Long Method,The method has 185 lines of code.,28
AlexAbraham1_YUClubs,main.java.core,Server,main,Long Statement,The length of the statement "Object result=UserService.createClub(user`clubName`clubDescription`clubImage`presidentName`presidentEmail`presidentPhone`presidentImage);" is 137.,28
AlexAbraham1_YUClubs,main.java.core,Server,main,Magic Number,The method contains a magic number: 8080,28
AlexAbraham1_YUClubs,main.java.core,Server,main,Magic Number,The method contains a magic number: 400,28
AlexAbraham1_YUClubs,main.java.core,Server,main,Magic Number,The method contains a magic number: 401,28
AlexAbraham1_YUClubs,main.java.core,Server,main,Magic Number,The method contains a magic number: 400,28
AlexAbraham1_YUClubs,main.java.core,Server,main,Magic Number,The method contains a magic number: 200,28
AlexAbraham1_YUClubs,main.java.core,Server,main,Magic Number,The method contains a magic number: 400,28
AlexAbraham1_YUClubs,main.java.core,Server,main,Magic Number,The method contains a magic number: 400,28
AlexAbraham1_YUClubs,main.java.core,Server,main,Magic Number,The method contains a magic number: 34,28
AlexAbraham1_YUClubs,main.java.core,Server,setupProtectedFilters,Magic Number,The method contains a magic number: 401,306
AlexAbraham1_YUClubs,main.java.models,DBC,getAllEvents,Long Statement,The length of the statement "eventList=eventList.stream().filter(e -> new Timestamp(cal.getTime().getTime()).compareTo(e.getTime()) >= 0).collect(Collectors.toList());" is 138.,188
AlexAbraham1_YUClubs,main.java.models,DBC,getAllEvents,Magic Number,The method contains a magic number: 12,188
AlexAbraham1_YUClubs,main.java.models,PasswordHash,pbkdf2,Magic Number,The method contains a magic number: 8,139
AlexAbraham1_YUClubs,main.java.models,PasswordHash,fromHex,Magic Number,The method contains a magic number: 2,156
AlexAbraham1_YUClubs,main.java.models,PasswordHash,fromHex,Magic Number,The method contains a magic number: 2,156
AlexAbraham1_YUClubs,main.java.models,PasswordHash,fromHex,Magic Number,The method contains a magic number: 2,156
AlexAbraham1_YUClubs,main.java.models,PasswordHash,fromHex,Magic Number,The method contains a magic number: 2,156
AlexAbraham1_YUClubs,main.java.models,PasswordHash,fromHex,Magic Number,The method contains a magic number: 16,156
AlexAbraham1_YUClubs,main.java.models,PasswordHash,toHex,Magic Number,The method contains a magic number: 16,172
AlexAbraham1_YUClubs,main.java.models,PasswordHash,toHex,Magic Number,The method contains a magic number: 2,172
AlexAbraham1_YUClubs,main.java.models,RSS,getFeed,Complex Conditional,The conditional expression !(name.contains("Shacharis") || name.contains("Mincha") || name.contains("Minyan")) is complex.,27
