Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
AlexAbraham1_YUClubs,main.java.core,Server,main,185,7,1,28,0,main.java.core.Server,main.java.core.Server
AlexAbraham1_YUClubs,main.java.core,Server,setupProtectedFilters,11,3,0,306,0,,
AlexAbraham1_YUClubs,main.java.core,Server,enableCORS,10,1,3,321,0,,
AlexAbraham1_YUClubs,main.java.core,Server,handle,5,1,2,323,0,,
AlexAbraham1_YUClubs,main.java.models,DBC,queryUser,9,1,2,45,0,,
AlexAbraham1_YUClubs,main.java.models,DBC,queryClub,9,1,1,55,0,,
AlexAbraham1_YUClubs,main.java.models,DBC,queryEvent,9,1,1,64,0,,
AlexAbraham1_YUClubs,main.java.models,DBC,getClub,25,2,1,73,0,main.java.models.DBC,main.java.models.DBC
AlexAbraham1_YUClubs,main.java.models,DBC,getEvent,24,2,1,105,0,main.java.models.DBC,main.java.models.DBC
AlexAbraham1_YUClubs,main.java.models,DBC,getAllUsers,19,2,0,136,0,main.java.models.DBC,main.java.models.DBC
AlexAbraham1_YUClubs,main.java.models,DBC,getAllClubs,23,2,0,160,0,main.java.models.DBC,main.java.models.DBC
AlexAbraham1_YUClubs,main.java.models,DBC,getAllEvents,26,2,0,188,0,main.java.models.DBC,main.java.models.DBC
AlexAbraham1_YUClubs,main.java.models,DBC,addUser,8,1,1,221,0,,
AlexAbraham1_YUClubs,main.java.models,DBC,addPresident,8,1,1,230,0,,
AlexAbraham1_YUClubs,main.java.models,DBC,addClub,8,1,1,238,0,,
AlexAbraham1_YUClubs,main.java.models,DBC,addEvent,8,1,1,246,0,,
AlexAbraham1_YUClubs,main.java.models,DBC,updateUser,8,1,1,254,0,,
AlexAbraham1_YUClubs,main.java.models,DBC,linkUserClub,9,1,2,265,0,,
AlexAbraham1_YUClubs,main.java.models,DBC,queryUsersForClub,20,2,1,275,0,,
AlexAbraham1_YUClubs,main.java.models,DBC,queryClubsForUser,28,3,1,301,0,main.java.models.DBC,main.java.models.DBC
AlexAbraham1_YUClubs,main.java.models,DBC,linkEventClub,9,1,2,339,0,,
AlexAbraham1_YUClubs,main.java.models,DBC,queryEventsForClub,24,3,2,349,0,main.java.models.DBC,main.java.models.DBC
AlexAbraham1_YUClubs,main.java.models,DBC,queryClubsForEvent,29,4,2,379,0,main.java.models.DBC,main.java.models.DBC
AlexAbraham1_YUClubs,main.java.models,DBC,initialize,20,1,0,416,0,main.java.models.DBC,main.java.models.DBC
AlexAbraham1_YUClubs,main.java.models,DBC,getConnectionSource,6,1,0,448,0,,
AlexAbraham1_YUClubs,main.java.models,DBC,terminate,8,1,0,458,0,,
AlexAbraham1_YUClubs,main.java.models,Email,isValidEmailAddress,11,1,1,24,0,,
AlexAbraham1_YUClubs,main.java.models,Email,sendEmail,22,1,3,35,0,main.java.models.Email,main.java.models.Email
AlexAbraham1_YUClubs,main.java.models,Email,sendEmailHTML,22,1,3,63,0,main.java.models.Email,main.java.models.Email
AlexAbraham1_YUClubs,main.java.models,Email,getSession,14,1,0,91,0,,
AlexAbraham1_YUClubs,main.java.models,Email,getPasswordAuthentication,3,1,0,101,0,,
AlexAbraham1_YUClubs,main.java.models,Email,getStringFromTemplate,9,1,1,109,0,,
AlexAbraham1_YUClubs,main.java.models,FreeMarkerTemplateEngine,FreeMarkerTemplateEngine,3,1,0,17,0,main.java.models.FreeMarkerTemplateEngine,main.java.models.FreeMarkerTemplateEngine
AlexAbraham1_YUClubs,main.java.models,FreeMarkerTemplateEngine,render,14,1,1,23,0,,
AlexAbraham1_YUClubs,main.java.models,FreeMarkerTemplateEngine,createFreemarkerConfiguration,11,1,0,40,0,,
AlexAbraham1_YUClubs,main.java.models,JSONParser,parse,7,1,1,17,0,,
AlexAbraham1_YUClubs,main.java.models,JSONTemplateEngine,render,3,1,1,10,0,,
AlexAbraham1_YUClubs,main.java.models,PasswordHash,createHash,3,1,1,54,0,,
AlexAbraham1_YUClubs,main.java.models,PasswordHash,createHash,7,1,1,66,0,main.java.models.PasswordHash,main.java.models.PasswordHash
AlexAbraham1_YUClubs,main.java.models,PasswordHash,validatePassword,3,1,2,86,0,,
AlexAbraham1_YUClubs,main.java.models,PasswordHash,validatePassword,8,1,2,99,0,main.java.models.PasswordHash,main.java.models.PasswordHash
AlexAbraham1_YUClubs,main.java.models,PasswordHash,slowEquals,5,2,2,122,0,,
AlexAbraham1_YUClubs,main.java.models,PasswordHash,pbkdf2,5,1,4,139,0,,
AlexAbraham1_YUClubs,main.java.models,PasswordHash,fromHex,7,2,1,156,0,,
AlexAbraham1_YUClubs,main.java.models,PasswordHash,toHex,7,2,1,172,0,,
AlexAbraham1_YUClubs,main.java.models,RSS,getFeed,25,3,0,27,0,,
AlexAbraham1_YUClubs,main.java.models,SecureString,get,3,1,1,9,0,,
AlexAbraham1_YUClubs,main.java.models.db_objects,Club,Club,2,1,0,32,0,,
AlexAbraham1_YUClubs,main.java.models.db_objects,Club,getId,3,1,0,34,0,,
AlexAbraham1_YUClubs,main.java.models.db_objects,Club,getModified,3,1,0,36,0,,
AlexAbraham1_YUClubs,main.java.models.db_objects,Club,getName,3,1,0,38,0,,
AlexAbraham1_YUClubs,main.java.models.db_objects,Club,setName,3,1,1,39,0,,
AlexAbraham1_YUClubs,main.java.models.db_objects,Club,getDescription,3,1,0,41,0,,
AlexAbraham1_YUClubs,main.java.models.db_objects,Club,setDescription,3,1,1,42,0,,
