Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
AlexAbraham1_YUClubs,main.java.core,Server,1,0,4,2,209,12,0,0,0.5,0,2,E:\Repositories\Cloned_Reposit\AlexAbraham1_YUClubs\src\main\java\core\Server.java,24
AlexAbraham1_YUClubs,main.java.models,DBC,10,0,22,21,352,35,0,0,0.0,7,6,E:\Repositories\Cloned_Reposit\AlexAbraham1_YUClubs\src\main\java\models\DBC.java,25
AlexAbraham1_YUClubs,main.java.models,Email,2,0,6,4,82,6,0,0,0.5,3,0,E:\Repositories\Cloned_Reposit\AlexAbraham1_YUClubs\src\main\java\models\Email.java,17
AlexAbraham1_YUClubs,main.java.models,FreeMarkerTemplateEngine,1,0,3,2,31,3,0,0,0.0,0,0,E:\Repositories\Cloned_Reposit\AlexAbraham1_YUClubs\src\main\java\models\FreeMarkerTemplateEngine.java,13
AlexAbraham1_YUClubs,main.java.models,JSONParser,1,1,1,1,10,1,0,0,0.0,0,0,E:\Repositories\Cloned_Reposit\AlexAbraham1_YUClubs\src\main\java\models\JSONParser.java,13
AlexAbraham1_YUClubs,main.java.models,JSONTemplateEngine,1,0,1,1,6,1,0,0,0.0,0,0,E:\Repositories\Cloned_Reposit\AlexAbraham1_YUClubs\src\main\java\models\JSONTemplateEngine.java,6
AlexAbraham1_YUClubs,main.java.models,PasswordHash,7,7,8,4,100,11,0,0,0.375,4,0,E:\Repositories\Cloned_Reposit\AlexAbraham1_YUClubs\src\main\java\models\PasswordHash.java,41
AlexAbraham1_YUClubs,main.java.models,RSS,3,3,1,1,30,3,0,0,0.0,0,0,E:\Repositories\Cloned_Reposit\AlexAbraham1_YUClubs\src\main\java\models\RSS.java,21
AlexAbraham1_YUClubs,main.java.models,SecureString,1,0,1,1,6,1,0,0,0.0,0,0,E:\Repositories\Cloned_Reposit\AlexAbraham1_YUClubs\src\main\java\models\SecureString.java,5
AlexAbraham1_YUClubs,main.java.models.db_objects,Club,6,0,11,11,40,11,0,0,0.6363636363636364,7,1,E:\Repositories\Cloned_Reposit\AlexAbraham1_YUClubs\src\main\java\models\db_objects\Club.java,11
AlexAbraham1_YUClubs,main.java.models.db_objects,Event,7,0,14,14,50,14,0,0,0.5714285714285714,3,0,E:\Repositories\Cloned_Reposit\AlexAbraham1_YUClubs\src\main\java\models\db_objects\Event.java,9
AlexAbraham1_YUClubs,main.java.models.db_objects,President,7,0,13,13,47,13,0,0,0.6153846153846154,5,1,E:\Repositories\Cloned_Reposit\AlexAbraham1_YUClubs\src\main\java\models\db_objects\President.java,9
AlexAbraham1_YUClubs,main.java.models.db_objects,User,6,0,11,11,40,11,0,0,0.6363636363636364,12,1,E:\Repositories\Cloned_Reposit\AlexAbraham1_YUClubs\src\main\java\models\db_objects\User.java,11
AlexAbraham1_YUClubs,main.java.models.db_objects.join_tables,EventClub,6,2,8,8,32,8,0,0,0.5,1,2,E:\Repositories\Cloned_Reposit\AlexAbraham1_YUClubs\src\main\java\models\db_objects\join_tables\EventClub.java,12
AlexAbraham1_YUClubs,main.java.models.db_objects.join_tables,UserClub,6,2,8,8,32,8,0,0,0.5,1,2,E:\Repositories\Cloned_Reposit\AlexAbraham1_YUClubs\src\main\java\models\db_objects\join_tables\UserClub.java,11
AlexAbraham1_YUClubs,main.java.routes.get,CreateClubGetRoute,0,0,1,1,9,2,0,0,-1.0,0,1,E:\Repositories\Cloned_Reposit\AlexAbraham1_YUClubs\src\main\java\routes\get\CreateClubGetRoute.java,12
AlexAbraham1_YUClubs,main.java.routes.get,CreateEventGetRoute,0,0,1,1,6,1,0,0,-1.0,0,1,E:\Repositories\Cloned_Reposit\AlexAbraham1_YUClubs\src\main\java\routes\get\CreateEventGetRoute.java,12
AlexAbraham1_YUClubs,main.java.routes.get,HomeGetRoute,0,0,1,1,10,2,0,0,-1.0,0,0,E:\Repositories\Cloned_Reposit\AlexAbraham1_YUClubs\src\main\java\routes\get\HomeGetRoute.java,8
AlexAbraham1_YUClubs,main.java.routes.get,LoginGetRoute,0,0,1,1,5,1,0,0,-1.0,0,0,E:\Repositories\Cloned_Reposit\AlexAbraham1_YUClubs\src\main\java\routes\get\LoginGetRoute.java,9
AlexAbraham1_YUClubs,main.java.routes.get,LogoutGetRoute,0,0,1,1,11,1,0,0,-1.0,0,0,E:\Repositories\Cloned_Reposit\AlexAbraham1_YUClubs\src\main\java\routes\get\LogoutGetRoute.java,8
AlexAbraham1_YUClubs,main.java.routes.get,ProfileGetRoute,0,0,1,1,8,1,0,0,-1.0,0,1,E:\Repositories\Cloned_Reposit\AlexAbraham1_YUClubs\src\main\java\routes\get\ProfileGetRoute.java,13
AlexAbraham1_YUClubs,main.java.routes.get,SignupGetRoute,0,0,1,1,5,1,0,0,-1.0,0,0,E:\Repositories\Cloned_Reposit\AlexAbraham1_YUClubs\src\main\java\routes\get\SignupGetRoute.java,8
AlexAbraham1_YUClubs,main.java.routes.post,CreateClubPostRoute,0,0,2,1,75,9,0,0,-1.0,0,5,E:\Repositories\Cloned_Reposit\AlexAbraham1_YUClubs\src\main\java\routes\post\CreateClubPostRoute.java,21
AlexAbraham1_YUClubs,main.java.routes.post,LinkUserClubPostRoute,0,0,1,1,14,1,0,0,-1.0,0,3,E:\Repositories\Cloned_Reposit\AlexAbraham1_YUClubs\src\main\java\routes\post\LinkUserClubPostRoute.java,21
AlexAbraham1_YUClubs,main.java.routes.post,LoginPostRoute,0,0,3,1,45,6,0,0,-1.0,0,3,E:\Repositories\Cloned_Reposit\AlexAbraham1_YUClubs\src\main\java\routes\post\LoginPostRoute.java,19
AlexAbraham1_YUClubs,main.java.routes.post,PasswordChangePostRoute,0,0,4,1,68,8,0,0,-1.0,0,3,E:\Repositories\Cloned_Reposit\AlexAbraham1_YUClubs\src\main\java\routes\post\PasswordChangePostRoute.java,19
AlexAbraham1_YUClubs,main.java.routes.post,SignupPostRoute,0,0,4,1,72,10,0,0,-1.0,0,4,E:\Repositories\Cloned_Reposit\AlexAbraham1_YUClubs\src\main\java\routes\post\SignupPostRoute.java,20
AlexAbraham1_YUClubs,main.java.services,EventService,0,0,4,3,57,11,0,0,-1.0,1,3,E:\Repositories\Cloned_Reposit\AlexAbraham1_YUClubs\src\main\java\services\EventService.java,16
AlexAbraham1_YUClubs,main.java.services,UserService,0,0,12,6,157,32,0,0,-1.0,1,6,E:\Repositories\Cloned_Reposit\AlexAbraham1_YUClubs\src\main\java\services\UserService.java,20
