Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
BrassGoggledCoders_FantasyKingdoms,fantasykingdoms.client.renderers.entity,RenderBarrelPrimed,doRender,Long Parameter List,The method has 6 parameters. ,13
BrassGoggledCoders_FantasyKingdoms,fantasykingdoms.client.renderers.entity,RenderBarrelPrimed,doRender,Magic Number,The method contains a magic number: 10.0F,13
BrassGoggledCoders_FantasyKingdoms,fantasykingdoms.client.renderers.entity,RenderBarrelPrimed,doRender,Magic Number,The method contains a magic number: 10.0F,13
BrassGoggledCoders_FantasyKingdoms,fantasykingdoms.client.renderers.entity,RenderBarrelPrimed,doRender,Magic Number,The method contains a magic number: 0.3F,13
BrassGoggledCoders_FantasyKingdoms,fantasykingdoms.client.renderers.entity,RenderBarrelPrimed,doRender,Magic Number,The method contains a magic number: 100.0F,13
BrassGoggledCoders_FantasyKingdoms,fantasykingdoms.client.renderers.entity,RenderBarrelPrimed,doRender,Magic Number,The method contains a magic number: 0.8F,13
BrassGoggledCoders_FantasyKingdoms,fantasykingdoms.client.renderers.entity,RenderBarrelPrimed,doRender,Magic Number,The method contains a magic number: 5,13
BrassGoggledCoders_FantasyKingdoms,fantasykingdoms.client.renderers.entity,RenderBarrelPrimed,doRender,Magic Number,The method contains a magic number: 2,13
BrassGoggledCoders_FantasyKingdoms,fantasykingdoms.client.renderers.entity,RenderBarrelPrimed,doRender,Long Parameter List,The method has 6 parameters. ,60
BrassGoggledCoders_FantasyKingdoms,fantasykingdoms.client.renderers.tile,TileRunicAnvilRenderer,renderTileEntityAt,Long Parameter List,The method has 5 parameters. ,21
BrassGoggledCoders_FantasyKingdoms,fantasykingdoms.client.renderers.tile,TileRunicAnvilRenderer,renderTileEntityAt,Magic Number,The method contains a magic number: 0.5F,21
BrassGoggledCoders_FantasyKingdoms,fantasykingdoms.client.renderers.tile,TileRunicAnvilRenderer,renderTileEntityAt,Magic Number,The method contains a magic number: 1.1F,21
