Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
BrassGoggledCoders_FantasyKingdoms,baubles.api,BaublesApi,getBaubles,14,2,1,17,0,,
BrassGoggledCoders_FantasyKingdoms,baubles.api,IBauble,getBaubleType,0,1,1,16,0,,
BrassGoggledCoders_FantasyKingdoms,baubles.api,IBauble,onWornTick,0,1,2,22,0,,
BrassGoggledCoders_FantasyKingdoms,baubles.api,IBauble,onEquipped,0,1,2,28,0,,
BrassGoggledCoders_FantasyKingdoms,baubles.api,IBauble,onUnequipped,0,1,2,33,0,,
BrassGoggledCoders_FantasyKingdoms,baubles.api,IBauble,canEquip,0,1,2,38,0,,
BrassGoggledCoders_FantasyKingdoms,baubles.api,IBauble,canUnequip,0,1,2,43,0,,
BrassGoggledCoders_FantasyKingdoms,fantasykingdoms.client,ClientProxy,init,5,1,0,15,0,fantasykingdoms.client.ClientProxy,fantasykingdoms.client.ClientProxy
BrassGoggledCoders_FantasyKingdoms,fantasykingdoms.client,ClientProxy,registerBlockRenderers,5,1,0,23,0,,
BrassGoggledCoders_FantasyKingdoms,fantasykingdoms.client,ClientProxy,registerEntityRenderers,3,1,0,30,0,,
BrassGoggledCoders_FantasyKingdoms,fantasykingdoms.client,RenderIDs,setIDs,3,1,0,22,0,,
BrassGoggledCoders_FantasyKingdoms,fantasykingdoms.client.renderers.entity,RenderBarrelPrimed,doRender,33,5,6,13,0,,
BrassGoggledCoders_FantasyKingdoms,fantasykingdoms.client.renderers.entity,RenderBarrelPrimed,doRender,3,1,6,60,0,fantasykingdoms.client.renderers.entity.RenderBarrelPrimed,fantasykingdoms.client.renderers.entity.RenderBarrelPrimed
BrassGoggledCoders_FantasyKingdoms,fantasykingdoms.client.renderers.tile,TileRunicAnvilRenderer,TileRunicAnvilRenderer,2,1,0,16,0,,
BrassGoggledCoders_FantasyKingdoms,fantasykingdoms.client.renderers.tile,TileRunicAnvilRenderer,renderTileEntityAt,10,2,5,21,0,,
BrassGoggledCoders_FantasyKingdoms,fantasykingdoms.common.blocks,BaseBlock,BaseBlock,5,1,1,32,0,,
BrassGoggledCoders_FantasyKingdoms,fantasykingdoms.common.blocks,BaseBlock,registerBlockIcons,3,1,1,39,0,,
BrassGoggledCoders_FantasyKingdoms,fantasykingdoms.common.blocks,BaseBlock,getIcon,3,1,2,46,0,,
