Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
CXgamer_MC-ticker,logging,TimeString.Types,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
CXgamer_MC-ticker,logging,TimeString.Types,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
CXgamer_MC-ticker,presentation.controllers,MainController,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: MainController; RSFrame; StatusPanel; WorldController; WorldMenu; TimeController; NBTviewer; NBTController; LayerManager; Editor; CursorPanel; SelectionPanel; SelectionManager; BlockPanel; LayerPanel; EntityManager; EntityPanel; DrawingWindow; Tool; Timebar; Toolbar; WindowMenu; FileMenu; BlockChooser; WorldListener
CXgamer_MC-ticker,presentation.controllers,MainController,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 25 public methods
CXgamer_MC-ticker,presentation.controllers,MainController.KeyDispatcher,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
CXgamer_MC-ticker,presentation.controllers,MainController.KeyDispatcher,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
CXgamer_MC-ticker,presentation.controllers,TimeController.Thready,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
CXgamer_MC-ticker,presentation.controllers,TimeController.Thready,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
CXgamer_MC-ticker,presentation.controllers,WorldController,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 25 public methods
CXgamer_MC-ticker,presentation.controllers,WorldController.TimerUpdater,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: timeTarget
CXgamer_MC-ticker,presentation.controllers,WorldController.TimerUpdater,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
CXgamer_MC-ticker,presentation.debug,EventDispatchThreadHangMonitor,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
CXgamer_MC-ticker,presentation.debug,EventDispatchThreadHangMonitor.HangChecker,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
CXgamer_MC-ticker,presentation.debug,EventDispatchThreadHangMonitor.HangChecker,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
CXgamer_MC-ticker,presentation.debug,TracingEventQueue,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
CXgamer_MC-ticker,presentation.debug,TracingRepaintManager,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
CXgamer_MC-ticker,presentation.exceptions,ImgurDeniedException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
CXgamer_MC-ticker,presentation.exceptions,SchematicException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
