Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
CXgamer_MC-ticker,logging,Log,getCallerName,Magic Number,The method contains a magic number: 4,83
CXgamer_MC-ticker,logging,TimeString,toString,Complex Method,Cyclomatic complexity of the method is 9,28
CXgamer_MC-ticker,logging,TimeString,toString,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@7c6f6a74,28
CXgamer_MC-ticker,presentation.blocks,BlockLogic,setSides,Complex Method,Cyclomatic complexity of the method is 8,68
CXgamer_MC-ticker,presentation.blocks,BlockLogic,setSides,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@a5c63f7,68
CXgamer_MC-ticker,presentation.blocks,BlockLogic,getIncreaseFromMask,Magic Number,The method contains a magic number: 8,163
CXgamer_MC-ticker,presentation.blocks,BlockLogic,getIncreaseFromMask,Magic Number,The method contains a magic number: 2,163
CXgamer_MC-ticker,presentation.blocks,BlockLogic,increaseData,Long Parameter List,The method has 5 parameters. ,174
CXgamer_MC-ticker,presentation.blocks,BlockLogic,decreaseData,Long Parameter List,The method has 5 parameters. ,184
CXgamer_MC-ticker,presentation.blocks,BlocksXML,prepareHandler,Complex Method,Cyclomatic complexity of the method is 40,25
CXgamer_MC-ticker,presentation.blocks,BlocksXML,prepareHandler,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@2d8ef723,25
CXgamer_MC-ticker,presentation.blocks,BlocksXML,prepareHandler,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@336eeaf0,25
CXgamer_MC-ticker,presentation.blocks,BlocksXML,prepareHandler,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@47c614b4,25
CXgamer_MC-ticker,presentation.blocks,BlocksXML,prepareHandler,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@2e6c9460,25
CXgamer_MC-ticker,presentation.blocks,BlocksXML,prepareHandler,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@74014961,25
CXgamer_MC-ticker,presentation.blocks,BlocksXML,prepareHandler,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@307c147b,25
CXgamer_MC-ticker,presentation.blocks,BlocksXML,prepareHandler,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@47e8c574,25
CXgamer_MC-ticker,presentation.blocks,BlocksXML,startElement,Complex Method,Cyclomatic complexity of the method is 29,35
CXgamer_MC-ticker,presentation.blocks,BlocksXML,startElement,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@2d8ef723,35
CXgamer_MC-ticker,presentation.blocks,BlocksXML,startElement,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@336eeaf0,35
CXgamer_MC-ticker,presentation.blocks,BlocksXML,startElement,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@47c614b4,35
CXgamer_MC-ticker,presentation.blocks,BlocksXML,startElement,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@2e6c9460,35
CXgamer_MC-ticker,presentation.blocks,BlocksXML,startElement,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@74014961,35
CXgamer_MC-ticker,presentation.blocks,BlocksXML,startElement,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@307c147b,35
CXgamer_MC-ticker,presentation.blocks,BlocksXML,startElement,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@47e8c574,35
CXgamer_MC-ticker,presentation.blocks,BlocksXML,endElement,Complex Method,Cyclomatic complexity of the method is 10,250
CXgamer_MC-ticker,presentation.controllers,MainController,MainController,Long Statement,The length of the statement "if (sim.constants.Constants.DEBUG_SWING) Toolkit.getDefaultToolkit().getSystemEventQueue().push(new TracingEventQueue());" is 121.,51
CXgamer_MC-ticker,presentation.controllers,MainController,setupSim,Long Statement,The length of the statement "catch ( ClassNotFoundException|NoSuchFieldException|SecurityException|InstantiationException|IllegalAccessException|NoSuchMethodException|IllegalArgumentException|InvocationTargetException|IOException e) {" is 205.,100
CXgamer_MC-ticker,presentation.controllers,MainController,openSchematic,Long Statement,The length of the statement "catch ( IOException|NoSuchAlgorithmException|IllegalAccessException|IllegalArgumentException|InvocationTargetException|InstantiationException e) {" is 146.,125
CXgamer_MC-ticker,presentation.controllers,MainController,createNewWorld,Complex Method,Cyclomatic complexity of the method is 13,143
CXgamer_MC-ticker,presentation.controllers,MainController,createNewWorld,Long Parameter List,The method has 11 parameters. ,143
CXgamer_MC-ticker,presentation.controllers,MainController,createNewWorld,Magic Number,The method contains a magic number: 2,143
CXgamer_MC-ticker,presentation.controllers,MainController,createNewWorld,Magic Number,The method contains a magic number: 3,143
CXgamer_MC-ticker,presentation.controllers,MainController,createNewWorld,Magic Number,The method contains a magic number: 8,143
CXgamer_MC-ticker,presentation.controllers,MainController,createNewWorld,Magic Number,The method contains a magic number: 2,143
CXgamer_MC-ticker,presentation.controllers,MainController,createNewWorld,Magic Number,The method contains a magic number: 3,143
CXgamer_MC-ticker,presentation.controllers,MainController,createNewWorld,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@d6d867d,143
CXgamer_MC-ticker,presentation.controllers,MainController,createNewWorld,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@73599cf0,143
CXgamer_MC-ticker,presentation.controllers,MainController,createNewWorld,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@2356912c,143
CXgamer_MC-ticker,presentation.controllers,SimController,setBlock,Long Parameter List,The method has 6 parameters. ,107
