Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
CXgamer_MC-ticker,logging,ILogger,print,0,1,1,5,0,,
CXgamer_MC-ticker,logging,Log,i,3,1,1,21,0,logging.Log,logging.Log
CXgamer_MC-ticker,logging,Log,w,3,1,1,22,0,logging.Log,logging.Log
CXgamer_MC-ticker,logging,Log,e,3,1,1,23,0,logging.Log,logging.Log
CXgamer_MC-ticker,logging,Log,d,3,1,1,24,0,logging.Log,logging.Log
CXgamer_MC-ticker,logging,Log,addMsg,13,7,2,26,0,logging.Log,logging.Log
CXgamer_MC-ticker,logging,Log,getMessages,5,2,0,56,0,,
CXgamer_MC-ticker,logging,Log,setBufferring,4,2,1,66,0,,
CXgamer_MC-ticker,logging,Log,setLogger,3,1,1,75,0,,
CXgamer_MC-ticker,logging,Log,setTest,3,1,1,79,0,,
CXgamer_MC-ticker,logging,Log,getCallerName,4,1,0,83,0,,
CXgamer_MC-ticker,logging,Log,printEntireStackTraceAndBeDoneWithIt,4,2,0,88,0,,
CXgamer_MC-ticker,logging,Log,printEntireStackTraceAndBeDoneWithIt,5,2,1,94,0,,
CXgamer_MC-ticker,logging,TimeString,TimeString,5,1,3,22,0,,
CXgamer_MC-ticker,logging,TimeString,toString,0,9,0,28,0,logging.TimeString,logging.TimeString
CXgamer_MC-ticker,logging,TimeString,timeStamp,5,1,0,102,0,,
CXgamer_MC-ticker,presentation.blocks,BlockCategory,BlockCategory,3,1,0,11,0,,
CXgamer_MC-ticker,presentation.blocks,BlockCategory,BlockCategory,4,1,1,15,0,,
CXgamer_MC-ticker,presentation.blocks,BlockCategory,addBlock,3,1,1,21,0,,
CXgamer_MC-ticker,presentation.blocks,BlockCategory,getName,3,1,0,25,0,,
CXgamer_MC-ticker,presentation.blocks,BlockCategory,getBlocks,3,1,0,29,0,,
CXgamer_MC-ticker,presentation.blocks,BlockLogic,BlockLogic,3,1,1,23,0,,
CXgamer_MC-ticker,presentation.blocks,BlockLogic,BlockLogic,5,1,2,27,0,,
CXgamer_MC-ticker,presentation.blocks,BlockLogic,setId,3,1,1,34,0,,
CXgamer_MC-ticker,presentation.blocks,BlockLogic,setName,3,1,1,38,0,,
CXgamer_MC-ticker,presentation.blocks,BlockLogic,setIconData,3,1,1,42,0,,
CXgamer_MC-ticker,presentation.blocks,BlockLogic,setIconOrientation,3,1,1,46,0,,
CXgamer_MC-ticker,presentation.blocks,BlockLogic,setRotationMask,5,1,1,50,0,presentation.blocks.BlockLogic,presentation.blocks.BlockLogic
CXgamer_MC-ticker,presentation.blocks,BlockLogic,setRotationMin,3,1,1,56,0,,
CXgamer_MC-ticker,presentation.blocks,BlockLogic,setRotationMax,3,1,1,60,0,,
CXgamer_MC-ticker,presentation.blocks,BlockLogic,setHidden,3,1,1,64,0,,
CXgamer_MC-ticker,presentation.blocks,BlockLogic,setSides,0,8,1,68,0,,
CXgamer_MC-ticker,presentation.blocks,BlockLogic,getId,3,1,0,125,0,,
CXgamer_MC-ticker,presentation.blocks,BlockLogic,getName,3,1,0,129,0,,
CXgamer_MC-ticker,presentation.blocks,BlockLogic,getIconData,3,1,0,133,0,,
CXgamer_MC-ticker,presentation.blocks,BlockLogic,getIconOrientation,3,1,0,137,0,,
CXgamer_MC-ticker,presentation.blocks,BlockLogic,isHidden,3,1,0,141,0,,
