Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
CXgamer_MC-ticker,logging,ILogger,0,0,1,1,3,1,0,0,-1.0,1,0,E:\Repositories\Cloned_Reposit\CXgamer_MC-ticker\src\logging\ILogger.java,3
CXgamer_MC-ticker,logging,Log,5,0,12,10,60,22,0,0,0.25,41,3,E:\Repositories\Cloned_Reposit\CXgamer_MC-ticker\src\logging\Log.java,10
CXgamer_MC-ticker,logging,TimeString,3,0,3,2,0,11,0,0,0.0,1,1,E:\Repositories\Cloned_Reposit\CXgamer_MC-ticker\src\logging\TimeString.java,9
CXgamer_MC-ticker,logging,TimeString.Types,0,0,0,0,1,0,0,0,-1.0,0,0,E:\Repositories\Cloned_Reposit\CXgamer_MC-ticker\src\logging\TimeString.java,15
CXgamer_MC-ticker,presentation.blocks,BlockCategory,2,0,5,4,20,5,0,0,0.4,2,1,E:\Repositories\Cloned_Reposit\CXgamer_MC-ticker\src\presentation\blocks\BlockCategory.java,6
CXgamer_MC-ticker,presentation.blocks,BlockLogic,10,0,22,19,0,36,0,0,0.18181818181818182,4,3,E:\Repositories\Cloned_Reposit\CXgamer_MC-ticker\src\presentation\blocks\BlockLogic.java,7
CXgamer_MC-ticker,presentation.blocks,BlockSet,3,0,8,7,32,9,0,0,0.25,1,2,E:\Repositories\Cloned_Reposit\CXgamer_MC-ticker\src\presentation\blocks\BlockSet.java,7
CXgamer_MC-ticker,presentation.blocks,BlocksXML,7,0,6,5,0,84,0,0,0.0,1,5,E:\Repositories\Cloned_Reposit\CXgamer_MC-ticker\src\presentation\blocks\BlocksXML.java,17
CXgamer_MC-ticker,presentation.controllers,BlockController,1,0,3,3,24,6,0,0,0.0,4,2,E:\Repositories\Cloned_Reposit\CXgamer_MC-ticker\src\presentation\controllers\BlockController.java,19
CXgamer_MC-ticker,presentation.controllers,MainController,12,0,29,25,0,49,0,0,0.13793103448275862,25,17,E:\Repositories\Cloned_Reposit\CXgamer_MC-ticker\src\presentation\controllers\MainController.java,30
CXgamer_MC-ticker,presentation.controllers,MainController.KeyDispatcher,0,0,0,0,9,0,0,0,-1.0,0,0,E:\Repositories\Cloned_Reposit\CXgamer_MC-ticker\src\presentation\controllers\MainController.java,331
CXgamer_MC-ticker,presentation.controllers,NBTController,2,0,2,2,12,2,0,0,0.0,1,4,E:\Repositories\Cloned_Reposit\CXgamer_MC-ticker\src\presentation\controllers\NBTController.java,6
CXgamer_MC-ticker,presentation.controllers,SimController,3,0,18,18,195,25,0,0,0.0,9,3,E:\Repositories\Cloned_Reposit\CXgamer_MC-ticker\src\presentation\controllers\SimController.java,17
CXgamer_MC-ticker,presentation.controllers,TileController,2,0,10,3,0,24,0,0,0.0,3,7,E:\Repositories\Cloned_Reposit\CXgamer_MC-ticker\src\presentation\controllers\TileController.java,24
CXgamer_MC-ticker,presentation.controllers,TimeController,13,0,13,10,180,26,0,0,0.0,4,9,E:\Repositories\Cloned_Reposit\CXgamer_MC-ticker\src\presentation\controllers\TimeController.java,10
CXgamer_MC-ticker,presentation.controllers,TimeController.Thready,0,0,0,0,42,0,0,0,-1.0,0,1,E:\Repositories\Cloned_Reposit\CXgamer_MC-ticker\src\presentation\controllers\TimeController.java,209
CXgamer_MC-ticker,presentation.controllers,WorldController,17,0,29,25,225,46,0,0,0.0,19,23,E:\Repositories\Cloned_Reposit\CXgamer_MC-ticker\src\presentation\controllers\WorldController.java,31
CXgamer_MC-ticker,presentation.controllers,WorldController.TimerUpdater,1,0,0,0,21,0,0,0,-1.0,0,0,E:\Repositories\Cloned_Reposit\CXgamer_MC-ticker\src\presentation\controllers\WorldController.java,359
CXgamer_MC-ticker,presentation.debug,EventDispatchThreadHangMonitor,7,0,7,1,99,9,0,0,0.42857142857142855,0,0,E:\Repositories\Cloned_Reposit\CXgamer_MC-ticker\src\presentation\debug\EventDispatchThreadHangMonitor.java,8
CXgamer_MC-ticker,presentation.debug,EventDispatchThreadHangMonitor.HangChecker,0,0,0,0,33,0,0,0,-1.0,0,0,E:\Repositories\Cloned_Reposit\CXgamer_MC-ticker\src\presentation\debug\EventDispatchThreadHangMonitor.java,48
CXgamer_MC-ticker,presentation.debug,TracingEventQueue,1,0,2,1,15,2,0,0,0.0,0,1,E:\Repositories\Cloned_Reposit\CXgamer_MC-ticker\src\presentation\debug\TracingEventQueue.java,5
CXgamer_MC-ticker,presentation.debug,TracingEventQueueThreadJMX,3,0,5,4,83,17,0,0,0.0,1,1,E:\Repositories\Cloned_Reposit\CXgamer_MC-ticker\src\presentation\debug\TracingEventQueueThreadJMX.java,15
CXgamer_MC-ticker,presentation.debug,TracingRepaintManager,0,0,1,1,21,3,0,0,-1.0,0,0,E:\Repositories\Cloned_Reposit\CXgamer_MC-ticker\src\presentation\debug\TracingRepaintManager.java,5
CXgamer_MC-ticker,presentation.exceptions,ImgurDeniedException,0,0,1,1,5,1,0,0,-1.0,0,0,E:\Repositories\Cloned_Reposit\CXgamer_MC-ticker\src\presentation\exceptions\ImgurDeniedException.java,3
CXgamer_MC-ticker,presentation.exceptions,SchematicException,1,0,1,1,6,1,0,0,0.0,0,0,E:\Repositories\Cloned_Reposit\CXgamer_MC-ticker\src\presentation\exceptions\SchematicException.java,3
CXgamer_MC-ticker,presentation.exceptions,UnhandledBlockDataException,1,0,1,1,6,1,0,0,0.0,0,1,E:\Repositories\Cloned_Reposit\CXgamer_MC-ticker\src\presentation\exceptions\UnhandledBlockDataException.java,5
CXgamer_MC-ticker,presentation.exceptions,UnhandledBlockIdException,1,0,1,1,6,1,0,0,0.0,0,1,E:\Repositories\Cloned_Reposit\CXgamer_MC-ticker\src\presentation\exceptions\UnhandledBlockIdException.java,5
CXgamer_MC-ticker,presentation.gui,BlockChooser,5,0,2,1,49,7,0,0,0.0,1,4,E:\Repositories\Cloned_Reposit\CXgamer_MC-ticker\src\presentation\gui\BlockChooser.java,15
CXgamer_MC-ticker,presentation.gui,LogPane,1,0,3,2,23,3,0,0,0.0,1,1,E:\Repositories\Cloned_Reposit\CXgamer_MC-ticker\src\presentation\gui\LogPane.java,9
CXgamer_MC-ticker,presentation.gui,RSFrame,7,0,7,6,64,7,0,0,0.0,1,12,E:\Repositories\Cloned_Reposit\CXgamer_MC-ticker\src\presentation\gui\RSFrame.java,20
CXgamer_MC-ticker,presentation.gui,TreeUtil,0,0,3,2,32,9,0,0,-1.0,1,0,E:\Repositories\Cloned_Reposit\CXgamer_MC-ticker\src\presentation\gui\TreeUtil.java,9
CXgamer_MC-ticker,presentation.gui,WorldListener,0,0,2,2,4,2,0,0,-1.0,1,1,E:\Repositories\Cloned_Reposit\CXgamer_MC-ticker\src\presentation\gui\WorldListener.java,5
CXgamer_MC-ticker,presentation.gui.choosers,MCPFolderChooser,1,0,3,2,16,3,0,0,0.0,0,0,E:\Repositories\Cloned_Reposit\CXgamer_MC-ticker\src\presentation\gui\choosers\MCPFolderChooser.java,7
CXgamer_MC-ticker,presentation.gui.choosers,MinecraftFolderChooser,1,0,3,2,16,3,0,0,0.0,1,0,E:\Repositories\Cloned_Reposit\CXgamer_MC-ticker\src\presentation\gui\choosers\MinecraftFolderChooser.java,8
CXgamer_MC-ticker,presentation.gui.choosers,SchematicChooser,1,0,5,4,23,5,0,0,0.6,2,0,E:\Repositories\Cloned_Reposit\CXgamer_MC-ticker\src\presentation\gui\choosers\SchematicChooser.java,7
CXgamer_MC-ticker,presentation.gui.desktop,BoundedDesktopManager,0,0,4,3,33,11,0,0,-1.0,0,0,E:\Repositories\Cloned_Reposit\CXgamer_MC-ticker\src\presentation\gui\desktop\BoundedDesktopManager.java,6
CXgamer_MC-ticker,presentation.gui.desktop,DesktopPane,2,0,2,1,15,2,0,0,0.0,1,0,E:\Repositories\Cloned_Reposit\CXgamer_MC-ticker\src\presentation\gui\desktop\DesktopPane.java,6
CXgamer_MC-ticker,presentation.gui.editor.block,BlockPanel,2,0,7,2,115,20,0,0,0.0,1,6,E:\Repositories\Cloned_Reposit\CXgamer_MC-ticker\src\presentation\gui\editor\block\BlockPanel.java,16
CXgamer_MC-ticker,presentation.gui.editor.block,RedstoneWire,4,0,3,1,88,22,0,0,0.0,1,2,E:\Repositories\Cloned_Reposit\CXgamer_MC-ticker\src\presentation\gui\editor\block\RedstoneWire.java,11
CXgamer_MC-ticker,presentation.gui.editor,CursorPanel,3,0,7,4,53,10,0,1,0.0,1,6,E:\Repositories\Cloned_Reposit\CXgamer_MC-ticker\src\presentation\gui\editor\CursorPanel.java,14
CXgamer_MC-ticker,presentation.gui.editor,Editor,18,3,18,16,213,22,0,0,0.0,13,9,E:\Repositories\Cloned_Reposit\CXgamer_MC-ticker\src\presentation\gui\editor\Editor.java,20
CXgamer_MC-ticker,presentation.gui.editor,Editor.MouseMoveHandler,0,0,0,0,11,0,0,0,-1.0,0,0,E:\Repositories\Cloned_Reposit\CXgamer_MC-ticker\src\presentation\gui\editor\Editor.java,268
CXgamer_MC-ticker,presentation.gui.editor,Editor.MouseHandler,0,0,0,0,12,0,0,0,-1.0,0,0,E:\Repositories\Cloned_Reposit\CXgamer_MC-ticker\src\presentation\gui\editor\Editor.java,284
CXgamer_MC-ticker,presentation.gui.editor,EditorSubComponent,7,0,3,0,72,12,1,0,0.0,0,3,E:\Repositories\Cloned_Reposit\CXgamer_MC-ticker\src\presentation\gui\editor\EditorSubComponent.java,10
CXgamer_MC-ticker,presentation.gui.editor.entity,EntityManager,4,0,8,5,95,17,0,0,0.0,1,5,E:\Repositories\Cloned_Reposit\CXgamer_MC-ticker\src\presentation\gui\editor\entity\EntityManager.java,10
CXgamer_MC-ticker,presentation.gui.editor.entity,EntityPanel,3,0,6,4,108,26,0,0,0.0,1,6,E:\Repositories\Cloned_Reposit\CXgamer_MC-ticker\src\presentation\gui\editor\entity\EntityPanel.java,16
