Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
Complexible_stardog-spring,com.stardog.ext.spring,DataSourceFactoryBean,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Complexible_stardog-spring,com.stardog.ext.spring,DataSourceFactoryBean,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 41 public methods
Complexible_stardog-spring,com.stardog.ext.spring,OptionParser,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Complexible_stardog-spring,com.stardog.ext.spring,SnarlTemplate,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 28 public methods
Complexible_stardog-spring,com.stardog.ext.spring,CCSupplier,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Complexible_stardog-spring,com.stardog.ext.spring,EmbeddedProvider,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Complexible_stardog-spring,com.stardog.ext.spring,ServerProvider,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Complexible_stardog-spring,com.stardog.ext.spring,TestDataSourceFactory,Feature Envy,The tool detected a instance of this smell because testAsk is more interested in members of the type: SnarlTemplate
Complexible_stardog-spring,com.stardog.ext.spring,TestDataSourceFactory,Feature Envy,The tool detected a instance of this smell because testSetSnarlConnectionReasoning is more interested in members of the type: SnarlTemplate
Complexible_stardog-spring,com.stardog.ext.spring,TestDataSourceFactory,Feature Envy,The tool detected a instance of this smell because testAddUriUriString is more interested in members of the type: SnarlTemplate
Complexible_stardog-spring,com.stardog.ext.spring,TestDataSourceFactory,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 48 public methods
Complexible_stardog-spring,com.stardog.ext.spring,EmbeddedProvider,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Complexible_stardog-spring,com.stardog.ext.spring.mapper,SimpleRowMapper,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Complexible_stardog-spring,com.stardog.ext.spring.mapper,SingleMapper,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Complexible_stardog-spring,com.stardog.ext.spring.batch,TestBatchCallback,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Complexible_stardog-spring,com.stardog.ext.spring.batch,TestRowMapper,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
