Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
Complexible_stardog-spring,com.stardog.ext.spring,AdderCallback,add,0,1,1,32,0,,
Complexible_stardog-spring,com.stardog.ext.spring,ConnectionCallback,doWithConnection,0,1,1,32,0,,
Complexible_stardog-spring,com.stardog.ext.spring,DataImporter,getFormat,3,1,0,52,0,,
Complexible_stardog-spring,com.stardog.ext.spring,DataImporter,setFormat,3,1,1,59,0,,
Complexible_stardog-spring,com.stardog.ext.spring,DataImporter,getSnarlTemplate,3,1,0,66,0,,
Complexible_stardog-spring,com.stardog.ext.spring,DataImporter,setSnarlTemplate,3,1,1,73,0,,
Complexible_stardog-spring,com.stardog.ext.spring,DataImporter,getInputFiles,3,1,0,80,0,,
Complexible_stardog-spring,com.stardog.ext.spring,DataImporter,setInputFiles,3,1,1,87,0,,
Complexible_stardog-spring,com.stardog.ext.spring,DataImporter,inputFile,19,1,2,94,0,,
Complexible_stardog-spring,com.stardog.ext.spring,DataImporter,doWithConnection,14,1,1,105,0,,
Complexible_stardog-spring,com.stardog.ext.spring,DataImporter,afterPropertiesSet,24,3,0,122,0,,
Complexible_stardog-spring,com.stardog.ext.spring,DataImporter,doWithConnection,16,2,1,134,0,,
Complexible_stardog-spring,com.stardog.ext.spring,DataSource,DataSource,2,1,0,51,0,,
Complexible_stardog-spring,com.stardog.ext.spring,DataSource,DataSource,4,1,1,53,0,,
Complexible_stardog-spring,com.stardog.ext.spring,DataSource,DataSource,4,1,2,58,0,,
Complexible_stardog-spring,com.stardog.ext.spring,DataSource,afterPropertiesSet,7,2,0,63,0,,
Complexible_stardog-spring,com.stardog.ext.spring,DataSource,setConnectionReasoning,7,1,1,71,0,com.stardog.ext.spring.DataSource,com.stardog.ext.spring.DataSource
Complexible_stardog-spring,com.stardog.ext.spring,DataSource,getConnection,13,2,0,79,0,,
Complexible_stardog-spring,com.stardog.ext.spring,DataSource,releaseConnection,9,2,1,100,0,,
Complexible_stardog-spring,com.stardog.ext.spring,DataSource,destroyPool,9,2,0,114,0,,
Complexible_stardog-spring,com.stardog.ext.spring,DataSource,destroy,5,1,0,124,0,com.stardog.ext.spring.DataSource,com.stardog.ext.spring.DataSource
Complexible_stardog-spring,com.stardog.ext.spring,DataSourceFactoryBean,getObject,3,1,0,109,0,,
Complexible_stardog-spring,com.stardog.ext.spring,DataSourceFactoryBean,getObjectType,3,1,0,114,0,,
Complexible_stardog-spring,com.stardog.ext.spring,DataSourceFactoryBean,isSingleton,3,1,0,119,0,,
Complexible_stardog-spring,com.stardog.ext.spring,DataSourceFactoryBean,destroy,5,1,0,124,0,,
Complexible_stardog-spring,com.stardog.ext.spring,DataSourceFactoryBean,afterPropertiesSet,34,7,0,134,0,,
Complexible_stardog-spring,com.stardog.ext.spring,DataSourceFactoryBean,getUrl,3,1,0,202,0,,
Complexible_stardog-spring,com.stardog.ext.spring,DataSourceFactoryBean,setUrl,3,1,1,209,0,,
Complexible_stardog-spring,com.stardog.ext.spring,DataSourceFactoryBean,getReasoningType,3,1,0,216,0,,
Complexible_stardog-spring,com.stardog.ext.spring,DataSourceFactoryBean,setReasoningType,3,1,1,223,0,,
Complexible_stardog-spring,com.stardog.ext.spring,DataSourceFactoryBean,getTo,3,1,0,230,0,,
Complexible_stardog-spring,com.stardog.ext.spring,DataSourceFactoryBean,setTo,3,1,1,237,0,,
Complexible_stardog-spring,com.stardog.ext.spring,DataSourceFactoryBean,getConnectionProperties,3,1,0,244,0,,
Complexible_stardog-spring,com.stardog.ext.spring,DataSourceFactoryBean,setConnectionProperties,3,1,1,251,0,,
Complexible_stardog-spring,com.stardog.ext.spring,DataSourceFactoryBean,getBlockCapacityTime,3,1,0,258,0,,
Complexible_stardog-spring,com.stardog.ext.spring,DataSourceFactoryBean,setBlockCapacityTime,3,1,1,265,0,,
Complexible_stardog-spring,com.stardog.ext.spring,DataSourceFactoryBean,getBlockCapacityTimeUnit,3,1,0,272,0,,
Complexible_stardog-spring,com.stardog.ext.spring,DataSourceFactoryBean,setBlockCapacityTimeUnit,3,1,1,279,0,,
Complexible_stardog-spring,com.stardog.ext.spring,DataSourceFactoryBean,getExpirationTime,3,1,0,286,0,,
Complexible_stardog-spring,com.stardog.ext.spring,DataSourceFactoryBean,setExpirationTime,3,1,1,293,0,,
Complexible_stardog-spring,com.stardog.ext.spring,DataSourceFactoryBean,getExpirationTimeUnit,3,1,0,300,0,,
Complexible_stardog-spring,com.stardog.ext.spring,DataSourceFactoryBean,setExpirationTimeUnit,3,1,1,307,0,,
Complexible_stardog-spring,com.stardog.ext.spring,DataSourceFactoryBean,isFailAtCapacity,3,1,0,314,0,,
Complexible_stardog-spring,com.stardog.ext.spring,DataSourceFactoryBean,setFailAtCapacity,3,1,1,321,0,,
Complexible_stardog-spring,com.stardog.ext.spring,DataSourceFactoryBean,isGrowAtCapacity,3,1,0,328,0,,
Complexible_stardog-spring,com.stardog.ext.spring,DataSourceFactoryBean,setGrowAtCapacity,3,1,1,335,0,,
Complexible_stardog-spring,com.stardog.ext.spring,DataSourceFactoryBean,getMaxIdle,3,1,0,342,0,,
Complexible_stardog-spring,com.stardog.ext.spring,DataSourceFactoryBean,setMaxIdle,3,1,1,349,0,,
Complexible_stardog-spring,com.stardog.ext.spring,DataSourceFactoryBean,getMaxPool,3,1,0,356,0,,
Complexible_stardog-spring,com.stardog.ext.spring,DataSourceFactoryBean,setMaxPool,3,1,1,363,0,,
Complexible_stardog-spring,com.stardog.ext.spring,DataSourceFactoryBean,getMinPool,3,1,0,370,0,,
Complexible_stardog-spring,com.stardog.ext.spring,DataSourceFactoryBean,setMinPool,3,1,1,377,0,,
Complexible_stardog-spring,com.stardog.ext.spring,DataSourceFactoryBean,isNoExpiration,3,1,0,384,0,,
Complexible_stardog-spring,com.stardog.ext.spring,DataSourceFactoryBean,setNoExpiration,3,1,1,391,0,,
Complexible_stardog-spring,com.stardog.ext.spring,DataSourceFactoryBean,getUsername,3,1,0,398,0,,
Complexible_stardog-spring,com.stardog.ext.spring,DataSourceFactoryBean,setUsername,3,1,1,405,0,,
Complexible_stardog-spring,com.stardog.ext.spring,DataSourceFactoryBean,getPassword,3,1,0,412,0,,
Complexible_stardog-spring,com.stardog.ext.spring,DataSourceFactoryBean,setPassword,3,1,1,419,0,,
Complexible_stardog-spring,com.stardog.ext.spring,DataSourceFactoryBean,getProvider,3,1,0,427,0,,
Complexible_stardog-spring,com.stardog.ext.spring,DataSourceFactoryBean,setProvider,3,1,1,431,0,,
Complexible_stardog-spring,com.stardog.ext.spring,DataSourceFactoryBean,getSupplier,3,1,0,435,0,,
Complexible_stardog-spring,com.stardog.ext.spring,DataSourceFactoryBean,setSupplier,3,1,1,439,0,,
Complexible_stardog-spring,com.stardog.ext.spring,GetterCallback,processStatement,0,1,1,32,0,,
Complexible_stardog-spring,com.stardog.ext.spring,GraphMapper,mapRow,0,1,1,34,0,,
Complexible_stardog-spring,com.stardog.ext.spring,OptionParser,OptionParser,3,1,0,28,0,,
Complexible_stardog-spring,com.stardog.ext.spring,OptionParser,registerOption,3,1,2,32,0,,
Complexible_stardog-spring,com.stardog.ext.spring,OptionParser,getValue,16,3,2,42,0,,
Complexible_stardog-spring,com.stardog.ext.spring,OptionParser,getOptions,11,4,1,72,0,,
Complexible_stardog-spring,com.stardog.ext.spring,Provider,execute,0,1,3,33,0,,
Complexible_stardog-spring,com.stardog.ext.spring,Provider,execute,0,1,4,34,0,,
Complexible_stardog-spring,com.stardog.ext.spring,RemoverCallback,remove,0,1,1,32,0,,
Complexible_stardog-spring,com.stardog.ext.spring,RowMapper,mapRow,0,1,1,34,0,,
Complexible_stardog-spring,com.stardog.ext.spring,SnarlTemplate,getDataSource,3,1,0,57,0,,
Complexible_stardog-spring,com.stardog.ext.spring,SnarlTemplate,setDataSource,3,1,1,64,0,,
Complexible_stardog-spring,com.stardog.ext.spring,SnarlTemplate,execute,12,1,1,71,0,,
Complexible_stardog-spring,com.stardog.ext.spring,SnarlTemplate,remove,27,5,4,95,0,,
Complexible_stardog-spring,com.stardog.ext.spring,SnarlTemplate,remove,11,1,1,127,0,,
Complexible_stardog-spring,com.stardog.ext.spring,SnarlTemplate,singleton,25,4,4,143,0,,
Complexible_stardog-spring,com.stardog.ext.spring,SnarlTemplate,doWithGetter,22,4,3,172,0,,
Complexible_stardog-spring,com.stardog.ext.spring,SnarlTemplate,doWithAdder,13,1,1,212,0,,
Complexible_stardog-spring,com.stardog.ext.spring,SnarlTemplate,doWithRemover,13,1,1,233,0,,
Complexible_stardog-spring,com.stardog.ext.spring,SnarlTemplate,construct,3,1,2,254,0,,
Complexible_stardog-spring,com.stardog.ext.spring,SnarlTemplate,construct,28,5,3,258,0,,
