Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
Complexible_stardog-spring,com.stardog.ext.spring,TestDataSourceFactory,testGetObjectSingleton,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
Complexible_stardog-spring,com.stardog.ext.spring,TestDataSourceFactory,testSnarlTemplate,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
Complexible_stardog-spring,com.stardog.ext.spring,TestDataSourceFactory,testSimpleRowMapper,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
Complexible_stardog-spring,com.stardog.ext.spring,TestDataSourceFactory,testRemoveGraph,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
Complexible_stardog-spring,com.stardog.ext.spring,TestDataSourceFactory,testQueryForObject,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
Complexible_stardog-spring,com.stardog.ext.spring,TestDataSourceFactory,testQueryWithParams,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
Complexible_stardog-spring,com.stardog.ext.spring,TestDataSourceFactory,testLegacyQueryWithParams,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
Complexible_stardog-spring,com.stardog.ext.spring,TestDataSourceFactory,testQueryForObjectWithParams,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
Complexible_stardog-spring,com.stardog.ext.spring,TestDataSourceFactory,testUpdateWithParams,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
Complexible_stardog-spring,com.stardog.ext.spring,TestDataSourceFactory,testAsk,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Complexible_stardog-spring,com.stardog.ext.spring,TestDataSourceFactory,testDoWithGetter,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
Complexible_stardog-spring,com.stardog.ext.spring,TestDataSourceFactory,testRemoveStatement,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
Complexible_stardog-spring,com.stardog.ext.spring,TestDataSourceFactory,testSingleton,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
Complexible_stardog-spring,com.stardog.ext.spring,TestDataSourceFactory,testSetSnarlConnectionReasoning,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
Complexible_stardog-spring,com.stardog.ext.spring,TestDataSourceFactory,testAddUriUriString,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
Complexible_stardog-spring,com.stardog.ext.spring,TestDataSourceFactory,testAddUriUriString,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
Complexible_stardog-spring,com.stardog.ext.spring.utils,TestTypeConverter,testAsLiteralObject,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 8
Complexible_stardog-spring,com.stardog.ext.spring.batch,TestSpringBatch,testRead,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
