Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
DanyTlaw_Haggis,(default package),Card,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
DanyTlaw_Haggis,(default package),Card,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 22 public methods
DanyTlaw_Haggis,(default package),Chat,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
DanyTlaw_Haggis,(default package),Client,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
DanyTlaw_Haggis,(default package),Client,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: login; socket; out; in; inputObject; lblText; client_ID; game; chat
DanyTlaw_Haggis,(default package),Deck,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
DanyTlaw_Haggis,(default package),Deck,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: grau2; grau3; grau4; grau5; grau6; grau7; grau8; grau9; grau10; gelb2; gelb3; gelb4; gelb5; gelb6; gelb7; gelb8; gelb9; gelb10; orange2; orange3; orange4; orange5; orange6; orange7; orange8; orange9; orange10; rot2; rot3; rot4; rot5; rot6; rot7; rot8; rot9; rot10; gruen2; gruen3; gruen4; gruen5; gruen6; gruen7; gruen8; gruen9; gruen10; bube1; dame1; koenig1; bube2; dame2; koenig2; bube3; dame3; koenig3; spieler1; deck; haeggis; haende; handKarten1; handKarten2; kartenBreite; kartenHoehe
DanyTlaw_Haggis,(default package),EigenPanel,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
DanyTlaw_Haggis,(default package),EigenPanel,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: imageHintergrund; pfad
DanyTlaw_Haggis,(default package),GameLoop,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
DanyTlaw_Haggis,(default package),GameLoop,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: socket; out; in; inputObject; client_ID; user_ID; userlist; outlist
DanyTlaw_Haggis,(default package),Gameobjekt,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
DanyTlaw_Haggis,(default package),Gameobjekt,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 21 public methods
DanyTlaw_Haggis,(default package),LoginGUI,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
DanyTlaw_Haggis,(default package),LoginGUI,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: out; in; name; jbtStart; txtName; txtPunkte; background; lblName; lblPunkte; lblHolder1; lblHolder2; lblHolder3; lblHolder4; pfad; tisch
DanyTlaw_Haggis,(default package),Server,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
DanyTlaw_Haggis,(default package),Server,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: userThread
DanyTlaw_Haggis,(default package),Spieler,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
DanyTlaw_Haggis,(default package),Spieler,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: spielerName; spieler_ID; handKarten; punkte; amZug; passen; siegesPunkte; sieger; wette; gewettet; gewonneneKarten
DanyTlaw_Haggis,(default package),Spieler,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 28 public methods
DanyTlaw_Haggis,(default package),Spieltisch,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
DanyTlaw_Haggis,(default package),Spieltisch,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: image; icon; neuGestartet; wette; bubeAnzahl; dameAnzahl; koenigAnzahl; handkarten; haggisAnzahl; spielKarten; kartenBound; jokerKartenBound; btnKarte; jokerKarten; anzeigeKarten; gedrucktJoker; gedrucktHand; jbtSpielen; jbtPassen; jbtEingabe; jbtWetten; hand; feldKarten; gespielteKarten; pfad; name; imageRueckseite; rueckseite; jBube; jBubeIcon; jDame; jDameIcon; jKoenig; jKoenigIcon; hintergrund; imageHintergrund; out; in; test; gedrucktBorder; lblKoenig; lblDame; lblBube; lblPunkteEigen; lblPunkteGegner; lblHandkarten; lblInfo; txtAEingabe; txtAChat; chat; EigeneWetten; GegnerWetten; lblEigeneWetten; lblGegnerWetten; haggis; haggisKarten; Haggisborder; kartenBreite; kartenHoehe; spielfeldHoehe; spielfeldBreite; rueckseiteBreite; rueckseiteHoehe; iconBreite; iconHoehe; linksStrBreite; linksStrHoehe; rechtsStrBreite; rechtsStrHoehe; eigeneKartenBreite; eigeneKartenHoehe
DanyTlaw_Haggis,(default package),Spieltisch,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 62 public methods
DanyTlaw_Haggis,(default package),Spieltisch.clickHandler,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
DanyTlaw_Haggis,(default package),Spieltisch.clickHandler,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
