Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
DanyTlaw_Haggis,(default package),Card,Card,2,1,0,26,0,,
DanyTlaw_Haggis,(default package),Card,Card,3,1,1,30,0,,
DanyTlaw_Haggis,(default package),Card,Card,7,1,5,34,0,,
DanyTlaw_Haggis,(default package),Card,Card,8,1,6,42,0,,
DanyTlaw_Haggis,(default package),Card,Card,10,1,8,52,0,,
DanyTlaw_Haggis,(default package),Card,getWert,3,1,0,65,0,,
DanyTlaw_Haggis,(default package),Card,setWert,3,1,1,69,0,,
DanyTlaw_Haggis,(default package),Card,getName,3,1,0,73,0,,
DanyTlaw_Haggis,(default package),Card,setName,3,1,1,77,0,,
DanyTlaw_Haggis,(default package),Card,getBild,3,1,0,81,0,,
DanyTlaw_Haggis,(default package),Card,setBild,3,1,1,85,0,,
DanyTlaw_Haggis,(default package),Card,getPunkte,3,1,0,88,0,,
DanyTlaw_Haggis,(default package),Card,setPunkte,3,1,1,92,0,,
DanyTlaw_Haggis,(default package),Card,getFarbe,3,1,0,96,0,,
DanyTlaw_Haggis,(default package),Card,setFarbe,3,1,1,100,0,,
DanyTlaw_Haggis,(default package),Card,setJoker,3,1,1,104,0,,
DanyTlaw_Haggis,(default package),Card,getJoker,3,1,0,108,0,,
DanyTlaw_Haggis,(default package),Card,getJokerWert,3,1,0,112,0,,
DanyTlaw_Haggis,(default package),Card,setJokerWert,3,1,1,116,0,,
DanyTlaw_Haggis,(default package),Card,getJokerFarbe,3,1,0,120,0,,
DanyTlaw_Haggis,(default package),Card,setJokerFarbe,3,1,1,124,0,,
DanyTlaw_Haggis,(default package),Card,compareTo,4,1,1,128,0,,
DanyTlaw_Haggis,(default package),Chat,Chat,2,1,0,8,0,,
DanyTlaw_Haggis,(default package),Chat,setMessage,3,1,1,12,0,,
DanyTlaw_Haggis,(default package),Chat,getMessage,3,1,0,16,0,,
DanyTlaw_Haggis,(default package),Chat,setSpieler,3,1,1,20,0,,
DanyTlaw_Haggis,(default package),Chat,getSpieler,3,1,0,24,0,,
DanyTlaw_Haggis,(default package),Client,main,5,1,1,28,0,,
DanyTlaw_Haggis,(default package),Client,Client,5,1,2,34,0,,
DanyTlaw_Haggis,(default package),Client,init,12,1,2,40,0,,
DanyTlaw_Haggis,(default package),Client,erhalteObjekt,119,19,0,52,0,,
DanyTlaw_Haggis,(default package),Client,ladetGegnerInfo,31,7,0,239,0,,
DanyTlaw_Haggis,(default package),Deck,Deck,214,2,0,97,0,,
DanyTlaw_Haggis,(default package),Deck,aufteilen,126,33,1,396,0,,
DanyTlaw_Haggis,(default package),Deck,getHandKarten1,3,1,0,562,0,,
DanyTlaw_Haggis,(default package),Deck,setHandKarten1,3,1,1,566,0,,
DanyTlaw_Haggis,(default package),Deck,setHandKarten2,3,1,1,570,0,,
DanyTlaw_Haggis,(default package),Deck,getHandKarten2,3,1,0,574,0,,
DanyTlaw_Haggis,(default package),Deck,getHand,3,1,1,578,0,,
DanyTlaw_Haggis,(default package),Deck,getHaeggis,3,1,0,582,0,,
DanyTlaw_Haggis,(default package),EigenPanel,EigenPanel,3,1,0,21,0,,
DanyTlaw_Haggis,(default package),EigenPanel,EigenPanel,15,5,1,25,0,,
DanyTlaw_Haggis,(default package),EigenPanel,paintComponent,5,2,1,44,0,,
DanyTlaw_Haggis,(default package),GameLoop,GameLoop,3,1,1,27,0,,
DanyTlaw_Haggis,(default package),GameLoop,run,166,27,0,32,0,,
DanyTlaw_Haggis,(default package),GameLoop,closedConnection,12,1,0,270,0,,
DanyTlaw_Haggis,(default package),Gameobjekt,Gameobjekt,5,1,1,22,0,,
DanyTlaw_Haggis,(default package),Gameobjekt,getSpielerList,3,1,0,30,0,,
DanyTlaw_Haggis,(default package),Gameobjekt,getSpieler,3,1,1,34,0,,
DanyTlaw_Haggis,(default package),Gameobjekt,getFeldkarten,3,1,0,38,0,,
DanyTlaw_Haggis,(default package),Gameobjekt,setFeldkarten,3,1,1,42,0,,
DanyTlaw_Haggis,(default package),Gameobjekt,addAusgespielteKarten,5,2,1,46,0,,
DanyTlaw_Haggis,(default package),Gameobjekt,getAusgespielteKarten,3,1,0,53,0,,
DanyTlaw_Haggis,(default package),Gameobjekt,getHaeggis,3,1,0,57,0,,
DanyTlaw_Haggis,(default package),Gameobjekt,getNeueRunde,3,1,0,61,0,,
DanyTlaw_Haggis,(default package),Gameobjekt,setNeueRunde,3,1,1,65,0,,
DanyTlaw_Haggis,(default package),Gameobjekt,setSpielBeendet,3,1,1,69,0,,
DanyTlaw_Haggis,(default package),Gameobjekt,getSpielBeendet,3,1,0,73,0,,
DanyTlaw_Haggis,(default package),Gameobjekt,getBombe,3,1,0,77,0,,
DanyTlaw_Haggis,(default package),Gameobjekt,setBombe,3,1,1,81,0,,
DanyTlaw_Haggis,(default package),Gameobjekt,erstelleDeck,9,2,0,85,0,,
DanyTlaw_Haggis,(default package),Gameobjekt,getWettenAbwicklung,3,1,0,98,0,,
DanyTlaw_Haggis,(default package),Gameobjekt,setWettenAbwicklung,3,1,1,102,0,,
DanyTlaw_Haggis,(default package),Gameobjekt,setRunde,3,1,1,107,0,,
DanyTlaw_Haggis,(default package),Gameobjekt,getRunde,3,1,0,111,0,,
DanyTlaw_Haggis,(default package),Gameobjekt,getRundenEnde,3,1,0,115,0,,
DanyTlaw_Haggis,(default package),Gameobjekt,setRundenEnde,3,1,1,119,0,,
DanyTlaw_Haggis,(default package),LoginGUI,LoginGUI,46,1,2,55,0,,
DanyTlaw_Haggis,(default package),LoginGUI,actionPerformed,20,3,1,123,0,,
DanyTlaw_Haggis,(default package),LoginGUI,getTisch,3,1,0,148,0,,
DanyTlaw_Haggis,(default package),LoginGUI,getName,3,1,0,152,0,,
DanyTlaw_Haggis,(default package),Server,main,34,5,1,9,0,,
DanyTlaw_Haggis,(default package),Server,checkConnections,11,3,0,56,0,,
DanyTlaw_Haggis,(default package),Spieler,Spieler,4,1,1,25,0,,
