Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
DeyAbhishek_Web-Development-Projects,com.suitehotel,CustomerFeedback,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
DeyAbhishek_Web-Development-Projects,com.suitehotel,Login,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
DeyAbhishek_Web-Development-Projects,com.suitehotel,Reserve,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
DeyAbhishek_Web-Development-Projects,com.suitehotel,SignUp,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
DeyAbhishek_Web-Development-Projects,controller,StandardsController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
DeyAbhishek_Web-Development-Projects,controller,StandardsController,Feature Envy,The tool detected a instance of this smell because doPost is more interested in members of the type: StandardsDAO
DeyAbhishek_Web-Development-Projects,model,Standards,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 24 public methods
DeyAbhishek_Web-Development-Projects,in.infocom,Admin2Serv,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
DeyAbhishek_Web-Development-Projects,in.infocom,AdminServ,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
DeyAbhishek_Web-Development-Projects,in.infocom,LeaveServ,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
DeyAbhishek_Web-Development-Projects,in.infocom,LogServ,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
DeyAbhishek_Web-Development-Projects,in.infocom,NewServ,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
DeyAbhishek_Web-Development-Projects,in.infocom,PayServ,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
DeyAbhishek_Web-Development-Projects,in.infocom,SearchServ,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
DeyAbhishek_Web-Development-Projects,com.socialnet.beans,UploadBean,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
