Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
DeyAbhishek_Web-Development-Projects,com.suitehotel,CustomerFeedback,processRequest,Magic Number,The method contains a magic number: 200,20
DeyAbhishek_Web-Development-Projects,com.suitehotel,CustomerFeedback,processRequest,Magic Number,The method contains a magic number: 2,20
DeyAbhishek_Web-Development-Projects,com.suitehotel,CustomerFeedback,processRequest,Magic Number,The method contains a magic number: 3,20
DeyAbhishek_Web-Development-Projects,com.suitehotel,CustomerFeedback,processRequest,Magic Number,The method contains a magic number: 4,20
DeyAbhishek_Web-Development-Projects,com.suitehotel,CustomerFeedback,processRequest,Magic Number,The method contains a magic number: 5,20
DeyAbhishek_Web-Development-Projects,com.suitehotel,CustomerFeedback,processRequest,Magic Number,The method contains a magic number: 6,20
DeyAbhishek_Web-Development-Projects,com.suitehotel,CustomerFeedback,processRequest,Magic Number,The method contains a magic number: 7,20
DeyAbhishek_Web-Development-Projects,com.suitehotel,Login,processRequest,Magic Number,The method contains a magic number: 2,21
DeyAbhishek_Web-Development-Projects,com.suitehotel,Reserve,processRequest,Magic Number,The method contains a magic number: 200,23
DeyAbhishek_Web-Development-Projects,com.suitehotel,Reserve,processRequest,Magic Number,The method contains a magic number: 2,23
DeyAbhishek_Web-Development-Projects,com.suitehotel,Reserve,processRequest,Magic Number,The method contains a magic number: 3,23
DeyAbhishek_Web-Development-Projects,com.suitehotel,Reserve,processRequest,Magic Number,The method contains a magic number: 4,23
DeyAbhishek_Web-Development-Projects,com.suitehotel,Reserve,processRequest,Magic Number,The method contains a magic number: 5,23
DeyAbhishek_Web-Development-Projects,com.suitehotel,Reserve,processRequest,Magic Number,The method contains a magic number: 6,23
DeyAbhishek_Web-Development-Projects,com.suitehotel,Reserve,processRequest,Magic Number,The method contains a magic number: 7,23
DeyAbhishek_Web-Development-Projects,com.suitehotel,SignUp,processRequest,Magic Number,The method contains a magic number: 2,20
DeyAbhishek_Web-Development-Projects,com.suitehotel,SignUp,processRequest,Magic Number,The method contains a magic number: 3,20
DeyAbhishek_Web-Development-Projects,com.suitehotel,SignUp,processRequest,Magic Number,The method contains a magic number: 4,20
DeyAbhishek_Web-Development-Projects,com.suitehotel,SignUp,processRequest,Magic Number,The method contains a magic number: 5,20
DeyAbhishek_Web-Development-Projects,com.suitehotel,SignUp,processRequest,Magic Number,The method contains a magic number: 6,20
DeyAbhishek_Web-Development-Projects,dao,StandardsDAO,addStandards,Long Statement,The length of the statement "PreparedStatement ps=connection.prepareStatement("insert into wqcs_standards(status` chemical_id` location) " + "values(?` ?` ?)");" is 131.,23
DeyAbhishek_Web-Development-Projects,dao,StandardsDAO,addStandards,Magic Number,The method contains a magic number: 2,23
DeyAbhishek_Web-Development-Projects,dao,StandardsDAO,addStandards,Magic Number,The method contains a magic number: 3,23
