Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
DeyAbhishek_Web-Development-Projects,com.suitehotel,CustomerFeedback,processRequest,45,3,2,20,0,,
DeyAbhishek_Web-Development-Projects,com.suitehotel,CustomerFeedback,doGet,3,1,2,79,0,com.suitehotel.CustomerFeedback,com.suitehotel.CustomerFeedback
DeyAbhishek_Web-Development-Projects,com.suitehotel,CustomerFeedback,doPost,3,1,2,89,0,com.suitehotel.CustomerFeedback,com.suitehotel.CustomerFeedback
DeyAbhishek_Web-Development-Projects,com.suitehotel,CustomerFeedback,getServletInfo,3,1,0,99,0,,
DeyAbhishek_Web-Development-Projects,com.suitehotel,Login,processRequest,29,2,2,21,0,,
DeyAbhishek_Web-Development-Projects,com.suitehotel,Login,doGet,3,1,2,80,0,com.suitehotel.Login,com.suitehotel.Login
DeyAbhishek_Web-Development-Projects,com.suitehotel,Login,doPost,3,1,2,90,0,com.suitehotel.Login,com.suitehotel.Login
DeyAbhishek_Web-Development-Projects,com.suitehotel,Login,getServletInfo,3,1,0,100,0,,
DeyAbhishek_Web-Development-Projects,com.suitehotel,Reserve,processRequest,46,3,2,23,0,,
DeyAbhishek_Web-Development-Projects,com.suitehotel,Reserve,doGet,3,1,2,86,0,com.suitehotel.Reserve,com.suitehotel.Reserve
DeyAbhishek_Web-Development-Projects,com.suitehotel,Reserve,doPost,3,1,2,96,0,com.suitehotel.Reserve,com.suitehotel.Reserve
DeyAbhishek_Web-Development-Projects,com.suitehotel,Reserve,getServletInfo,3,1,0,106,0,,
DeyAbhishek_Web-Development-Projects,com.suitehotel,SignUp,processRequest,38,2,2,20,0,,
DeyAbhishek_Web-Development-Projects,com.suitehotel,SignUp,doGet,3,1,2,74,0,com.suitehotel.SignUp,com.suitehotel.SignUp
DeyAbhishek_Web-Development-Projects,com.suitehotel,SignUp,doPost,3,1,2,84,0,com.suitehotel.SignUp,com.suitehotel.SignUp
DeyAbhishek_Web-Development-Projects,com.suitehotel,SignUp,getServletInfo,3,1,0,94,0,,
DeyAbhishek_Web-Development-Projects,controller,StandardsController,StandardsController,4,1,0,27,0,,
DeyAbhishek_Web-Development-Projects,controller,StandardsController,doGet,27,4,2,35,0,,
DeyAbhishek_Web-Development-Projects,controller,StandardsController,doPost,11,2,2,66,0,,
DeyAbhishek_Web-Development-Projects,dao,StandardsDAO,StandardsDAO,3,1,0,18,0,,
DeyAbhishek_Web-Development-Projects,dao,StandardsDAO,addStandards,12,1,1,23,0,,
DeyAbhishek_Web-Development-Projects,dao,StandardsDAO,deleteStandards,10,1,1,39,0,,
