Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
DeyAbhishek_Web-Development-Projects,com.suitehotel,CustomerFeedback,0,0,4,1,77,6,0,0,-1.0,0,0,E:\Repositories\Cloned_Reposit\DeyAbhishek_Web-Development-Projects\Hotel-Reservation-Management-System\Source-Packages\com.hotel\CustomerFeedback.java,14
DeyAbhishek_Web-Development-Projects,com.suitehotel,Login,0,0,4,1,61,5,0,0,-1.0,0,0,E:\Repositories\Cloned_Reposit\DeyAbhishek_Web-Development-Projects\Hotel-Reservation-Management-System\Source-Packages\com.hotel\Login.java,15
DeyAbhishek_Web-Development-Projects,com.suitehotel,Reserve,0,0,4,1,78,6,0,0,-1.0,0,0,E:\Repositories\Cloned_Reposit\DeyAbhishek_Web-Development-Projects\Hotel-Reservation-Management-System\Source-Packages\com.hotel\Reserve.java,17
DeyAbhishek_Web-Development-Projects,com.suitehotel,SignUp,0,0,4,1,70,5,0,0,-1.0,0,0,E:\Repositories\Cloned_Reposit\DeyAbhishek_Web-Development-Projects\Hotel-Reservation-Management-System\Source-Packages\com.hotel\SignUp.java,14
DeyAbhishek_Web-Development-Projects,controller,StandardsController,4,0,3,1,60,7,0,0,0.0,0,2,E:\Repositories\Cloned_Reposit\DeyAbhishek_Web-Development-Projects\Miscellaneous\SmallProject1\Java-Resources\src\controller\StandardsController.java,15
DeyAbhishek_Web-Development-Projects,dao,StandardsDAO,1,0,7,7,92,11,0,0,0.0,1,2,E:\Repositories\Cloned_Reposit\DeyAbhishek_Web-Development-Projects\Miscellaneous\SmallProject1\Java-Resources\src\dao\StandardsDAO.java,14
DeyAbhishek_Web-Development-Projects,model,Standards,12,0,24,24,86,24,0,0,0.5,2,0,E:\Repositories\Cloned_Reposit\DeyAbhishek_Web-Development-Projects\Miscellaneous\SmallProject1\Java-Resources\src\model\Standards.java,3
DeyAbhishek_Web-Development-Projects,util,DBConnector,1,0,1,1,32,2,0,0,0.0,1,0,E:\Repositories\Cloned_Reposit\DeyAbhishek_Web-Development-Projects\Miscellaneous\SmallProject1\Java-Resources\src\util\DBConnector.java,12
DeyAbhishek_Web-Development-Projects,in.infocom,Admin2Serv,0,0,1,0,53,2,0,0,-1.0,0,0,E:\Repositories\Cloned_Reposit\DeyAbhishek_Web-Development-Projects\PayrollSystem\Admin2Serv.java,13
DeyAbhishek_Web-Development-Projects,in.infocom,AdminServ,0,0,1,0,47,2,0,0,-1.0,0,0,E:\Repositories\Cloned_Reposit\DeyAbhishek_Web-Development-Projects\PayrollSystem\AdminServ.java,14
DeyAbhishek_Web-Development-Projects,in.infocom,LeaveServ,0,0,1,0,47,2,0,0,-1.0,0,0,E:\Repositories\Cloned_Reposit\DeyAbhishek_Web-Development-Projects\PayrollSystem\Leave.java,13
DeyAbhishek_Web-Development-Projects,in.infocom,LogServ,0,0,1,0,69,3,0,0,-1.0,0,0,E:\Repositories\Cloned_Reposit\DeyAbhishek_Web-Development-Projects\PayrollSystem\LogServ.java,14
DeyAbhishek_Web-Development-Projects,in.infocom,NewServ,0,0,1,0,58,2,0,0,-1.0,0,0,E:\Repositories\Cloned_Reposit\DeyAbhishek_Web-Development-Projects\PayrollSystem\NewServ.java,13
DeyAbhishek_Web-Development-Projects,in.infocom,PayServ,0,0,1,0,132,16,0,0,-1.0,0,0,E:\Repositories\Cloned_Reposit\DeyAbhishek_Web-Development-Projects\PayrollSystem\PayServ.java,13
DeyAbhishek_Web-Development-Projects,in.infocom,SearchServ,0,0,1,0,47,2,0,0,-1.0,0,0,E:\Repositories\Cloned_Reposit\DeyAbhishek_Web-Development-Projects\PayrollSystem\SearchServ.java,13
DeyAbhishek_Web-Development-Projects,com.socialnet.beans,UploadBean,0,0,1,1,23,2,0,0,-1.0,0,0,E:\Repositories\Cloned_Reposit\DeyAbhishek_Web-Development-Projects\Social-Networking-Site\com.socialnet.beans\ UploadBean.java,11
DeyAbhishek_Web-Development-Projects,com.socialnet.beans,AlbumBean,2,0,5,5,27,5,0,0,0.0,0,2,E:\Repositories\Cloned_Reposit\DeyAbhishek_Web-Development-Projects\Social-Networking-Site\com.socialnet.beans\AlbumBean.java,12
DeyAbhishek_Web-Development-Projects,com.socialnet.beans,ForgotPasswordBean,7,0,17,17,79,18,0,0,0.23529411764705882,0,3,E:\Repositories\Cloned_Reposit\DeyAbhishek_Web-Development-Projects\Social-Networking-Site\com.socialnet.beans\ForgotPasswordBean.java,16
