Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
IMORALESNW_HealthyApp,com.nubware.healthyapp,ApplicationTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
IMORALESNW_HealthyApp,com.nubware.healthyapp,ApplicationActivity,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
IMORALESNW_HealthyApp,com.nubware.healthyapp,ApplicationFragment,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
IMORALESNW_HealthyApp,com.nubware.healthyapp,CustomWizard,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
IMORALESNW_HealthyApp,com.nubware.healthyapp,Helps,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: strEvent; strSubEvent
IMORALESNW_HealthyApp,com.nubware.healthyapp,Helps,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: strEvent; strSubEvent
IMORALESNW_HealthyApp,com.nubware.healthyapp,MainActivity,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
IMORALESNW_HealthyApp,com.nubware.healthyapp,TBDemonstrator,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
IMORALESNW_HealthyApp,com.nubware.healthyapp,TBDemonstrator,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: IDDemonstrator; Name; KeyD; Mobile; Email; Estatus
IMORALESNW_HealthyApp,com.nubware.healthyapp,TBEvents,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
IMORALESNW_HealthyApp,com.nubware.healthyapp,TBEvents,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
IMORALESNW_HealthyApp,com.nubware.healthyapp,TBFeedBack,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
IMORALESNW_HealthyApp,com.nubware.healthyapp,TBFeedBack,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: IDFeedBack; IDProspect; AdditionalCommentsExperience; LearnLightEnergy; FollowUpSession; LocationOrCitySession; FriendOrFamilyBenefit; LocationOrCityBenefit; AdditionalQuestion; RegistrationDate; Estatus
IMORALESNW_HealthyApp,com.nubware.healthyapp,TBInterestedConcepts,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: _id; IDInterestedConcept; IDProspect; Description; Result
IMORALESNW_HealthyApp,com.nubware.healthyapp,TBInterestedConcepts.Concepts,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
IMORALESNW_HealthyApp,com.nubware.healthyapp,TBInterestedConcepts.Concepts,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
IMORALESNW_HealthyApp,com.nubware.healthyapp,TBProspect,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: tabletConsecutive; _id; IDProspect; IDDemonstrator; IDEvent; IDSubEvent; IDChair; Consecutive; FirstName; LastName; Profession; Street; City; Prov; PostalCode; DaytimePhone; EveningPhone; Mobile; Email; Pregnant; CancerTreatments; LightSensitive; Observations; AreaConcernOne; AreaConcernTwo; AreaConcernThree; Initials; PrintName; SignatureProspect; NameWitness; SignatureWitness; SendEmailRegistered; SendEmailFeedback; ReadReleaseAndWaiver; SyncCloud; SyncInfusionSoft; PathPDF; PathApplicantSignature; PathWitnessSignature; RegistrationDate; SyncRegistrationDate; SessionStartDateTime; SessionEndDateTime; Notes; Estatus
IMORALESNW_HealthyApp,com.nubware.healthyapp,TBSubEvents,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
IMORALESNW_HealthyApp,com.nubware.healthyapp,TBSubEvents,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
