Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
IMORALESNW_HealthyApp,com.nubware.healthyapp,ApplicationTest,ApplicationTest,3,1,0,10,0,,
IMORALESNW_HealthyApp,com.nubware.healthyapp,ApplicationActivity,onCreate,4,1,1,11,0,,
IMORALESNW_HealthyApp,com.nubware.healthyapp,ApplicationActivity,onCreateOptionsMenu,4,1,1,18,0,,
IMORALESNW_HealthyApp,com.nubware.healthyapp,ApplicationActivity,onOptionsItemSelected,7,2,1,25,0,,
IMORALESNW_HealthyApp,com.nubware.healthyapp,ApplicationFragment,ApplicationFragment,3,1,0,24,0,,
IMORALESNW_HealthyApp,com.nubware.healthyapp,ApplicationFragment,onSetup,6,1,0,28,0,,
IMORALESNW_HealthyApp,com.nubware.healthyapp,ApplicationStep1,ApplicationStep1,2,1,0,65,0,,
IMORALESNW_HealthyApp,com.nubware.healthyapp,ApplicationStep1,onCreateView,28,1,3,80,0,,
IMORALESNW_HealthyApp,com.nubware.healthyapp,ApplicationStep1,onExit,9,3,1,120,0,com.nubware.healthyapp.ApplicationStep1,com.nubware.healthyapp.ApplicationStep1
IMORALESNW_HealthyApp,com.nubware.healthyapp,ApplicationStep1,bindDataFields,12,1,0,131,0,,
IMORALESNW_HealthyApp,com.nubware.healthyapp,ApplicationStep1,activateNext,8,2,0,145,0,,
IMORALESNW_HealthyApp,com.nubware.healthyapp,ApplicationStep2,ApplicationStep2,2,1,0,19,0,,
IMORALESNW_HealthyApp,com.nubware.healthyapp,ApplicationStep2,onCreateView,4,1,3,21,0,,
IMORALESNW_HealthyApp,com.nubware.healthyapp,ApplicationStep2,onExit,15,5,1,29,0,,
IMORALESNW_HealthyApp,com.nubware.healthyapp,ApplicationStep3,ApplicationStep3,2,1,0,14,0,,
IMORALESNW_HealthyApp,com.nubware.healthyapp,ApplicationStep3,onCreateView,4,1,3,16,0,,
IMORALESNW_HealthyApp,com.nubware.healthyapp,ApplicationStep3,onExit,8,3,1,22,0,,
IMORALESNW_HealthyApp,com.nubware.healthyapp,ApplicationSummary,ApplicationSummary,2,1,0,46,0,,
IMORALESNW_HealthyApp,com.nubware.healthyapp,ApplicationSummary,onCreateView,8,1,3,48,0,com.nubware.healthyapp.ApplicationSummary,com.nubware.healthyapp.ApplicationSummary
IMORALESNW_HealthyApp,com.nubware.healthyapp,ApplicationSummary,getProspectData,14,1,0,66,0,,
IMORALESNW_HealthyApp,com.nubware.healthyapp,ApplicationSummary,saveInterestedConcepts,8,1,1,85,0,,
IMORALESNW_HealthyApp,com.nubware.healthyapp,CustomWizard,CustomWizard,2,1,0,18,0,,
IMORALESNW_HealthyApp,com.nubware.healthyapp,MainActivity,onCreate,4,1,1,13,0,,
IMORALESNW_HealthyApp,com.nubware.healthyapp,MainActivity,onCreateOptionsMenu,4,1,1,24,0,,
IMORALESNW_HealthyApp,com.nubware.healthyapp,MainActivity,onOptionsItemSelected,7,2,1,31,0,,
IMORALESNW_HealthyApp,com.nubware.healthyapp,MainActivity,openActivity,4,1,1,47,0,,
IMORALESNW_HealthyApp,com.nubware.healthyapp,SQLiteHelper,SQLiteHelper,3,1,1,15,0,,
IMORALESNW_HealthyApp,com.nubware.healthyapp,SQLiteHelper,onCreate,4,1,1,21,0,,
IMORALESNW_HealthyApp,com.nubware.healthyapp,SQLiteHelper,onUpgrade,2,1,3,28,0,,
IMORALESNW_HealthyApp,com.nubware.healthyapp,SQLiteHelper,open,3,1,0,33,0,,
IMORALESNW_HealthyApp,com.nubware.healthyapp,SQLiteHelper,create,3,1,0,38,0,com.nubware.healthyapp.SQLiteHelper,com.nubware.healthyapp.SQLiteHelper
IMORALESNW_HealthyApp,com.nubware.healthyapp,TBDemonstrator,createTable,4,1,1,18,0,,
IMORALESNW_HealthyApp,com.nubware.healthyapp,TBDemonstrator,newDemonstrator,10,1,2,31,0,,
IMORALESNW_HealthyApp,com.nubware.healthyapp,TBFeedBack,createTable,4,1,1,24,0,,
IMORALESNW_HealthyApp,com.nubware.healthyapp,TBFeedBack,newFeedBack,14,1,2,43,0,,
IMORALESNW_HealthyApp,com.nubware.healthyapp,TBInterestedConcepts,create,4,1,1,28,0,,
IMORALESNW_HealthyApp,com.nubware.healthyapp,TBInterestedConcepts,newInterestedConcept,8,1,2,41,0,,
IMORALESNW_HealthyApp,com.nubware.healthyapp,TBInterestedConcepts,getInterestedConcept,20,5,2,53,0,com.nubware.healthyapp.TBInterestedConcepts,com.nubware.healthyapp.TBInterestedConcepts
IMORALESNW_HealthyApp,com.nubware.healthyapp,TBInterestedConcepts,getResult,3,1,1,82,0,,
IMORALESNW_HealthyApp,com.nubware.healthyapp,TBProspect,create,4,1,1,61,0,,
IMORALESNW_HealthyApp,com.nubware.healthyapp,TBProspect,getIDProspect,4,1,0,108,0,,
IMORALESNW_HealthyApp,com.nubware.healthyapp,TBProspect,getIDDemostrator,4,1,0,115,0,,
IMORALESNW_HealthyApp,com.nubware.healthyapp,TBProspect,getIDEvent,4,1,0,122,0,,
IMORALESNW_HealthyApp,com.nubware.healthyapp,TBProspect,getIDSubEvent,4,1,0,129,0,,
IMORALESNW_HealthyApp,com.nubware.healthyapp,TBProspect,newProspect,44,2,3,137,0,com.nubware.healthyapp.TBProspect,com.nubware.healthyapp.TBProspect
