Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
JCDias_CadastroUsuarios,cadastroUsuario.apresentacao,CadastroUsuariosForm,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 21 public methods
JCDias_CadastroUsuarios,cadastroUsuario.apresentacao,TelaPrincipalForm,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
JCDias_CadastroUsuarios,cadastroUsuario.entidades,Usuario,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 42 public methods
JCDias_CadastroUsuarios,cadastroUsuario.Excecoes,AQuantoTempoException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
JCDias_CadastroUsuarios,cadastroUsuario.Excecoes,CamposVaziosException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
JCDias_CadastroUsuarios,cadastroUsuario.Excecoes,CpfInvalidoException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
JCDias_CadastroUsuarios,cadastroUsuario.Excecoes,CpfJaCadastradoException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
JCDias_CadastroUsuarios,cadastroUsuario.Excecoes,DataInvalidaException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
JCDias_CadastroUsuarios,cadastroUsuario.Excecoes,EmailInvalidoException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
JCDias_CadastroUsuarios,cadastroUsuario.Excecoes,NomeInvalidoException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
JCDias_CadastroUsuarios,cadastroUsuario.Excecoes,SelecioneException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
