Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
JCDias_CadastroUsuarios,cadastroUsuario.apresentacao,CadastroUsuariosForm,CadastroUsuariosForm,Empty catch clause,The method has an empty catch block.,36
JCDias_CadastroUsuarios,cadastroUsuario.apresentacao,CadastroUsuariosForm,CadastroUsuariosForm,Empty catch clause,The method has an empty catch block.,36
JCDias_CadastroUsuarios,cadastroUsuario.apresentacao,CadastroUsuariosForm,CadastroUsuariosForm,Empty catch clause,The method has an empty catch block.,36
JCDias_CadastroUsuarios,cadastroUsuario.apresentacao,CadastroUsuariosForm,CadastroUsuariosForm,Empty catch clause,The method has an empty catch block.,36
JCDias_CadastroUsuarios,cadastroUsuario.apresentacao,CadastroUsuariosForm,initComponents,Long Method,The method has 196 lines of code.,65
JCDias_CadastroUsuarios,cadastroUsuario.apresentacao,CadastroUsuariosForm,initComponents,Long Statement,The length of the statement "jPanel1Layout.setHorizontalGroup(jPanel1Layout.createParallelGroup(javax.swing.GroupLayout.Alignment.LEADING).addGap(0`100`Short.MAX_VALUE));" is 141.,65
JCDias_CadastroUsuarios,cadastroUsuario.apresentacao,CadastroUsuariosForm,initComponents,Long Statement,The length of the statement "jPanel1Layout.setVerticalGroup(jPanel1Layout.createParallelGroup(javax.swing.GroupLayout.Alignment.LEADING).addGap(0`100`Short.MAX_VALUE));" is 139.,65
JCDias_CadastroUsuarios,cadastroUsuario.apresentacao,CadastroUsuariosForm,initComponents,Long Statement,The length of the statement "jPanel3.setBorder(javax.swing.BorderFactory.createTitledBorder(null`"Dados Pessoais"`javax.swing.border.TitledBorder.DEFAULT_JUSTIFICATION`javax.swing.border.TitledBorder.DEFAULT_POSITION`new java.awt.Font("Times New Roman"`0`14)));" is 232.,65
JCDias_CadastroUsuarios,cadastroUsuario.apresentacao,CadastroUsuariosForm,initComponents,Long Statement,The length of the statement "jPanel3Layout.setHorizontalGroup(jPanel3Layout.createParallelGroup(javax.swing.GroupLayout.Alignment.LEADING).addGroup(jPanel3Layout.createSequentialGroup().addContainerGap().addGroup(jPanel3Layout.createParallelGroup(javax.swing.GroupLayout.Alignment.LEADING).addGroup(jPanel3Layout.createSequentialGroup().addComponent(jLabel11).addPreferredGap(javax.swing.LayoutStyle.ComponentPlacement.RELATED).addComponent(txtNome)).addGroup(jPanel3Layout.createSequentialGroup().addGroup(jPanel3Layout.createParallelGroup(javax.swing.GroupLayout.Alignment.TRAILING`false).addGroup(javax.swing.GroupLayout.Alignment.LEADING`jPanel3Layout.createSequentialGroup().addComponent(jLabel14).addPreferredGap(javax.swing.LayoutStyle.ComponentPlacement.RELATED).addComponent(txtDataNascimento)).addGroup(javax.swing.GroupLayout.Alignment.LEADING`jPanel3Layout.createSequentialGroup().addComponent(jLabel12).addPreferredGap(javax.swing.LayoutStyle.ComponentPlacement.RELATED).addComponent(txtCPF`javax.swing.GroupLayout.PREFERRED_SIZE`217`javax.swing.GroupLayout.PREFERRED_SIZE))).addGap(46`46`46).addGroup(jPanel3Layout.createParallelGroup(javax.swing.GroupLayout.Alignment.LEADING).addGroup(jPanel3Layout.createSequentialGroup().addComponent(jLabel13).addPreferredGap(javax.swing.LayoutStyle.ComponentPlacement.UNRELATED).addComponent(txtRG)).addGroup(jPanel3Layout.createSequentialGroup().addComponent(jLabel15).addPreferredGap(javax.swing.LayoutStyle.ComponentPlacement.RELATED).addComponent(cmbSexo`0`263`Short.MAX_VALUE))))).addContainerGap()));" is 1530.,65
JCDias_CadastroUsuarios,cadastroUsuario.apresentacao,CadastroUsuariosForm,initComponents,Long Statement,The length of the statement "jPanel3Layout.setVerticalGroup(jPanel3Layout.createParallelGroup(javax.swing.GroupLayout.Alignment.LEADING).addGroup(jPanel3Layout.createSequentialGroup().addContainerGap().addGroup(jPanel3Layout.createParallelGroup(javax.swing.GroupLayout.Alignment.BASELINE).addComponent(txtNome`javax.swing.GroupLayout.PREFERRED_SIZE`javax.swing.GroupLayout.DEFAULT_SIZE`javax.swing.GroupLayout.PREFERRED_SIZE).addComponent(jLabel11)).addPreferredGap(javax.swing.LayoutStyle.ComponentPlacement.UNRELATED).addGroup(jPanel3Layout.createParallelGroup(javax.swing.GroupLayout.Alignment.BASELINE).addComponent(jLabel12).addComponent(txtCPF`javax.swing.GroupLayout.PREFERRED_SIZE`javax.swing.GroupLayout.DEFAULT_SIZE`javax.swing.GroupLayout.PREFERRED_SIZE).addComponent(jLabel13).addComponent(txtRG`javax.swing.GroupLayout.PREFERRED_SIZE`javax.swing.GroupLayout.DEFAULT_SIZE`javax.swing.GroupLayout.PREFERRED_SIZE)).addGap(18`18`18).addGroup(jPanel3Layout.createParallelGroup(javax.swing.GroupLayout.Alignment.LEADING).addGroup(jPanel3Layout.createSequentialGroup().addGap(3`3`3).addComponent(jLabel14`javax.swing.GroupLayout.DEFAULT_SIZE`javax.swing.GroupLayout.DEFAULT_SIZE`Short.MAX_VALUE)).addComponent(txtDataNascimento`javax.swing.GroupLayout.PREFERRED_SIZE`javax.swing.GroupLayout.DEFAULT_SIZE`javax.swing.GroupLayout.PREFERRED_SIZE).addGroup(javax.swing.GroupLayout.Alignment.TRAILING`jPanel3Layout.createSequentialGroup().addGap(0`0`Short.MAX_VALUE).addGroup(jPanel3Layout.createParallelGroup(javax.swing.GroupLayout.Alignment.BASELINE).addComponent(jLabel15).addComponent(cmbSexo`javax.swing.GroupLayout.PREFERRED_SIZE`javax.swing.GroupLayout.DEFAULT_SIZE`javax.swing.GroupLayout.PREFERRED_SIZE)))).addContainerGap()));" is 1709.,65
