Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
JPII_sandbox,(default package),AircraftCarrier,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
JPII_sandbox,(default package),AircraftCarrier,Feature Envy,The tool detected a instance of this smell because base is more interested in members of the type: ImageStorage
JPII_sandbox,(default package),BattleShip,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
JPII_sandbox,(default package),BattleShip,Feature Envy,The tool detected a instance of this smell because base is more interested in members of the type: ImageStorage
JPII_sandbox,(default package),Bullet,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
JPII_sandbox,(default package),Exec,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
JPII_sandbox,(default package),Exec,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: grid; i; Water; g; selected; ships
JPII_sandbox,(default package),Exec,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 21 public methods
JPII_sandbox,(default package),ImageStorage,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: AircraftCarrier; BattleShip; Submarine; s
JPII_sandbox,(default package),Missle,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
JPII_sandbox,(default package),ProjectSandStorm,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
JPII_sandbox,(default package),ProjectSandStorm.Dirk,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: buffer
JPII_sandbox,(default package),ProjectSandStorm.Dirk,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
JPII_sandbox,(default package),ProjectSandStorm.Dirk,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: buffer
JPII_sandbox,(default package),Ship,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
JPII_sandbox,(default package),Ship,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: x; y; size; moving; color; angle; NORTH; SOUTH; EAST; WEST
JPII_sandbox,(default package),Submarine,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
JPII_sandbox,(default package),Turret,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
JPII_sandbox,com.jpii.navalbattle.renderer.particles,ParticleTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
JPII_sandbox,com.jpii.navalbattle.renderer.particles,SmokeTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
