Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
JPII_sandbox,(default package),AircraftCarrier,AircraftCarrier,4,1,4,6,0,,
JPII_sandbox,(default package),AircraftCarrier,base,5,1,2,11,0,,
JPII_sandbox,(default package),AircraftCarrier,MouseMoved,2,1,2,18,0,,
JPII_sandbox,(default package),AircraftCarrier,MouseClicked,2,1,2,21,0,,
JPII_sandbox,(default package),BattleShip,BattleShip,6,1,4,7,0,,
JPII_sandbox,(default package),BattleShip,initArray,6,1,0,13,0,,
JPII_sandbox,(default package),BattleShip,addX,6,2,1,19,0,,
JPII_sandbox,(default package),BattleShip,addY,6,2,1,25,0,,
JPII_sandbox,(default package),BattleShip,MouseMoved,5,2,2,31,0,,
JPII_sandbox,(default package),BattleShip,MouseClicked,5,2,2,36,0,,
JPII_sandbox,(default package),BattleShip,needsRepaint,11,4,0,41,0,,
JPII_sandbox,(default package),BattleShip,drawShip,4,1,1,52,0,,
JPII_sandbox,(default package),BattleShip,drawGuns,5,2,1,57,0,,
JPII_sandbox,(default package),BattleShip,addAngle,8,2,1,63,0,,
JPII_sandbox,(default package),BattleShip,base,5,1,2,72,0,,
JPII_sandbox,(default package),Bullet,Bullet,10,1,4,15,0,,
JPII_sandbox,(default package),Bullet,needsRepaint,4,2,0,26,0,,
JPII_sandbox,(default package),Bullet,increaseX,13,2,1,32,0,,
JPII_sandbox,(default package),Bullet,drawBullet,12,4,1,46,0,,
JPII_sandbox,(default package),Bullet,finished,4,1,0,60,0,,
JPII_sandbox,(default package),Bullet,drawBull,3,1,1,65,0,,
JPII_sandbox,(default package),Bullet,isnearX,6,2,0,69,0,,
JPII_sandbox,(default package),Bullet,isdone,3,1,0,76,0,,
JPII_sandbox,(default package),Bullet,getMoving,3,1,0,79,0,,
JPII_sandbox,(default package),Exec,Exec,14,1,0,20,0,,
JPII_sandbox,(default package),Exec,init,87,14,0,32,0,,
JPII_sandbox,(default package),Exec,keyPressed,47,12,1,45,0,,
JPII_sandbox,(default package),Exec,keyReleased,2,1,1,93,0,,
JPII_sandbox,(default package),Exec,keyTyped,2,1,1,96,0,,
JPII_sandbox,(default package),Exec,mousePressed,3,1,1,100,0,,
JPII_sandbox,(default package),Exec,mouseReleased,3,1,1,101,0,,
JPII_sandbox,(default package),Exec,mouseMoved,3,1,1,103,0,,
JPII_sandbox,(default package),Exec,mouseDragged,3,1,1,104,0,,
JPII_sandbox,(default package),Exec,reset,4,1,0,109,0,,
JPII_sandbox,(default package),Exec,newBackground,4,1,0,113,0,,
JPII_sandbox,(default package),Exec,clearBuffer,3,1,0,117,0,,
JPII_sandbox,(default package),Exec,main,6,1,1,120,0,,
JPII_sandbox,(default package),Exec,paint,17,3,1,126,0,,
JPII_sandbox,(default package),Exec,update,4,1,1,145,0,,
JPII_sandbox,(default package),Exec,delay,8,1,1,149,0,,
JPII_sandbox,(default package),Exec,needsRepaint,8,3,0,152,0,,
JPII_sandbox,(default package),Exec,mouseM,6,1,1,162,0,,
JPII_sandbox,(default package),Exec,mouseReleased2,3,1,1,168,0,,
JPII_sandbox,(default package),Exec,mousePressed2,6,1,1,172,0,,
JPII_sandbox,(default package),Exec,mouseDrag,6,1,1,179,0,,
JPII_sandbox,(default package),ImageStorage,ImageStorage,13,1,0,13,0,,
JPII_sandbox,(default package),ImageStorage,drawAircraftCarrier,3,1,2,26,0,,
JPII_sandbox,(default package),ImageStorage,drawBattleShip,3,1,2,30,0,,
JPII_sandbox,(default package),ImageStorage,drawSubmarine,3,1,2,34,0,,
JPII_sandbox,(default package),Missle,Missle,3,1,4,8,0,,
JPII_sandbox,(default package),Missle,MouseMoved,7,1,2,12,0,,
JPII_sandbox,(default package),Missle,increaseX,5,1,1,20,0,,
JPII_sandbox,(default package),Missle,drawBullet,6,2,1,26,0,,
JPII_sandbox,(default package),Missle,drawBull,5,1,1,33,0,,
JPII_sandbox,(default package),Missle,isnearX,8,3,0,39,0,,
JPII_sandbox,(default package),ProjectSandStorm,main,5,1,1,15,0,,
JPII_sandbox,(default package),ProjectSandStorm,ProjectSandStorm,15,1,0,20,0,,
JPII_sandbox,(default package),ProjectSandStorm,mouseDragged,3,1,1,27,0,,
JPII_sandbox,(default package),ProjectSandStorm,paint,5,1,1,37,0,,
JPII_sandbox,(default package),Ship,Ship,7,1,4,17,0,,
JPII_sandbox,(default package),Ship,addX,3,1,1,24,0,,
JPII_sandbox,(default package),Ship,addY,3,1,1,27,0,,
JPII_sandbox,(default package),Ship,addAngle,3,1,1,30,0,,
JPII_sandbox,(default package),Ship,getX,3,1,0,33,0,,
JPII_sandbox,(default package),Ship,getY,3,1,0,36,0,,
JPII_sandbox,(default package),Ship,getAngle,3,1,0,39,0,,
JPII_sandbox,(default package),Ship,MouseMoved,0,1,2,42,0,,
JPII_sandbox,(default package),Ship,MouseClicked,0,1,2,43,0,,
JPII_sandbox,(default package),Ship,needsRepaint,6,2,0,44,0,,
JPII_sandbox,(default package),Ship,drawShip,3,1,1,50,0,,
JPII_sandbox,(default package),Ship,base,0,1,2,53,0,,
