Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
Jarcionek_MTG-Deck-Builder,mtgdeckbuilder.backend,TagsManager,Feature Envy,The tool detected a instance of this smell because tag is more interested in members of the type: TagFilesManager
Jarcionek_MTG-Deck-Builder,mtgdeckbuilder.backend,TagsManager,Feature Envy,The tool detected a instance of this smell because untag is more interested in members of the type: TagFilesManager
Jarcionek_MTG-Deck-Builder,mtgdeckbuilder.backend,CardImageDownloaderTest.InfiniteSet,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: element
Jarcionek_MTG-Deck-Builder,mtgdeckbuilder.backend,CardImageDownloaderTest.InfiniteSet,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Jarcionek_MTG-Deck-Builder,mtgdeckbuilder,Main,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Jarcionek_MTG-Deck-Builder,mtgdeckbuilder,Utils,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Jarcionek_MTG-Deck-Builder,mtgdeckbuilder.data,Field,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: displayableName
Jarcionek_MTG-Deck-Builder,mtgdeckbuilder.data,Function,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: displayableName
Jarcionek_MTG-Deck-Builder,mtgdeckbuilder.frontend,MainFrame,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Jarcionek_MTG-Deck-Builder,mtgdeckbuilder.frontend,SearchButtonPanel.StatusUpdater,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: numberOfParts
Jarcionek_MTG-Deck-Builder,mtgdeckbuilder.frontend,SearchButtonPanel.StatusUpdater,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Jarcionek_MTG-Deck-Builder,mtgdeckbuilder.frontend,ActiveFiltersPanelTest,Feature Envy,The tool detected a instance of this smell because canDeleteFilter is more interested in members of the type: ActiveFiltersPanel
Jarcionek_MTG-Deck-Builder,mtgdeckbuilder.frontend.swingworkers,PartDoneUpdate,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Jarcionek_MTG-Deck-Builder,mtgdeckbuilder.frontend.swingworkers,SearchSwingWorkerManager.SearchSwingWorker,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: filters; searchProgressHarvest; cardImageDownloadProgressHarvest; foundCards
Jarcionek_MTG-Deck-Builder,mtgdeckbuilder.frontend.swingworkers,SearchSwingWorkerManager.SearchSwingWorker,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Jarcionek_MTG-Deck-Builder,mtgdeckbuilder.frontend.swingworkers,StartedUpdate,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Jarcionek_MTG-Deck-Builder,mtgdeckbuilder.frontend.swingworkers,SearchSwingWorkerManagerTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: NO_OP_APPENDER; FILTERS; URL; JSON; CARD_IMAGE_INFOS; timeout; lock; filterToUrlConverter; urlDownloader; jsonToCardsImageInfosConverter; cardImageDownloader; searchProgressHarvest; searchSwingWorkerManager; startedWasOnEventDispatchThread; partDoneWasOnEventDispatchThread; finishedWasOnEventDispatchThread; errorWasOnEventDispatchThread
Jarcionek_MTG-Deck-Builder,mtgdeckbuilder.frontend.swingworkers,SearchSwingWorkerManagerTest,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 21 public methods
Jarcionek_MTG-Deck-Builder,mtgdeckbuilder.frontend.swingworkers,SearchSwingWorkerManagerTest.SearchProgressHarvestStub,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: startedWasOnEventDispatchThread; partDoneWasOnEventDispatchThread; finishedWasOnEventDispatchThread; errorWasOnEventDispatchThread
Jarcionek_MTG-Deck-Builder,mtgdeckbuilder.frontend.swingworkers,SearchSwingWorkerManagerTest.SearchProgressHarvestStub,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Jarcionek_MTG-Deck-Builder,mtgdeckbuilder.frontend.topics,AddFilterTopic.Subscriber,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Jarcionek_MTG-Deck-Builder,mtgdeckbuilder.frontend.topics,SearchTopic.Subscriber,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Jarcionek_MTG-Deck-Builder,mtgdeckbuilder.frontend.topics,TagTopic.Subscriber,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
