Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
Jarcionek_MTG-Deck-Builder,mtgdeckbuilder.backend,ImageDownloader,download,Magic Number,The method contains a magic number: 2048,13
Jarcionek_MTG-Deck-Builder,mtgdeckbuilder.backend,FilterToUrlConverterTest,convertsMultipleFilters,Long Statement,The length of the statement "String url=filterToUrlConverter.convert(newArrayList(new Filter(Field.convertedmanacost`Function.lte`"5")`new Filter(Field.name`Function.m`"Act of")`new Filter(Field.description`Function.m`"until end of turn")));" is 212.,24
Jarcionek_MTG-Deck-Builder,mtgdeckbuilder.backend,FilterToUrlConverterTest,convertsMultipleFilters,Long Statement,The length of the statement "assertThat(url`is(equalTo("http://api.mtgdb.info/search/?q=convertedmanacost lte '5' and name m 'Act of' and description m 'until end of turn'")));" is 147.,24
Jarcionek_MTG-Deck-Builder,mtgdeckbuilder.backend,JsonToCardsImageInfosConverterTest,convertsJsonWithSingleCard,Long Identifier,The length of the field jsonToCardsImageInfosConverter is 30.,17
Jarcionek_MTG-Deck-Builder,mtgdeckbuilder.backend,JsonToCardsImageInfosConverterTest,convertsJsonWithSingleCard,Long Statement,The length of the statement "Set<CardImageInfo> cardImageInfos=jsonToCardsImageInfosConverter.convert("[{" + "\"id\":4253`" + "\"relatedCardId\":0`"+ "\"setNumber\":32`"+ "\"name\":\"Cloud Pirates\"`"+ "\"searchName\":\"cloudpirates\"`"+ "\"description\":\"Flying\\nCloud Pirates can block only creatures with flying.\"`"+ "\"flavor\":\"\"`"+ "\"colors\":[\"blue\"]`"+ "\"manaCost\":\"U\"`"+ "\"convertedManaCost\":1`"+ "\"cardSetName\":\"Portal\"`"+ "\"type\":\"Creature\"`"+ "\"subType\":\"Human Pirate\"`"+ "\"power\":1`"+ "\"toughness\":1`"+ "\"loyalty\":0`"+ "\"rarity\":\"Common\"`"+ "\"artist\":\"Phil Foglio\"`"+ "\"cardSetId\":\"POR\"`"+ "\"token\":false`"+ "\"promo\":false`"+ "\"rulings\":[]`"+ "\"formats\":[{\"name\":\"Legacy\"`\"legality\":\"Legal\"}`{\"name\":\"Vintage\"`\"legality\":\"Legal\"}`{\"name\":\"Commander\"`\"legality\":\"Legal\"}]`"+ "\"releasedAt\":\"1997-06-01\""+ "}]");" is 873.,17
Jarcionek_MTG-Deck-Builder,mtgdeckbuilder.backend,JsonToCardsImageInfosConverterTest,convertsJsonWithSingleCard,Magic Number,The method contains a magic number: 4253,17
Jarcionek_MTG-Deck-Builder,mtgdeckbuilder.backend,JsonToCardsImageInfosConverterTest,convertsJsonWithMultipleCards,Long Identifier,The length of the field jsonToCardsImageInfosConverter is 30.,51
Jarcionek_MTG-Deck-Builder,mtgdeckbuilder.backend,JsonToCardsImageInfosConverterTest,convertsJsonWithMultipleCards,Long Statement,The length of the statement "Set<CardImageInfo> cardImageInfos=jsonToCardsImageInfosConverter.convert("[" + "{" + "\"id\":5`"+ "\"name\":\"Name One\"`"+ "\"releasedAt\":\"2007-03-02\""+ "}`"+ "{"+ "\"id\":3456`"+ "\"name\":\"Name Three\"`"+ "\"releasedAt\":\"2005-12-13\""+ "}`"+ "{"+ "\"id\":17945`"+ "\"name\":\"Name Two\"`"+ "\"releasedAt\":\"1994-08-25\""+ "}"+ "]");" is 342.,51
Jarcionek_MTG-Deck-Builder,mtgdeckbuilder.backend,JsonToCardsImageInfosConverterTest,convertsJsonWithMultipleCards,Long Statement,The length of the statement "assertThat(cardImageInfos`is(sameBeanAs(set(new CardImageInfo(5`"Name One")`new CardImageInfo(3456`"Name Three")`new CardImageInfo(17945`"Name Two")))));" is 153.,51
Jarcionek_MTG-Deck-Builder,mtgdeckbuilder.backend,JsonToCardsImageInfosConverterTest,convertsJsonWithMultipleCards,Magic Number,The method contains a magic number: 5,51
Jarcionek_MTG-Deck-Builder,mtgdeckbuilder.backend,JsonToCardsImageInfosConverterTest,convertsJsonWithMultipleCards,Magic Number,The method contains a magic number: 3456,51
Jarcionek_MTG-Deck-Builder,mtgdeckbuilder.backend,JsonToCardsImageInfosConverterTest,convertsJsonWithMultipleCards,Magic Number,The method contains a magic number: 17945,51
Jarcionek_MTG-Deck-Builder,mtgdeckbuilder.backend,JsonToCardsImageInfosConverterTest,choosesMostRecentIdWhenMultipleCardsHaveSameName,Long Identifier,The length of the field jsonToCardsImageInfosConverter is 30.,76
Jarcionek_MTG-Deck-Builder,mtgdeckbuilder.backend,JsonToCardsImageInfosConverterTest,choosesMostRecentIdWhenMultipleCardsHaveSameName,Long Statement,The length of the statement "Set<CardImageInfo> cardImageInfos=jsonToCardsImageInfosConverter.convert("[" + "{" + "\"id\":295`"+ "\"name\":\"Plains\"`"+ "\"releasedAt\":\"1993-08-05\""+ "}`"+ "{"+ "\"id\":1397`"+ "\"name\":\"Plains\"`"+ "\"releasedAt\":\"2012-04-01\""+ "}`"+ "{"+ "\"id\":597`"+ "\"name\":\"Plains\"`"+ "\"releasedAt\":\"1993-10-01\""+ "}`"+ "{"+ "\"id\":2386`"+ "\"name\":\"Plains\"`"+ "\"releasedAt\":\"2012-04-02\""+ "}`"+ "{"+ "\"id\":899`"+ "\"name\":\"Plains\"`"+ "\"releasedAt\":\"1993-12-01\""+ "}"+ "]");" is 501.,76
Jarcionek_MTG-Deck-Builder,mtgdeckbuilder.backend,JsonToCardsImageInfosConverterTest,choosesMostRecentIdWhenMultipleCardsHaveSameName,Magic Number,The method contains a magic number: 2386,76
Jarcionek_MTG-Deck-Builder,mtgdeckbuilder.backend,JsonToCardsImageInfosConverterTest,ignoresEntriesWithNoReleasedAtWhenThereAreTwoCardsWithTheSameName,Long Identifier,The length of the field jsonToCardsImageInfosConverter is 30.,111
Jarcionek_MTG-Deck-Builder,mtgdeckbuilder.backend,JsonToCardsImageInfosConverterTest,ignoresEntriesWithNoReleasedAtWhenThereAreTwoCardsWithTheSameName,Long Statement,The length of the statement "Set<CardImageInfo> cardImageInfos=jsonToCardsImageInfosConverter.convert("[" + "{" + "\"id\":295`"+ "\"name\":\"Plains\"`"+ "\"releasedAt\":\"1993-08-05\""+ "}`"+ "{"+ "\"id\":1397`"+ "\"name\":\"Plains\"`"+ "\"releasedAt\":null"+ "}"+ "]");" is 241.,111
Jarcionek_MTG-Deck-Builder,mtgdeckbuilder.backend,JsonToCardsImageInfosConverterTest,ignoresEntriesWithNoReleasedAtWhenThereAreTwoCardsWithTheSameName,Magic Number,The method contains a magic number: 295,111
Jarcionek_MTG-Deck-Builder,mtgdeckbuilder.backend,CardImageDownloaderTest,downloadsMissingImages,Long Statement,The length of the statement "verify(imageDownloader`times(1)).download(new Url("http://api.mtgdb.info/content/card_images/35.jpeg")`LOW_RES_FILE_ONE);" is 121.,56
Jarcionek_MTG-Deck-Builder,mtgdeckbuilder.backend,CardImageDownloaderTest,downloadsMissingImages,Long Statement,The length of the statement "verify(imageDownloader`times(1)).download(new Url("http://api.mtgdb.info/content/hi_res_card_images/35.jpg")`HIGH_RES_FILE_ONE);" is 128.,56
Jarcionek_MTG-Deck-Builder,mtgdeckbuilder.backend,CardImageDownloaderTest,downloadsMissingImages,Magic Number,The method contains a magic number: 35,56
Jarcionek_MTG-Deck-Builder,mtgdeckbuilder.backend,CardImageDownloaderTest,doesNotDownloadHighResCardsIfTheyAlreadyExist,Long Statement,The length of the statement "verify(imageDownloader`times(1)).download(new Url("http://api.mtgdb.info/content/card_images/12.jpeg")`LOW_RES_FILE_ONE);" is 121.,64
Jarcionek_MTG-Deck-Builder,mtgdeckbuilder.backend,CardImageDownloaderTest,doesNotDownloadHighResCardsIfTheyAlreadyExist,Long Statement,The length of the statement "verify(imageDownloader`times(1)).download(new Url("http://api.mtgdb.info/content/card_images/17.jpeg")`LOW_RES_FILE_TWO);" is 121.,64
Jarcionek_MTG-Deck-Builder,mtgdeckbuilder.backend,CardImageDownloaderTest,doesNotDownloadHighResCardsIfTheyAlreadyExist,Magic Number,The method contains a magic number: 12,64
Jarcionek_MTG-Deck-Builder,mtgdeckbuilder.backend,CardImageDownloaderTest,doesNotDownloadHighResCardsIfTheyAlreadyExist,Magic Number,The method contains a magic number: 17,64
Jarcionek_MTG-Deck-Builder,mtgdeckbuilder.backend,CardImageDownloaderTest,doesNotDownloadLowResCardsIfTheyAlreadyExist,Long Statement,The length of the statement "verify(imageDownloader`times(1)).download(new Url("http://api.mtgdb.info/content/hi_res_card_images/1.jpg")`HIGH_RES_FILE_THREE);" is 129.,77
