Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
Jarcionek_MTG-Deck-Builder,mtgdeckbuilder.backend,TagsManagerTest,addsNameToTagFile,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Jarcionek_MTG-Deck-Builder,mtgdeckbuilder.backend,TagsManagerTest,doesNotAddNameWhichIsAlreadyInTagFile,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Jarcionek_MTG-Deck-Builder,mtgdeckbuilder.backend,TagsManagerTest,removesExistingNameFromTagFile,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Jarcionek_MTG-Deck-Builder,mtgdeckbuilder.backend,TagsManagerTest,delegatesEmptyListWhenCreatingNewTag,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Jarcionek_MTG-Deck-Builder,mtgdeckbuilder.backend,CardImageDownloaderTest,downloadsMissingImages,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Jarcionek_MTG-Deck-Builder,mtgdeckbuilder.backend,CardImageDownloaderTest,doesNotDownloadHighResCardsIfTheyAlreadyExist,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Jarcionek_MTG-Deck-Builder,mtgdeckbuilder.backend,CardImageDownloaderTest,doesNotDownloadLowResCardsIfTheyAlreadyExist,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Jarcionek_MTG-Deck-Builder,mtgdeckbuilder.backend,CardImageDownloaderTest,notifiesAboutProgress,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Jarcionek_MTG-Deck-Builder,mtgdeckbuilder.backend,ImageDownloaderTest,downloadsImageToFile,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
Jarcionek_MTG-Deck-Builder,mtgdeckbuilder.backend,ImageDownloaderTest,createsParentDirectoryIfItDoesNotExist,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
Jarcionek_MTG-Deck-Builder,mtgdeckbuilder.backend,TagFilesManagerTest,savesToFiles,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
Jarcionek_MTG-Deck-Builder,mtgdeckbuilder.backend,TagFilesManagerTest,overridesExistingFile,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
Jarcionek_MTG-Deck-Builder,mtgdeckbuilder.frontend,ActiveFiltersPanel,ActiveFiltersPanel,Constructor initialization,The tool detected the smell in this class because the class uses its constructor to initialize fields rather than test setup method.
Jarcionek_MTG-Deck-Builder,mtgdeckbuilder.frontend,ActiveFiltersPanel,setNames,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Jarcionek_MTG-Deck-Builder,mtgdeckbuilder.frontend,CardsDisplayPanel,CardsDisplayPanel,Constructor initialization,The tool detected the smell in this class because the class uses its constructor to initialize fields rather than test setup method.
Jarcionek_MTG-Deck-Builder,mtgdeckbuilder.frontend,CardsDisplayPanel,setLabelName,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Jarcionek_MTG-Deck-Builder,mtgdeckbuilder.frontend,CardTaggingPanel,CardTaggingPanel,Constructor initialization,The tool detected the smell in this class because the class uses its constructor to initialize fields rather than test setup method.
Jarcionek_MTG-Deck-Builder,mtgdeckbuilder.frontend,CardTaggingPanel,setNames,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Jarcionek_MTG-Deck-Builder,mtgdeckbuilder.frontend,NewFilterPanel,NewFilterPanel,Constructor initialization,The tool detected the smell in this class because the class uses its constructor to initialize fields rather than test setup method.
Jarcionek_MTG-Deck-Builder,mtgdeckbuilder.frontend,NewFilterPanel,setComponentsNames,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Jarcionek_MTG-Deck-Builder,mtgdeckbuilder.frontend,SearchButtonPanel,SearchButtonPanel,Constructor initialization,The tool detected the smell in this class because the class uses its constructor to initialize fields rather than test setup method.
Jarcionek_MTG-Deck-Builder,mtgdeckbuilder.frontend,SearchButtonPanel,setNames,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Jarcionek_MTG-Deck-Builder,mtgdeckbuilder.frontend,TagAddPanel,TagAddPanel,Constructor initialization,The tool detected the smell in this class because the class uses its constructor to initialize fields rather than test setup method.
Jarcionek_MTG-Deck-Builder,mtgdeckbuilder.frontend,TagAddPanel,setNames,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Jarcionek_MTG-Deck-Builder,mtgdeckbuilder.frontend,TagViewer,TagViewer,Constructor initialization,The tool detected the smell in this class because the class uses its constructor to initialize fields rather than test setup method.
Jarcionek_MTG-Deck-Builder,mtgdeckbuilder.frontend,TagViewer,setNames,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Jarcionek_MTG-Deck-Builder,mtgdeckbuilder.frontend,ActiveFiltersPanelTest,subscribesToAddFilterTopic,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Jarcionek_MTG-Deck-Builder,mtgdeckbuilder.frontend,ActiveFiltersPanelTest,displaysTwoNewlyAddedFilters,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
Jarcionek_MTG-Deck-Builder,mtgdeckbuilder.frontend,ActiveFiltersPanelTest,canDeleteFilter,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
Jarcionek_MTG-Deck-Builder,mtgdeckbuilder.frontend,CardsDisplayPanelTest,loadsCards,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
Jarcionek_MTG-Deck-Builder,mtgdeckbuilder.frontend,CardsDisplayPanelTest,doesNotCrashWhenLoadingEmptyList,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Jarcionek_MTG-Deck-Builder,mtgdeckbuilder.frontend,CardsDisplayPanelTest,manualFrontEndTestWithFiveDifferentCards,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Jarcionek_MTG-Deck-Builder,mtgdeckbuilder.frontend,CardsDisplayPanelTest,manualFrontEndTestWithFiveDifferentCards,Ignored test,The tool detected the smell in this test method because the test is excluded from testing.
Jarcionek_MTG-Deck-Builder,mtgdeckbuilder.frontend,CardsDisplayPanelTest,manualFrontEndTestWithManyCards,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Jarcionek_MTG-Deck-Builder,mtgdeckbuilder.frontend,CardsDisplayPanelTest,manualFrontEndTestWithManyCards,Ignored test,The tool detected the smell in this test method because the test is excluded from testing.
Jarcionek_MTG-Deck-Builder,mtgdeckbuilder.frontend,CardTaggingPanelTest,tagsCardAndNotifiesTopicWhenPressingTagButton,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
