Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
JsonHunt_mobile-app-scaffolding,com.squareup.okhttp,Connection,Feature Envy,The tool detected a instance of this smell because requiresTunnel is more interested in members of the type: Route
JsonHunt_mobile-app-scaffolding,com.squareup.okhttp,Connection,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: OkHttpClient; Dispatcher; ResponseHeaders; RawHeaders; HttpEngine; Connection; TunnelRequest; HttpAuthenticator; RouteSelector; ConnectionPool; Transport; RequestHeaders; HttpURLConnectionImpl; Request; Response; Job; HttpTransport; Failure
JsonHunt_mobile-app-scaffolding,com.squareup.okhttp,Dispatcher.RealResponseBody,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: responseHeaders; in
JsonHunt_mobile-app-scaffolding,com.squareup.okhttp,Dispatcher.RealResponseBody,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
JsonHunt_mobile-app-scaffolding,com.squareup.okhttp,Failure.Builder,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: request; exception
JsonHunt_mobile-app-scaffolding,com.squareup.okhttp,Failure.Builder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
JsonHunt_mobile-app-scaffolding,com.squareup.okhttp,HttpResponseCache,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
JsonHunt_mobile-app-scaffolding,com.squareup.okhttp,HttpResponseCache,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 22 public methods
JsonHunt_mobile-app-scaffolding,com.squareup.okhttp,HttpResponseCache.CacheRequestImpl,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: editor; cacheOut; done; body
JsonHunt_mobile-app-scaffolding,com.squareup.okhttp,HttpResponseCache.CacheRequestImpl,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
JsonHunt_mobile-app-scaffolding,com.squareup.okhttp,HttpResponseCache.Entry,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
JsonHunt_mobile-app-scaffolding,com.squareup.okhttp,HttpResponseCache.Entry,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: uri; varyHeaders; requestMethod; responseHeaders; cipherSuite; peerCertificates; localCertificates
JsonHunt_mobile-app-scaffolding,com.squareup.okhttp,HttpResponseCache.EntryCacheResponse,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: entry; snapshot; in
JsonHunt_mobile-app-scaffolding,com.squareup.okhttp,HttpResponseCache.EntryCacheResponse,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
JsonHunt_mobile-app-scaffolding,com.squareup.okhttp,HttpResponseCache.EntrySecureCacheResponse,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: entry; snapshot; in
