Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
JsonHunt_mobile-app-scaffolding,com.squareup.okhttp,Address,Address,Long Parameter List,The method has 7 parameters. ,46
JsonHunt_mobile-app-scaffolding,com.squareup.okhttp,Address,equals,Long Statement,The length of the statement "return equal(this.proxy`that.proxy) && this.uriHost.equals(that.uriHost) && this.uriPort == that.uriPort && equal(this.sslSocketFactory`that.sslSocketFactory) && equal(this.hostnameVerifier`that.hostnameVerifier) && equal(this.authenticator`that.authenticator) && equal(this.transports`that.transports);" is 303.,115
JsonHunt_mobile-app-scaffolding,com.squareup.okhttp,Address,hashCode,Magic Number,The method contains a magic number: 17,129
JsonHunt_mobile-app-scaffolding,com.squareup.okhttp,Address,hashCode,Magic Number,The method contains a magic number: 31,129
JsonHunt_mobile-app-scaffolding,com.squareup.okhttp,Address,hashCode,Magic Number,The method contains a magic number: 31,129
JsonHunt_mobile-app-scaffolding,com.squareup.okhttp,Address,hashCode,Magic Number,The method contains a magic number: 31,129
JsonHunt_mobile-app-scaffolding,com.squareup.okhttp,Address,hashCode,Magic Number,The method contains a magic number: 31,129
JsonHunt_mobile-app-scaffolding,com.squareup.okhttp,Address,hashCode,Magic Number,The method contains a magic number: 31,129
JsonHunt_mobile-app-scaffolding,com.squareup.okhttp,Address,hashCode,Magic Number,The method contains a magic number: 31,129
JsonHunt_mobile-app-scaffolding,com.squareup.okhttp,Address,hashCode,Magic Number,The method contains a magic number: 31,129
JsonHunt_mobile-app-scaffolding,com.squareup.okhttp,Connection,upgradeToTls,Complex Method,Cyclomatic complexity of the method is 8,112
JsonHunt_mobile-app-scaffolding,com.squareup.okhttp,Connection,makeTunnel,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@8f8c4ad,299
JsonHunt_mobile-app-scaffolding,com.squareup.okhttp,Connection,streamWrapper,Magic Number,The method contains a magic number: 4096,331
JsonHunt_mobile-app-scaffolding,com.squareup.okhttp,Connection,streamWrapper,Magic Number,The method contains a magic number: 256,331
JsonHunt_mobile-app-scaffolding,com.squareup.okhttp,ConnectionPool,call,Complex Method,Cyclomatic complexity of the method is 8,87
JsonHunt_mobile-app-scaffolding,com.squareup.okhttp,ConnectionPool,call,Long Statement,The length of the statement "for (ListIterator<Connection> i=connections.listIterator(connections.size()); i.hasPrevious() && idleConnectionCount > maxIdleConnections; ) {" is 142.,87
JsonHunt_mobile-app-scaffolding,com.squareup.okhttp,ConnectionPool,ConnectionPool,Magic Number,The method contains a magic number: 1000,120
JsonHunt_mobile-app-scaffolding,com.squareup.okhttp,ConnectionPool,ConnectionPool,Magic Number,The method contains a magic number: 1000,120
JsonHunt_mobile-app-scaffolding,com.squareup.okhttp,ConnectionPool,get,Complex Conditional,The conditional expression !connection.getRoute().getAddress().equals(address) || !connection.isAlive() || System.nanoTime() - connection.getIdleStartTimeNs() >= keepAliveDurationNs is complex.,178
JsonHunt_mobile-app-scaffolding,com.squareup.okhttp,ConnectionPool,get,Long Statement,The length of the statement "if (!connection.getRoute().getAddress().equals(address) || !connection.isAlive() || System.nanoTime() - connection.getIdleStartTimeNs() >= keepAliveDurationNs) {" is 161.,178
JsonHunt_mobile-app-scaffolding,com.squareup.okhttp,Dispatcher,enqueue,Magic Number,The method contains a magic number: 2,35
JsonHunt_mobile-app-scaffolding,com.squareup.okhttp,HttpResponseCache,maybeRemove,Complex Conditional,The conditional expression requestMethod.equals("POST") || requestMethod.equals("PUT") || requestMethod.equals("DELETE") is complex.,247
JsonHunt_mobile-app-scaffolding,com.squareup.okhttp,HttpResponseCache,maybeRemove,Empty catch clause,The method has an empty catch block.,247
JsonHunt_mobile-app-scaffolding,com.squareup.okhttp,HttpResponseCache,update,Long Statement,The length of the statement "DiskLruCache.Snapshot snapshot=(conditionalCacheHit instanceof EntryCacheResponse) ? ((EntryCacheResponse)conditionalCacheHit).snapshot : ((EntrySecureCacheResponse)conditionalCacheHit).snapshot;" is 195.,264
JsonHunt_mobile-app-scaffolding,com.squareup.okhttp,HttpResponseCache,abortQuietly,Empty catch clause,The method has an empty catch block.,287
JsonHunt_mobile-app-scaffolding,com.squareup.okhttp,Job,execute,Long Statement,The length of the statement "Dispatcher.RealResponseBody responseBody=new Dispatcher.RealResponseBody(engine.getResponseHeaders()`engine.getResponseBody());" is 127.,107
