Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
JvalantPatel_AvailabilityManager,com.app.handlers,AlarmHandler,Law of Demeter violation,The tool detected the smell in this method (createAlarm) because the method voilates the law of Demeter. The long chain of method invocations is : com.app.data.InfrastructureData.getInstance; com.app.data.InfrastructureData.getServiceInstance
JvalantPatel_AvailabilityManager,com.app.handlers,AlarmHandler,Law of Demeter violation,The tool detected the smell in this method (checkAlarm) because the method voilates the law of Demeter. The long chain of method invocations is : com.app.data.InfrastructureData.getInstance; com.app.data.InfrastructureData.getServiceInstance
JvalantPatel_AvailabilityManager,com.app.handlers,RecoveryHandler,Law of Demeter violation,The tool detected the smell in this method (recoverVM) because the method voilates the law of Demeter. The long chain of method invocations is : com.app.data.InfrastructureData.getInstance; com.app.data.InfrastructureData.getHostSystems
JvalantPatel_AvailabilityManager,com.app.handlers,RecoveryHandler,Law of Demeter violation,The tool detected the smell in this method (getvHostFromAdminVCenter) because the method voilates the law of Demeter. The long chain of method invocations is : com.app.data.InfrastructureData.getInstance; com.app.data.InfrastructureData.getAdminServiceInstance
JvalantPatel_AvailabilityManager,com.app.managers,HeartbeatManager,Law of Demeter violation,The tool detected the smell in this method (HeartbeatManager) because the method voilates the law of Demeter. The long chain of method invocations is : com.app.data.InfrastructureData.getInstance; com.app.data.InfrastructureData.getServiceInstance
JvalantPatel_AvailabilityManager,com.app.managers,HeartbeatManager,Law of Demeter violation,The tool detected the smell in this method (ping) because the method voilates the law of Demeter. The long chain of method invocations is : com.app.data.InfrastructureData.getInstance; com.app.data.InfrastructureData.getHostSystems
JvalantPatel_AvailabilityManager,com.app.managers,HeartbeatManager,Law of Demeter violation,The tool detected the smell in this method (run) because the method voilates the law of Demeter. The long chain of method invocations is : com.app.data.InfrastructureData.getInstance; com.app.data.InfrastructureData.updateInfra
JvalantPatel_AvailabilityManager,com.app.managers,SnapshotManager,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.app.handlers.SnapshotHandler
JvalantPatel_AvailabilityManager,com.app.managers,SnapshotManager,Law of Demeter violation,The tool detected the smell in this method (SnapshotManager) because the method voilates the law of Demeter. The long chain of method invocations is : com.app.data.InfrastructureData.getInstance; com.app.data.InfrastructureData.getServiceInstance
JvalantPatel_AvailabilityManager,com.app.managers,SnapshotManager,Law of Demeter violation,The tool detected the smell in this method (SnapshotManager) because the method voilates the law of Demeter. The long chain of method invocations is : com.app.data.InfrastructureData.getInstance; com.app.data.InfrastructureData.getAdminServiceInstance
JvalantPatel_AvailabilityManager,test.com.app.handlers,ReconnectHost,Law of Demeter violation,The tool detected the smell in this method (getStatusOfAllvHosts) because the method voilates the law of Demeter. The long chain of method invocations is : com.app.data.InfrastructureData.getInstance; com.app.data.InfrastructureData.getServiceInstance
JvalantPatel_AvailabilityManager,test.com.app.handlers,RecoveryHandlerTest,Law of Demeter violation,The tool detected the smell in this method (powerOnvHost) because the method voilates the law of Demeter. The long chain of method invocations is : com.app.data.InfrastructureData.getInstance; com.app.data.InfrastructureData.getServiceInstance
JvalantPatel_AvailabilityManager,test.com.app.handlers,RecoveryHandlerTest,Law of Demeter violation,The tool detected the smell in this method (getvHostFromAdminVCenter) because the method voilates the law of Demeter. The long chain of method invocations is : com.app.data.InfrastructureData.getInstance; com.app.data.InfrastructureData.getAdminServiceInstance
JvalantPatel_AvailabilityManager,test.com.app.handlers,RecoverySnapshot,Law of Demeter violation,The tool detected the smell in this method (getStatusOfAllvHosts) because the method voilates the law of Demeter. The long chain of method invocations is : com.app.data.InfrastructureData.getInstance; com.app.data.InfrastructureData.getServiceInstance
JvalantPatel_AvailabilityManager,test.com.app.handlers,RecoverySnapshot,Law of Demeter violation,The tool detected the smell in this method (getStatusOfAllvHosts) because the method voilates the law of Demeter. The long chain of method invocations is : com.app.data.InfrastructureData.getInstance; com.app.data.InfrastructureData.getAdminServiceInstance
JvalantPatel_AvailabilityManager,test.com.app.handlers,VMinfo,Law of Demeter violation,The tool detected the smell in this method (getStatusOfAllvHosts) because the method voilates the law of Demeter. The long chain of method invocations is : com.app.data.InfrastructureData.getInstance; com.app.data.InfrastructureData.getServiceInstance
