Project Name,Package Name,Architecture Smell,Cause of the Smell
LingZhong_thesis,org.apache.zookeeper.graph,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [FilterException; FilterOp; FilterParser; Log4JSource; Log4JSource.Log4JSourceIterator; LogEntry; LogIterator; LogSkipList; LogSource; MeasureThroughput; MergedLogSource; MergedLogSource.MergedLogSourceIterator; RandomAccessFileReader; TransactionEntry; TxnLogSource; TxnLogSource.TxnLogSourceIterator; JsonGenerator; Log4JEntry; LogServer]; [FilterOp.ArgType]; [JsonGenerator.Message]; [LogEntry.Type]; [LogSkipList.Mark]. LCC (Lack of Component Cohesion) = 0.22
LingZhong_thesis,org.apache.zookeeper.graph.filterops,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AndOp]; [Arg; GreaterThanOp; LessThanOp; NumberArg; StringArg; SymbolArg]; [EqualsOp]; [NotOp]; [OrOp]; [XorOp]. LCC (Lack of Component Cohesion) = 0.55
LingZhong_thesis,org.apache.zookeeper.graph.servlets,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [FileLoader; JsonServlet; NumEvents; Throughput; Fs; GraphData]; [JsonServlet.JsonRequest]; [StaticContent]. LCC (Lack of Component Cohesion) = 0.38
LingZhong_thesis,org.apache.zookeeper.inspector.gui.nodeviewer,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.zookeeper.inspector.gui
LingZhong_thesis,org.apache.zookeeper.inspector.gui,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [NodeViewersChangeListener; ZooInspectorPanel; ZooInspectorTreeViewer; ZooInspectorAboutDialog; ZooInspectorIconResources; ZooInspectorNodeViewersDialog; ZooInspectorConnectionPropertiesDialog; ZooInspectorNodeViewersPanel]; [ZooInspectorTreeViewer.ZooInspectorTreeCellRenderer]; [ZooInspectorTreeViewer.ZooInspectorTreeNode]. LCC (Lack of Component Cohesion) = 0.3
LingZhong_thesis,org.apache.zookeeper.inspector.gui,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.zookeeper.inspector.gui; org.apache.zookeeper.inspector.gui.nodeviewer; org.apache.zookeeper.inspector.gui
LingZhong_thesis,org.apache.zookeeper.recipes.leader,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [LeaderElectionAware; LeaderElectionSupport; LeaderOffer; LeaderElectionSupportTest; LeaderElectionSupport; LeaderElectionSupportTest]; [LeaderElectionSupport.EventType]; [LeaderElectionSupport.State]; [LeaderOffer.IdComparator]; [LeaderElectionAware]; [LeaderElectionSupport.EventType]; [LeaderElectionSupport.State]; [LeaderOffer]; [LeaderOffer.IdComparator]. LCC (Lack of Component Cohesion) = 0.64
LingZhong_thesis,org.apache.zookeeper.recipes.lock,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [LockListener; WriteLock; ZNodeName; ZooKeeperOperation; WriteLockTest; WriteLockTest.LockCallback; ProtocolSupport; WriteLock; WriteLock.LockZooKeeperOperation; ZNodeName; WriteLockTest; WriteLockTest.LockCallback; ProtocolSupport; WriteLock.LockZooKeeperOperation]; [WriteLock.LockWatcher]; [ZNodeNameTest]; [LockListener]; [WriteLock.LockWatcher]; [ZooKeeperOperation]; [ZNodeNameTest]. LCC (Lack of Component Cohesion) = 0.35
LingZhong_thesis,org.apache.zookeeper.recipes.queue,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [DistributedQueue; DistributedQueueTest; DistributedQueueTest]; [DistributedQueue.LatchChildWatcher]; [DistributedQueue]; [DistributedQueue.LatchChildWatcher]. LCC (Lack of Component Cohesion) = 0.67
LingZhong_thesis,(default package),Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ExecutionService; ZkConnector; ZkUtil; A; B; Test; ExecutionThreadHandler; Job; Worker]; [ZkConnector]; [ZkConnector]; [MD5Test]; [ZkConnector]. LCC (Lack of Component Cohesion) = 0.38
