Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
LingZhong_thesis,org.apache.zookeeper.util,FatJarMain,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
LingZhong_thesis,org.apache.zookeeper.util,FatJarMain.Cmd,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: cmd; clazz; desc
LingZhong_thesis,org.apache.zookeeper.util,FatJarMain.Cmd,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
LingZhong_thesis,org.apache.zookeeper.graph,FilterOp.ArgType,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
LingZhong_thesis,org.apache.zookeeper.graph,FilterOp.ArgType,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
LingZhong_thesis,org.apache.zookeeper.graph,JsonGenerator,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
LingZhong_thesis,org.apache.zookeeper.graph,JsonGenerator.Message,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: from; to; zxid
LingZhong_thesis,org.apache.zookeeper.graph,JsonGenerator.Message,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
LingZhong_thesis,org.apache.zookeeper.graph,Log4JSource.Log4JSourceIterator,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
LingZhong_thesis,org.apache.zookeeper.graph,Log4JSource.Log4JSourceIterator,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: in; next; starttime; endtime; buf; src; skippedAtStart; dateformat; filter
LingZhong_thesis,org.apache.zookeeper.graph,LogEntry.Type,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
LingZhong_thesis,org.apache.zookeeper.graph,LogEntry.Type,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
LingZhong_thesis,org.apache.zookeeper.graph,LogServer,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
LingZhong_thesis,org.apache.zookeeper.graph,LogSkipList.Mark,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: time; bytes; skipped
LingZhong_thesis,org.apache.zookeeper.graph,LogSkipList.Mark,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
LingZhong_thesis,org.apache.zookeeper.graph,MeasureThroughput,Imperative Abstraction,The tool detected the smell in this class because it looks like that an operation is turned into a class. This class contains only the following public method: main
LingZhong_thesis,org.apache.zookeeper.graph,MeasureThroughput,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
LingZhong_thesis,org.apache.zookeeper.graph,MergedLogSource.MergedLogSourceIterator,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
LingZhong_thesis,org.apache.zookeeper.graph,MergedLogSource.MergedLogSourceIterator,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: next; start; end; src; sources; nexts; filter
LingZhong_thesis,org.apache.zookeeper.graph,RandomAccessFileReader,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 23 public methods
LingZhong_thesis,org.apache.zookeeper.graph,TxnLogSource.TxnLogSourceIterator,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
LingZhong_thesis,org.apache.zookeeper.graph,TxnLogSource.TxnLogSourceIterator,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: next; starttime; endtime; src; reader; logStream; skippedAtStart; filter
LingZhong_thesis,org.apache.zookeeper.graph.filterops,AndOp,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
LingZhong_thesis,org.apache.zookeeper.graph.filterops,EqualsOp,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
LingZhong_thesis,org.apache.zookeeper.graph.filterops,GreaterThanOp,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
LingZhong_thesis,org.apache.zookeeper.graph.filterops,LessThanOp,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
LingZhong_thesis,org.apache.zookeeper.graph.filterops,NotOp,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
LingZhong_thesis,org.apache.zookeeper.graph.filterops,NumberArg,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
LingZhong_thesis,org.apache.zookeeper.graph.filterops,NumberArg,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): Arg
LingZhong_thesis,org.apache.zookeeper.graph.filterops,OrOp,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
LingZhong_thesis,org.apache.zookeeper.graph.filterops,StringArg,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
LingZhong_thesis,org.apache.zookeeper.graph.filterops,StringArg,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): Arg
LingZhong_thesis,org.apache.zookeeper.graph.filterops,SymbolArg,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
LingZhong_thesis,org.apache.zookeeper.graph.filterops,SymbolArg,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): Arg
LingZhong_thesis,org.apache.zookeeper.graph.filterops,XorOp,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
LingZhong_thesis,org.apache.zookeeper.graph.servlets,FileLoader,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
LingZhong_thesis,org.apache.zookeeper.graph.servlets,FileLoader,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): JsonServlet
LingZhong_thesis,org.apache.zookeeper.graph.servlets,Fs,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
LingZhong_thesis,org.apache.zookeeper.graph.servlets,Fs,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): JsonServlet
LingZhong_thesis,org.apache.zookeeper.graph.servlets,GraphData,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
LingZhong_thesis,org.apache.zookeeper.graph.servlets,GraphData,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): JsonServlet
LingZhong_thesis,org.apache.zookeeper.graph.servlets,JsonServlet.JsonRequest,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: map
LingZhong_thesis,org.apache.zookeeper.graph.servlets,JsonServlet.JsonRequest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
LingZhong_thesis,org.apache.zookeeper.graph.servlets,NumEvents,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
LingZhong_thesis,org.apache.zookeeper.graph.servlets,NumEvents,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): JsonServlet
LingZhong_thesis,org.apache.zookeeper.graph.servlets,StaticContent,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
LingZhong_thesis,org.apache.zookeeper.graph.servlets,Throughput,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
LingZhong_thesis,org.apache.zookeeper.inspector.encryption,BasicDataEncryptionManager,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
LingZhong_thesis,org.apache.zookeeper.inspector.gui.nodeviewer,NodeViewerACL,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
LingZhong_thesis,org.apache.zookeeper.inspector.gui.nodeviewer,NodeViewerData,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
LingZhong_thesis,org.apache.zookeeper.inspector.gui.nodeviewer,NodeViewerMetaData,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
LingZhong_thesis,org.apache.zookeeper.inspector.gui.nodeviewer,ZooInspectorNodeViewer,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: nodeViewerDataFlavor
LingZhong_thesis,org.apache.zookeeper.inspector.gui,ZooInspectorConnectionPropertiesDialog,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: ZooInspectorPanel; ZooInspectorConnectionPropertiesDialog
LingZhong_thesis,org.apache.zookeeper.inspector.gui,ZooInspectorPanel,Feature Envy,The tool detected a instance of this smell because actionPerformed is more interested in members of the type: ZooInspectorManager
LingZhong_thesis,org.apache.zookeeper.inspector.gui,ZooInspectorTreeViewer.ZooInspectorTreeCellRenderer,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
LingZhong_thesis,org.apache.zookeeper.inspector.gui,ZooInspectorTreeViewer.ZooInspectorTreeCellRenderer,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
LingZhong_thesis,org.apache.zookeeper.inspector.gui,ZooInspectorTreeViewer.ZooInspectorTreeNode,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: nodePath; nodeName; parent
LingZhong_thesis,org.apache.zookeeper.inspector.gui,ZooInspectorTreeViewer.ZooInspectorTreeNode,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
LingZhong_thesis,org.apache.zookeeper.inspector.manager,ZooInspectorManager,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): ZooInspectorNodeManager; ZooInspectorNodeTreeManager
LingZhong_thesis,org.apache.zookeeper.inspector.manager,ZooInspectorManagerImpl,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
LingZhong_thesis,org.apache.zookeeper.inspector.manager,ZooInspectorManagerImpl,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: A_VERSION; C_TIME; C_VERSION; CZXID; DATA_LENGTH; EPHEMERAL_OWNER; M_TIME; MZXID; NUM_CHILDREN; PZXID; VERSION; ACL_PERMS; ACL_SCHEME; ACL_ID; SESSION_STATE; SESSION_ID; CONNECT_STRING; SESSION_TIMEOUT; DATA_ENCRYPTION_MANAGER; AUTH_SCHEME_KEY; AUTH_DATA_KEY; defaultNodeViewersFile; defaultConnectionFile; encryptionManager; connectString; sessionTimeout; zooKeeper; watchers; connected; lastConnectionProps; defaultEncryptionManager; defaultTimeout; defaultHosts; defaultAuthScheme; defaultAuthValue; nodePath; nodeListener; zookeeper; closed
LingZhong_thesis,org.apache.zookeeper.inspector.manager,ZooInspectorManagerImpl,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 27 public methods
LingZhong_thesis,org.apache.zookeeper.inspector.manager,ZooInspectorManagerImpl.NodeWatcher,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: nodePath; nodeListener; zookeeper; closed
LingZhong_thesis,org.apache.zookeeper.inspector.manager,ZooInspectorManagerImpl.NodeWatcher,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
LingZhong_thesis,org.apache.zookeeper.inspector.manager,ZooInspectorNodeManager,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): ZooInspectorReadOnlyManager
LingZhong_thesis,org.apache.zookeeper.inspector.manager,ZooInspectorNodeTreeManager,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): ZooInspectorReadOnlyManager
