Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
LingZhong_thesis,org.apache.zookeeper.recipes.leader,LeaderElectionSupportTest,testNode,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
LingZhong_thesis,org.apache.zookeeper.recipes.leader,LeaderElectionSupportTest,testOfferShuffle,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
LingZhong_thesis,org.apache.zookeeper.recipes.leader,LeaderElectionSupportTest,testGetLeaderHostName,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
LingZhong_thesis,org.apache.zookeeper.recipes.leader,LeaderElectionSupportTest,testNode,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
LingZhong_thesis,org.apache.zookeeper.recipes.leader,LeaderElectionSupportTest,testOfferShuffle,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
LingZhong_thesis,org.apache.zookeeper.recipes.leader,LeaderElectionSupportTest,testGetLeaderHostName,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
LingZhong_thesis,org.apache.zookeeper.recipes.lock,WriteLockTest,testRun,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
LingZhong_thesis,org.apache.zookeeper.recipes.lock,ZNodeNameTest,testOrderWithSamePrefix,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
LingZhong_thesis,org.apache.zookeeper.recipes.lock,ZNodeNameTest,testOrderWithDifferentPrefixes,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
LingZhong_thesis,org.apache.zookeeper.recipes.lock,WriteLockTest,testRun,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
LingZhong_thesis,org.apache.zookeeper.recipes.lock,ZNodeNameTest,testOrderWithSamePrefix,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
LingZhong_thesis,org.apache.zookeeper.recipes.lock,ZNodeNameTest,testOrderWithDifferentPrefixes,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
LingZhong_thesis,org.apache.zookeeper.recipes.queue,DistributedQueueTest,testRemove2,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
LingZhong_thesis,org.apache.zookeeper.recipes.queue,DistributedQueueTest,testRemove3,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
LingZhong_thesis,org.apache.zookeeper.recipes.queue,DistributedQueueTest,testElement1,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
LingZhong_thesis,org.apache.zookeeper.recipes.queue,DistributedQueueTest,testElement2,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
LingZhong_thesis,org.apache.zookeeper.recipes.queue,DistributedQueueTest,testElement3,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
LingZhong_thesis,org.apache.zookeeper.recipes.queue,DistributedQueueTest,testElement4,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
LingZhong_thesis,org.apache.zookeeper.recipes.queue,DistributedQueueTest,testTakeWait1,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
LingZhong_thesis,org.apache.zookeeper.recipes.queue,DistributedQueueTest,testTakeWait2,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
LingZhong_thesis,org.apache.zookeeper.recipes.queue,DistributedQueueTest,testRemove2,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
LingZhong_thesis,org.apache.zookeeper.recipes.queue,DistributedQueueTest,testRemove3,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
LingZhong_thesis,org.apache.zookeeper.recipes.queue,DistributedQueueTest,testElement1,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
LingZhong_thesis,org.apache.zookeeper.recipes.queue,DistributedQueueTest,testElement2,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
LingZhong_thesis,org.apache.zookeeper.recipes.queue,DistributedQueueTest,testElement3,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
LingZhong_thesis,org.apache.zookeeper.recipes.queue,DistributedQueueTest,testElement4,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
LingZhong_thesis,org.apache.zookeeper.recipes.queue,DistributedQueueTest,testTakeWait1,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
LingZhong_thesis,org.apache.zookeeper.recipes.queue,DistributedQueueTest,testTakeWait2,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
