Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
LingZhong_thesis,org.apache.zookeeper.util,FatJarMain,5,0,2,1,86,11,0,0,0.0,0,0,E:\Repositories\Cloned_Reposit\LingZhong_thesis\contrib\fatjar\src\java\org\apache\zookeeper\util\FatJarMain.java,30
LingZhong_thesis,org.apache.zookeeper.util,FatJarMain.Cmd,3,0,0,0,10,0,0,0,-1.0,0,0,E:\Repositories\Cloned_Reposit\LingZhong_thesis\contrib\fatjar\src\java\org\apache\zookeeper\util\FatJarMain.java,41
LingZhong_thesis,org.apache.zookeeper.graph,FilterException,0,0,1,1,5,1,0,0,-1.0,6,0,E:\Repositories\Cloned_Reposit\LingZhong_thesis\contrib\loggraph\src\java\org\apache\zookeeper\graph\FilterException.java,20
LingZhong_thesis,org.apache.zookeeper.graph,FilterOp,2,0,6,6,36,15,0,0,0.5,11,2,E:\Repositories\Cloned_Reposit\LingZhong_thesis\contrib\loggraph\src\java\org\apache\zookeeper\graph\FilterOp.java,23
LingZhong_thesis,org.apache.zookeeper.graph,FilterOp.ArgType,0,0,0,0,1,0,0,0,-1.0,0,0,E:\Repositories\Cloned_Reposit\LingZhong_thesis\contrib\loggraph\src\java\org\apache\zookeeper\graph\FilterOp.java,27
LingZhong_thesis,org.apache.zookeeper.graph,FilterParser,1,0,7,3,100,23,0,0,0.0,1,2,E:\Repositories\Cloned_Reposit\LingZhong_thesis\contrib\loggraph\src\java\org\apache\zookeeper\graph\FilterParser.java,27
LingZhong_thesis,org.apache.zookeeper.graph,JsonGenerator,5,0,4,4,162,19,0,0,0.5,0,5,E:\Repositories\Cloned_Reposit\LingZhong_thesis\contrib\loggraph\src\java\org\apache\zookeeper\graph\JsonGenerator.java,35
LingZhong_thesis,org.apache.zookeeper.graph,JsonGenerator.Message,3,0,0,0,13,0,0,0,-1.0,0,0,E:\Repositories\Cloned_Reposit\LingZhong_thesis\contrib\loggraph\src\java\org\apache\zookeeper\graph\JsonGenerator.java,39
LingZhong_thesis,org.apache.zookeeper.graph,Log4JEntry,0,0,5,5,19,5,0,1,-1.0,1,1,E:\Repositories\Cloned_Reposit\LingZhong_thesis\contrib\loggraph\src\java\org\apache\zookeeper\graph\Log4JEntry.java,20
LingZhong_thesis,org.apache.zookeeper.graph,Log4JSource,19,0,17,15,302,25,0,1,0.0,2,6,E:\Repositories\Cloned_Reposit\LingZhong_thesis\contrib\loggraph\src\java\org\apache\zookeeper\graph\Log4JSource.java,43
LingZhong_thesis,org.apache.zookeeper.graph,Log4JSource.Log4JSourceIterator,9,0,0,0,150,0,0,1,-1.0,0,5,E:\Repositories\Cloned_Reposit\LingZhong_thesis\contrib\loggraph\src\java\org\apache\zookeeper\graph\Log4JSource.java,68
LingZhong_thesis,org.apache.zookeeper.graph,LogEntry,1,0,5,5,18,5,2,0,0.4,18,0,E:\Repositories\Cloned_Reposit\LingZhong_thesis\contrib\loggraph\src\java\org\apache\zookeeper\graph\LogEntry.java,23
LingZhong_thesis,org.apache.zookeeper.graph,LogEntry.Type,0,0,0,0,1,0,0,0,-1.0,0,0,E:\Repositories\Cloned_Reposit\LingZhong_thesis\contrib\loggraph\src\java\org\apache\zookeeper\graph\LogEntry.java,26
LingZhong_thesis,org.apache.zookeeper.graph,LogIterator,0,0,1,0,3,1,3,0,-1.0,7,0,E:\Repositories\Cloned_Reposit\LingZhong_thesis\contrib\loggraph\src\java\org\apache\zookeeper\graph\LogIterator.java,24
LingZhong_thesis,org.apache.zookeeper.graph,LogServer,0,0,2,2,25,2,0,0,-1.0,0,1,E:\Repositories\Cloned_Reposit\LingZhong_thesis\contrib\loggraph\src\java\org\apache\zookeeper\graph\LogServer.java,36
LingZhong_thesis,org.apache.zookeeper.graph,LogSkipList,5,0,3,3,60,9,0,0,0.0,4,0,E:\Repositories\Cloned_Reposit\LingZhong_thesis\contrib\loggraph\src\java\org\apache\zookeeper\graph\LogSkipList.java,27
LingZhong_thesis,org.apache.zookeeper.graph,LogSkipList.Mark,3,0,0,0,22,0,0,0,-1.0,0,0,E:\Repositories\Cloned_Reposit\LingZhong_thesis\contrib\loggraph\src\java\org\apache\zookeeper\graph\LogSkipList.java,38
LingZhong_thesis,org.apache.zookeeper.graph,LogSource,0,0,7,7,9,7,3,0,-1.0,1,3,E:\Repositories\Cloned_Reposit\LingZhong_thesis\contrib\loggraph\src\java\org\apache\zookeeper\graph\LogSource.java,21
LingZhong_thesis,org.apache.zookeeper.graph,MeasureThroughput,3,0,1,1,60,6,0,0,0.0,0,4,E:\Repositories\Cloned_Reposit\LingZhong_thesis\contrib\loggraph\src\java\org\apache\zookeeper\graph\MeasureThroughput.java,28
LingZhong_thesis,org.apache.zookeeper.graph,MergedLogSource,12,0,11,11,144,15,0,1,0.0,4,7,E:\Repositories\Cloned_Reposit\LingZhong_thesis\contrib\loggraph\src\java\org\apache\zookeeper\graph\MergedLogSource.java,59
LingZhong_thesis,org.apache.zookeeper.graph,MergedLogSource.MergedLogSourceIterator,7,0,0,0,69,0,0,1,-1.0,0,4,E:\Repositories\Cloned_Reposit\LingZhong_thesis\contrib\loggraph\src\java\org\apache\zookeeper\graph\MergedLogSource.java,74
LingZhong_thesis,org.apache.zookeeper.graph,RandomAccessFileReader,9,0,24,23,251,51,0,0,0.16666666666666666,4,0,E:\Repositories\Cloned_Reposit\LingZhong_thesis\contrib\loggraph\src\java\org\apache\zookeeper\graph\RandomAccessFileReader.java,34
LingZhong_thesis,org.apache.zookeeper.graph,TransactionEntry,0,0,9,9,34,9,0,1,-1.0,2,1,E:\Repositories\Cloned_Reposit\LingZhong_thesis\contrib\loggraph\src\java\org\apache\zookeeper\graph\TransactionEntry.java,20
LingZhong_thesis,org.apache.zookeeper.graph,TxnLogSource,15,0,12,12,0,22,0,1,0.0,2,7,E:\Repositories\Cloned_Reposit\LingZhong_thesis\contrib\loggraph\src\java\org\apache\zookeeper\graph\TxnLogSource.java,58
LingZhong_thesis,org.apache.zookeeper.graph,TxnLogSource.TxnLogSourceIterator,8,0,0,0,0,0,0,1,-1.0,0,5,E:\Repositories\Cloned_Reposit\LingZhong_thesis\contrib\loggraph\src\java\org\apache\zookeeper\graph\TxnLogSource.java,88
LingZhong_thesis,org.apache.zookeeper.graph.filterops,AndOp,0,0,1,1,10,3,0,0,-1.0,0,1,E:\Repositories\Cloned_Reposit\LingZhong_thesis\contrib\loggraph\src\java\org\apache\zookeeper\graph\filterops\AndOp.java,24
LingZhong_thesis,org.apache.zookeeper.graph.filterops,Arg,2,0,4,3,16,4,3,0,0.0,2,0,E:\Repositories\Cloned_Reposit\LingZhong_thesis\contrib\loggraph\src\java\org\apache\zookeeper\graph\filterops\Arg.java,22
LingZhong_thesis,org.apache.zookeeper.graph.filterops,EqualsOp,0,0,1,1,17,4,0,0,-1.0,0,2,E:\Repositories\Cloned_Reposit\LingZhong_thesis\contrib\loggraph\src\java\org\apache\zookeeper\graph\filterops\EqualsOp.java,24
LingZhong_thesis,org.apache.zookeeper.graph.filterops,GreaterThanOp,0,0,1,1,46,12,0,0,-1.0,0,3,E:\Repositories\Cloned_Reposit\LingZhong_thesis\contrib\loggraph\src\java\org\apache\zookeeper\graph\filterops\GreaterThanOp.java,24
