Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
MagIciaNGTAO_leetcode,org.mingtaoz.a9.array,BinarySearch,binarySearch,16,4,2,6,0,,
MagIciaNGTAO_leetcode,org.mingtaoz.a9.array,BinarySearch,binarySearchDup,17,4,2,22,0,,
MagIciaNGTAO_leetcode,org.mingtaoz.a9.array,BinarySearch,binarySearchRecursive,3,1,2,41,0,org.mingtaoz.a9.array.BinarySearch,org.mingtaoz.a9.array.BinarySearch
MagIciaNGTAO_leetcode,org.mingtaoz.a9.array,BinarySearch,bsRecursiveDup,16,4,4,47,0,org.mingtaoz.a9.array.BinarySearch,org.mingtaoz.a9.array.BinarySearch
MagIciaNGTAO_leetcode,org.mingtaoz.a9.array,FindMinimumInRotatedSortedArray,findMin,16,4,1,5,0,,
MagIciaNGTAO_leetcode,org.mingtaoz.a9.array,FindMinimumInRotatedSortedArray,findMinRecursion,15,4,3,35,0,org.mingtaoz.a9.array.FindMinimumInRotatedSortedArray,org.mingtaoz.a9.array.FindMinimumInRotatedSortedArray
MagIciaNGTAO_leetcode,org.mingtaoz.a9.array,FindMinimumInRotatedSortedArray,findMin2,17,4,1,67,0,,
MagIciaNGTAO_leetcode,org.mingtaoz.a9.array,ProductExcludeSelf,productExcludeSelfNoDivision,24,6,1,5,0,,
MagIciaNGTAO_leetcode,org.mingtaoz.a9.array,ProgrammingPearlsBinarySearchTest,setup,3,1,0,13,0,,
MagIciaNGTAO_leetcode,org.mingtaoz.a9.array,ProgrammingPearlsBinarySearchTest,testBinarySearchRecursive5,4,1,0,18,1,,
MagIciaNGTAO_leetcode,org.mingtaoz.a9.array,ProgrammingPearlsBinarySearchTest,testBinarySearchRecursive4,4,1,0,24,1,,
MagIciaNGTAO_leetcode,org.mingtaoz.a9.array,ProgrammingPearlsBinarySearchTest,testbinarySearchRecursive3,4,1,0,30,1,,
MagIciaNGTAO_leetcode,org.mingtaoz.a9.array,ProgrammingPearlsBinarySearchTest,testBinarySearchRecursive2,4,1,0,36,1,,
MagIciaNGTAO_leetcode,org.mingtaoz.a9.array,ProgrammingPearlsBinarySearchTest,testBinarySearchRecursive1,4,1,0,42,1,,
MagIciaNGTAO_leetcode,org.mingtaoz.a9.array,ProgrammingPearlsBinarySearchTest,testBinarySearchDup5,4,1,0,48,1,,
MagIciaNGTAO_leetcode,org.mingtaoz.a9.array,ProgrammingPearlsBinarySearchTest,testBinarySearchDup4,4,1,0,54,1,,
MagIciaNGTAO_leetcode,org.mingtaoz.a9.array,ProgrammingPearlsBinarySearchTest,testBinarySearchDup3,4,1,0,60,1,,
MagIciaNGTAO_leetcode,org.mingtaoz.a9.array,ProgrammingPearlsBinarySearchTest,testBinarySearchDup2,4,1,0,66,1,,
MagIciaNGTAO_leetcode,org.mingtaoz.a9.array,ProgrammingPearlsBinarySearchTest,testBinarySearchDup1,4,1,0,72,1,,
MagIciaNGTAO_leetcode,org.mingtaoz.a9.array,ProgrammingPearlsBinarySearchTest,testBinarySearch5,4,1,0,78,1,,
MagIciaNGTAO_leetcode,org.mingtaoz.a9.array,ProgrammingPearlsBinarySearchTest,testBinarySearch4,4,1,0,84,1,,
MagIciaNGTAO_leetcode,org.mingtaoz.a9.array,ProgrammingPearlsBinarySearchTest,testBinarySearch3,4,1,0,90,1,,
MagIciaNGTAO_leetcode,org.mingtaoz.a9.array,ProgrammingPearlsBinarySearchTest,testBinarySearch2,4,1,0,96,1,,
MagIciaNGTAO_leetcode,org.mingtaoz.a9.array,ProgrammingPearlsBinarySearchTest,testBinarySearch1,4,1,0,102,1,,
MagIciaNGTAO_leetcode,org.mingtaoz.a9.binary,BitMap,BitMap,4,1,0,16,0,,
MagIciaNGTAO_leetcode,org.mingtaoz.a9.binary,BitMap,BitMap,4,1,1,21,0,,
MagIciaNGTAO_leetcode,org.mingtaoz.a9.binary,BitMap,on,6,1,1,26,0,,
MagIciaNGTAO_leetcode,org.mingtaoz.a9.binary,BitMap,toString,16,4,0,33,0,,
MagIciaNGTAO_leetcode,org.mingtaoz.a9.binary,BitMap,main,7,1,1,50,0,org.mingtaoz.a9.binary.BitMap,org.mingtaoz.a9.binary.BitMap
MagIciaNGTAO_leetcode,org.mingtaoz.a9.dp,BestTimeBuySellStock,maxProfit1,12,3,1,4,0,,
MagIciaNGTAO_leetcode,org.mingtaoz.a9.dp,BestTimeBuySellStock,maxProfit2,10,3,1,28,0,,
MagIciaNGTAO_leetcode,org.mingtaoz.a9.dp,BestTimeBuySellStock,maxProfit3,26,7,1,52,0,,
MagIciaNGTAO_leetcode,org.mingtaoz.a9.dp,BestTimeBuySellStock,maxProfit4,23,6,2,96,0,,
MagIciaNGTAO_leetcode,org.mingtaoz.a9.dp,CoinsInALine,bestPickTopDown,6,2,1,25,0,org.mingtaoz.a9.dp.CoinsInALine,org.mingtaoz.a9.dp.CoinsInALine
MagIciaNGTAO_leetcode,org.mingtaoz.a9.dp,CoinsInALine,bestPick,26,4,4,34,0,org.mingtaoz.a9.dp.CoinsInALine,org.mingtaoz.a9.dp.CoinsInALine
MagIciaNGTAO_leetcode,org.mingtaoz.a9.dp,CoinsInALine,actionToIndex,3,1,1,65,0,,
MagIciaNGTAO_leetcode,org.mingtaoz.a9.dp,CoinsInALine,nextAction,8,2,1,69,0,,
MagIciaNGTAO_leetcode,org.mingtaoz.a9.dp,CoinsInALine,bestPick,14,3,1,81,0,,
MagIciaNGTAO_leetcode,org.mingtaoz.a9.dp,Knapsack,maxSteal01,17,4,3,7,0,,
MagIciaNGTAO_leetcode,org.mingtaoz.a9.dp,Knapsack,maxStealUB,14,4,3,29,0,,
MagIciaNGTAO_leetcode,org.mingtaoz.a9.dp,RodCutting,bestCut,12,3,2,6,0,,
MagIciaNGTAO_leetcode,org.mingtaoz.a9.dp,BestTimeBuySellStockTest,BestTimeBuySellStockTest,4,1,1,13,0,,
MagIciaNGTAO_leetcode,org.mingtaoz.a9.dp,BestTimeBuySellStockTest,suite,3,1,0,18,0,,
MagIciaNGTAO_leetcode,org.mingtaoz.a9.dp,BestTimeBuySellStockTest,testBestTimeBuySellStockThird1,3,1,0,22,0,,
MagIciaNGTAO_leetcode,org.mingtaoz.a9.dp,BestTimeBuySellStockTest,testBestTimeBuySellStock1,3,1,0,26,0,,
MagIciaNGTAO_leetcode,org.mingtaoz.a9.dp,BestTimeBuySellStockTest,testBestTimeBuySellStock2,3,1,0,30,0,,
MagIciaNGTAO_leetcode,org.mingtaoz.a9.dp,BestTimeBuySellStockTest,testBestTimeBuySellStock3,3,1,0,34,0,,
MagIciaNGTAO_leetcode,org.mingtaoz.a9.dp,BestTimeBuySellStockTest,testBestTimeBuySellStock4,3,1,0,38,0,,
MagIciaNGTAO_leetcode,org.mingtaoz.a9.dp,BestTimeBuySellStockTest,testBestTimeBuySellStock5,3,1,0,42,0,,
MagIciaNGTAO_leetcode,org.mingtaoz.a9.dp,BestTimeBuySellStockTest,testBestTimeBuySellStock6,3,1,0,46,0,,
MagIciaNGTAO_leetcode,org.mingtaoz.a9.dp,BestTimeBuySellStockTest,testBestTimeBuySellStock7,3,1,0,50,0,,
MagIciaNGTAO_leetcode,org.mingtaoz.a9.dp,BestTimeBuySellStockTest,testBestTimeBuySellStoc8,3,1,0,54,0,,
MagIciaNGTAO_leetcode,org.mingtaoz.a9.dp,BestTimeBuySellStockTest,testBestTimeBuySellStoc9,3,1,0,58,0,,
MagIciaNGTAO_leetcode,org.mingtaoz.a9.dp,BestTimeBuySellStockTest,testBestTimeBuySellStoc10,3,1,0,62,0,,
MagIciaNGTAO_leetcode,org.mingtaoz.a9.dp,BestTimeBuySellStockTest,testBestTimeBuySellStoc11,3,1,0,260,0,,
MagIciaNGTAO_leetcode,org.mingtaoz.a9.dp,CoinsInALineTest,setup,3,1,0,12,0,,
