Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
McCraftaholics_WarpPortals-AnalyticsServer,com.mccraftaholics.warpportals.server,AppConfig,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
McCraftaholics_WarpPortals-AnalyticsServer,com.mccraftaholics.warpportals.server,Application,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
McCraftaholics_WarpPortals-AnalyticsServer,com.mccraftaholics.warpportals.server,ReportController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
McCraftaholics_WarpPortals-AnalyticsServer,com.mccraftaholics.warpportals.server,Utils,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: ISO_8601
McCraftaholics_WarpPortals-AnalyticsServer,com.mccraftaholics.warpportals.server.model.generic,AnalyticsActivePortalsEntity,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
McCraftaholics_WarpPortals-AnalyticsServer,com.mccraftaholics.warpportals.server.model.generic,AnalyticsInstalledPluginsEntity,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
McCraftaholics_WarpPortals-AnalyticsServer,com.mccraftaholics.warpportals.server.model.generic,AnalyticsServerReportEntity,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: serialVersionUID; serverName; timestamp; warpPortalsVersion; maxPlayers; bukkitVersion; numWorlds; id; installedPlugins; activePortals
McCraftaholics_WarpPortals-AnalyticsServer,com.mccraftaholics.warpportals.server.model.generic,GenericServerReportActivePortalsRepository,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
McCraftaholics_WarpPortals-AnalyticsServer,com.mccraftaholics.warpportals.server.model.generic,GenericServerReportInstalledPluginsRepository,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
McCraftaholics_WarpPortals-AnalyticsServer,com.mccraftaholics.warpportals.server.model.usage,AnalyticsPortalCreateEntity,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
McCraftaholics_WarpPortals-AnalyticsServer,com.mccraftaholics.warpportals.server.model.usage,AnalyticsPortalUsageEntity,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
