Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
McCraftaholics_WarpPortals-AnalyticsServer,com.mccraftaholics.warpportals.server,AppConfig,dataSource,9,1,0,18,0,com.mccraftaholics.warpportals.server.AppConfig,com.mccraftaholics.warpportals.server.AppConfig
McCraftaholics_WarpPortals-AnalyticsServer,com.mccraftaholics.warpportals.server,AppConfig,loadExternalProperties,25,2,0,32,0,,
McCraftaholics_WarpPortals-AnalyticsServer,com.mccraftaholics.warpportals.server,Application,main,3,1,1,9,0,,
McCraftaholics_WarpPortals-AnalyticsServer,com.mccraftaholics.warpportals.server,ReportController,postGeneric,4,1,1,33,0,,
McCraftaholics_WarpPortals-AnalyticsServer,com.mccraftaholics.warpportals.server,ReportController,postUsage,12,4,1,39,0,,
McCraftaholics_WarpPortals-AnalyticsServer,com.mccraftaholics.warpportals.server,ReportController,getAllPortalCreate,3,1,0,55,0,,
McCraftaholics_WarpPortals-AnalyticsServer,com.mccraftaholics.warpportals.server,ReportController,getAllPlayerUsage,3,1,0,60,0,,
McCraftaholics_WarpPortals-AnalyticsServer,com.mccraftaholics.warpportals.server,Utils,formatISO,4,1,1,10,0,,
McCraftaholics_WarpPortals-AnalyticsServer,com.mccraftaholics.warpportals.server,Utils,parseIsoTime,9,1,1,15,0,,
McCraftaholics_WarpPortals-AnalyticsServer,com.mccraftaholics.warpportals.server.model.generic,AnalyticsActivePortalsEntity,AnalyticsActivePortalsEntity,2,1,0,22,0,,
McCraftaholics_WarpPortals-AnalyticsServer,com.mccraftaholics.warpportals.server.model.generic,AnalyticsActivePortalsEntity,AnalyticsActivePortalsEntity,4,1,2,25,0,,
McCraftaholics_WarpPortals-AnalyticsServer,com.mccraftaholics.warpportals.server.model.generic,AnalyticsInstalledPluginsEntity,AnalyticsInstalledPluginsEntity,2,1,0,24,0,,
McCraftaholics_WarpPortals-AnalyticsServer,com.mccraftaholics.warpportals.server.model.generic,AnalyticsInstalledPluginsEntity,AnalyticsInstalledPluginsEntity,5,1,3,27,0,,
McCraftaholics_WarpPortals-AnalyticsServer,com.mccraftaholics.warpportals.server.model.generic,AnalyticsServerReportEntity,AnalyticsServerReportEntity,2,1,0,34,0,,
McCraftaholics_WarpPortals-AnalyticsServer,com.mccraftaholics.warpportals.server.model.generic,AnalyticsServerReportEntity,AnalyticsServerReportEntity,14,3,1,37,0,,
McCraftaholics_WarpPortals-AnalyticsServer,com.mccraftaholics.warpportals.server.model.usage,AnalyticsPortalCreateEntity,AnalyticsPortalCreateEntity,2,1,0,26,0,,
McCraftaholics_WarpPortals-AnalyticsServer,com.mccraftaholics.warpportals.server.model.usage,AnalyticsPortalCreateEntity,AnalyticsPortalCreateEntity,8,1,2,29,0,,
McCraftaholics_WarpPortals-AnalyticsServer,com.mccraftaholics.warpportals.server.model.usage,AnalyticsPortalUsageEntity,AnalyticsPortalUsageEntity,5,1,3,20,0,,
