Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
McCraftaholics_WarpPortals-AnalyticsServer,com.mccraftaholics.warpportals.server,AppConfig,0,0,2,1,36,3,0,0,-1.0,0,0,E:\Repositories\Cloned_Reposit\McCraftaholics_WarpPortals-AnalyticsServer\src\main\java\com\mccraftaholics\warpportals\server\AppConfig.java,14
McCraftaholics_WarpPortals-AnalyticsServer,com.mccraftaholics.warpportals.server,Application,0,0,1,1,5,1,0,0,-1.0,0,0,E:\Repositories\Cloned_Reposit\McCraftaholics_WarpPortals-AnalyticsServer\src\main\java\com\mccraftaholics\warpportals\server\Application.java,6
McCraftaholics_WarpPortals-AnalyticsServer,com.mccraftaholics.warpportals.server,ReportController,3,0,4,4,27,7,0,0,0.5,0,4,E:\Repositories\Cloned_Reposit\McCraftaholics_WarpPortals-AnalyticsServer\src\main\java\com\mccraftaholics\warpportals\server\ReportController.java,22
McCraftaholics_WarpPortals-AnalyticsServer,com.mccraftaholics.warpportals.server,Utils,1,1,2,2,16,2,0,0,0.0,1,0,E:\Repositories\Cloned_Reposit\McCraftaholics_WarpPortals-AnalyticsServer\src\main\java\com\mccraftaholics\warpportals\server\Utils.java,7
McCraftaholics_WarpPortals-AnalyticsServer,com.mccraftaholics.warpportals.server.model.generic,AnalyticsActivePortalsEntity,4,0,2,2,12,2,0,0,1.0,0,1,E:\Repositories\Cloned_Reposit\McCraftaholics_WarpPortals-AnalyticsServer\src\main\java\com\mccraftaholics\warpportals\server\model\generic\AnalyticsActivePortalsEntity.java,6
McCraftaholics_WarpPortals-AnalyticsServer,com.mccraftaholics.warpportals.server.model.generic,AnalyticsInstalledPluginsEntity,5,0,2,2,14,2,0,0,1.0,0,1,E:\Repositories\Cloned_Reposit\McCraftaholics_WarpPortals-AnalyticsServer\src\main\java\com\mccraftaholics\warpportals\server\model\generic\AnalyticsInstalledPluginsEntity.java,7
McCraftaholics_WarpPortals-AnalyticsServer,com.mccraftaholics.warpportals.server.model.generic,AnalyticsServerReportEntity,10,6,2,2,28,4,0,0,1.0,3,1,E:\Repositories\Cloned_Reposit\McCraftaholics_WarpPortals-AnalyticsServer\src\main\java\com\mccraftaholics\warpportals\server\model\generic\AnalyticsServerReportEntity.java,13
McCraftaholics_WarpPortals-AnalyticsServer,com.mccraftaholics.warpportals.server.model.generic,GenericServerReportActivePortalsRepository,0,0,0,0,2,0,0,0,-1.0,0,0,E:\Repositories\Cloned_Reposit\McCraftaholics_WarpPortals-AnalyticsServer\src\main\java\com\mccraftaholics\warpportals\server\model\generic\GenericServerReportActivePortalsRepository.java,5
McCraftaholics_WarpPortals-AnalyticsServer,com.mccraftaholics.warpportals.server.model.generic,GenericServerReportInstalledPluginsRepository,0,0,0,0,2,0,0,0,-1.0,0,0,E:\Repositories\Cloned_Reposit\McCraftaholics_WarpPortals-AnalyticsServer\src\main\java\com\mccraftaholics\warpportals\server\model\generic\GenericServerReportInstalledPluginsRepository.java,5
McCraftaholics_WarpPortals-AnalyticsServer,com.mccraftaholics.warpportals.server.model.generic,GenericServerReportRepository,0,0,0,0,2,0,0,0,-1.0,1,0,E:\Repositories\Cloned_Reposit\McCraftaholics_WarpPortals-AnalyticsServer\src\main\java\com\mccraftaholics\warpportals\server\model\generic\GenericServerReportRepository.java,5
McCraftaholics_WarpPortals-AnalyticsServer,com.mccraftaholics.warpportals.server.model.usage,AnalyticsPortalCreateEntity,8,0,2,2,20,2,0,0,1.0,0,0,E:\Repositories\Cloned_Reposit\McCraftaholics_WarpPortals-AnalyticsServer\src\main\java\com\mccraftaholics\warpportals\server\model\usage\AnalyticsPortalCreateEntity.java,9
McCraftaholics_WarpPortals-AnalyticsServer,com.mccraftaholics.warpportals.server.model.usage,AnalyticsPortalUsageEntity,5,0,1,1,12,1,0,0,0.0,0,0,E:\Repositories\Cloned_Reposit\McCraftaholics_WarpPortals-AnalyticsServer\src\main\java\com\mccraftaholics\warpportals\server\model\usage\AnalyticsPortalUsageEntity.java,7
McCraftaholics_WarpPortals-AnalyticsServer,com.mccraftaholics.warpportals.server.model.usage,PortalCreateReportRepository,0,0,0,0,2,0,0,0,-1.0,1,0,E:\Repositories\Cloned_Reposit\McCraftaholics_WarpPortals-AnalyticsServer\src\main\java\com\mccraftaholics\warpportals\server\model\usage\PortalCreateReportRepository.java,6
McCraftaholics_WarpPortals-AnalyticsServer,com.mccraftaholics.warpportals.server.model.usage,PortalUsageReportRepository,0,0,0,0,2,0,0,0,-1.0,1,0,E:\Repositories\Cloned_Reposit\McCraftaholics_WarpPortals-AnalyticsServer\src\main\java\com\mccraftaholics\warpportals\server\model\usage\PortalUsageReportRepository.java,6
