Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
NCIP_c3pr-docs,edu.duke.cabig.c3pr.webservice.iso21090,AD,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): ANY
NCIP_c3pr-docs,edu.duke.cabig.c3pr.webservice.iso21090,AddressPartType,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
NCIP_c3pr-docs,edu.duke.cabig.c3pr.webservice.iso21090,ANY,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): HXIT
NCIP_c3pr-docs,edu.duke.cabig.c3pr.webservice.iso21090,ANY,Wide Hierarchy,The tool detected the smell in this class because the number of children for the class is large. This class has following sub-classes: AD; BL; CD; COLLAD; COLLBL; COLLBLNonNull; COLLCD; COLLCDCE; COLLCDCENone; COLLCDCV; COLLCO; COLLCS; COLLED; COLLEDDoc; COLLEDDocInline; COLLEDDocRef; COLLEDImage; COLLEDNarrative; COLLEDSignature; COLLEDText; COLLEN; COLLENON; COLLENPN; COLLENTN; COLLII; COLLINT; COLLINTNonNeg; COLLINTPositive; COLLMO; COLLPQ; COLLPQTime; COLLREAL; COLLRTO; COLLSC; COLLSCNT; COLLST; COLLSTNT; COLLTEL; COLLTELEmail; COLLTELPerson; COLLTELPhone; COLLTELUrl; COLLTS; COLLTSBirth; COLLTSDate; COLLTSDateFull; COLLTSDateTime; COLLTSDateTimeFull; CS; ED; EN; GLISTCO; GLISTINT; GLISTINTNonNeg; GLISTINTPositive; GLISTMO; GLISTPQ; GLISTPQTime; GLISTREAL; GLISTRTO; GLISTTS; GLISTTSBirth; GLISTTSDate; GLISTTSDateFull; GLISTTSDateTime; GLISTTSDateTimeFull; II; LISTAD; LISTBL; LISTBLNonNull; LISTCD; LISTCDCE; LISTCDCENone; LISTCDCV; LISTCO; LISTCS; LISTED; LISTEDDoc; LISTEDDocInline; LISTEDDocRef; LISTEDImage; LISTEDNarrative; LISTEDSignature; LISTEDText; LISTEN; LISTENON; LISTENPN; LISTENTN; LISTII; LISTINT; LISTINTNonNeg; LISTINTPositive; LISTMO; LISTPQ; LISTPQTime; LISTREAL; LISTRTO; LISTSC; LISTSCNT; LISTST; LISTSTNT; LISTTEL; LISTTELEmail; LISTTELPerson; LISTTELPhone; LISTTELUrl; LISTTS; LISTTSBirth; LISTTSDate; LISTTSDateFull; LISTTSDateTime; LISTTSDateTimeFull; NPPDAD; NPPDBL; NPPDBLNonNull; NPPDCD; NPPDCDCE; NPPDCDCENone; NPPDCDCV; NPPDCO; NPPDCS; NPPDED; NPPDEDDoc; NPPDEDDocInline; NPPDEDDocRef; NPPDEDImage; NPPDEDNarrative; NPPDEDSignature; NPPDEDText; NPPDEN; NPPDENON; NPPDENPN; NPPDENTN; NPPDII; NPPDINT; NPPDINTNonNeg; NPPDINTPositive; NPPDMO; NPPDPQ; NPPDPQTime; NPPDREAL; NPPDRTO; NPPDSC; NPPDSCNT; NPPDST; NPPDSTNT; NPPDTEL; NPPDTELEmail; NPPDTELPerson; NPPDTELPhone; NPPDTELUrl; NPPDTS; NPPDTSBirth; NPPDTSDate; NPPDTSDateFull; NPPDTSDateTime; NPPDTSDateTimeFull; QSETCO; QSETINT; QSETINTNonNeg; QSETINTPositive; QSETMO; QSETPQ; QSETPQTime; QSETREAL; QSETRTO; QSETTS; QSETTSBirth; QSETTSDate; QSETTSDateFull; QSETTSDateTime; QSETTSDateTimeFull; QTY; SLISTCO; SLISTINT; SLISTINTNonNeg; SLISTINTPositive; SLISTMO; SLISTPQ; SLISTPQTime; SLISTREAL; SLISTRTO; SLISTTS; SLISTTSBirth; SLISTTSDate; SLISTTSDateFull; SLISTTSDateTime; SLISTTSDateTimeFull; ST; URL; UVPAD; UVPBL; UVPBLNonNull; UVPCD; UVPCDCE; UVPCDCENone; UVPCDCV; UVPCO; UVPCS; UVPED; UVPEDDoc; UVPEDDocInline; UVPEDDocRef; UVPEDImage; UVPEDNarrative; UVPEDSignature; UVPEDText; UVPEN; UVPENON; UVPENPN; UVPENTN; UVPII; UVPINT; UVPINTNonNeg; UVPINTPositive; UVPMO; UVPPQ; UVPPQTime; UVPREAL; UVPRTO; UVPSC; UVPSCNT; UVPST; UVPSTNT; UVPTEL; UVPTELEmail; UVPTELPerson; UVPTELPhone; UVPTELUrl; UVPTS; UVPTSBirth; UVPTSDate; UVPTSDateFull; UVPTSDateTime; UVPTSDateTimeFull
NCIP_c3pr-docs,edu.duke.cabig.c3pr.webservice.iso21090,BAGAD,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): COLLAD
NCIP_c3pr-docs,edu.duke.cabig.c3pr.webservice.iso21090,BAGBL,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): COLLBL
NCIP_c3pr-docs,edu.duke.cabig.c3pr.webservice.iso21090,BAGBLNonNull,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): COLLBLNonNull
NCIP_c3pr-docs,edu.duke.cabig.c3pr.webservice.iso21090,BAGCD,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): COLLCD
NCIP_c3pr-docs,edu.duke.cabig.c3pr.webservice.iso21090,BAGCDCE,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): COLLCDCE
NCIP_c3pr-docs,edu.duke.cabig.c3pr.webservice.iso21090,BAGCDCENone,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): COLLCDCENone
NCIP_c3pr-docs,edu.duke.cabig.c3pr.webservice.iso21090,BAGCDCV,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): COLLCDCV
NCIP_c3pr-docs,edu.duke.cabig.c3pr.webservice.iso21090,BAGCO,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): COLLCO
NCIP_c3pr-docs,edu.duke.cabig.c3pr.webservice.iso21090,BAGCS,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): COLLCS
NCIP_c3pr-docs,edu.duke.cabig.c3pr.webservice.iso21090,BAGED,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): COLLED
NCIP_c3pr-docs,edu.duke.cabig.c3pr.webservice.iso21090,BAGEDDoc,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): COLLEDDoc
NCIP_c3pr-docs,edu.duke.cabig.c3pr.webservice.iso21090,BAGEDDocInline,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): COLLEDDocInline
NCIP_c3pr-docs,edu.duke.cabig.c3pr.webservice.iso21090,BAGEDDocRef,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): COLLEDDocRef
NCIP_c3pr-docs,edu.duke.cabig.c3pr.webservice.iso21090,BAGEDImage,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): COLLEDImage
