Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
NCIP_c3pr-docs,edu.duke.cabig.c3pr.webservice.subjectregistry,ObjectFactory,createDuplicateStudySubjectExceptionFault,Long Identifier,The length of the field _DuplicateStudySubjectExceptionFault_QNAME is 42.,444
NCIP_c3pr-docs,edu.duke.cabig.c3pr.webservice.subjectregistry,ObjectFactory,createDuplicateStudySubjectExceptionFault,Long Statement,The length of the statement "return new JAXBElement<DuplicateStudySubjectExceptionFault>(_DuplicateStudySubjectExceptionFault_QNAME`DuplicateStudySubjectExceptionFault.class`null`value);" is 157.,444
NCIP_c3pr-docs,edu.duke.cabig.c3pr.webservice.subjectregistry,ObjectFactory,createNoSuchStudySubjectExceptionFault,Long Identifier,The length of the field _NoSuchStudySubjectExceptionFault_QNAME is 39.,453
NCIP_c3pr-docs,edu.duke.cabig.c3pr.webservice.subjectregistry,ObjectFactory,createNoSuchStudySubjectExceptionFault,Long Statement,The length of the statement "return new JAXBElement<NoSuchStudySubjectExceptionFault>(_NoSuchStudySubjectExceptionFault_QNAME`NoSuchStudySubjectExceptionFault.class`null`value);" is 148.,453
NCIP_c3pr-docs,edu.duke.cabig.c3pr.webservice.subjectregistry,ObjectFactory,createInvalidStudyProtocolExceptionFault,Long Identifier,The length of the field _InvalidStudyProtocolExceptionFault_QNAME is 41.,462
NCIP_c3pr-docs,edu.duke.cabig.c3pr.webservice.subjectregistry,ObjectFactory,createInvalidStudyProtocolExceptionFault,Long Statement,The length of the statement "return new JAXBElement<InvalidStudyProtocolExceptionFault>(_InvalidStudyProtocolExceptionFault_QNAME`InvalidStudyProtocolExceptionFault.class`null`value);" is 154.,462
NCIP_c3pr-docs,edu.duke.cabig.c3pr.webservice.subjectregistry,ObjectFactory,createInvalidStudySubjectDataExceptionFault,Long Identifier,The length of the field _InvalidStudySubjectDataExceptionFault_QNAME is 44.,471
NCIP_c3pr-docs,edu.duke.cabig.c3pr.webservice.subjectregistry,ObjectFactory,createInvalidStudySubjectDataExceptionFault,Long Statement,The length of the statement "return new JAXBElement<InvalidStudySubjectDataExceptionFault>(_InvalidStudySubjectDataExceptionFault_QNAME`InvalidStudySubjectDataExceptionFault.class`null`value);" is 163.,471
NCIP_c3pr-docs,edu.duke.cabig.c3pr.webservice.subjectregistry,ObjectFactory,createInsufficientPrivilegesExceptionFault,Long Identifier,The length of the field _InsufficientPrivilegesExceptionFault_QNAME is 43.,489
NCIP_c3pr-docs,edu.duke.cabig.c3pr.webservice.subjectregistry,ObjectFactory,createInsufficientPrivilegesExceptionFault,Long Statement,The length of the statement "return new JAXBElement<InsufficientPrivilegesExceptionFault>(_InsufficientPrivilegesExceptionFault_QNAME`InsufficientPrivilegesExceptionFault.class`null`value);" is 160.,489
NCIP_c3pr-docs,edu.duke.cabig.c3pr.webservice.subjectregistry,ObjectFactory,createInvalidQueryExceptionFault,Long Identifier,The length of the field _InvalidQueryExceptionFault_QNAME is 33.,498
NCIP_c3pr-docs,edu.duke.cabig.c3pr.webservice.subjectregistry,ObjectFactory,createInvalidQueryExceptionFault,Long Statement,The length of the statement "return new JAXBElement<InvalidQueryExceptionFault>(_InvalidQueryExceptionFault_QNAME`InvalidQueryExceptionFault.class`null`value);" is 130.,498
NCIP_c3pr-docs,edu.duke.cabig.c3pr.webservice.subjectregistry,ObjectFactory,createInvalidSiteExceptionFault,Long Identifier,The length of the field _InvalidSiteExceptionFault_QNAME is 32.,507
NCIP_c3pr-docs,edu.duke.cabig.c3pr.webservice.subjectregistry,ObjectFactory,createInvalidSiteExceptionFault,Long Statement,The length of the statement "return new JAXBElement<InvalidSiteExceptionFault>(_InvalidSiteExceptionFault_QNAME`InvalidSiteExceptionFault.class`null`value);" is 127.,507
NCIP_c3pr-docs,edu.duke.cabig.c3pr.webservice.subjectregistry,ObjectFactory,createNoSuchPatientExceptionFault,Long Identifier,The length of the field _NoSuchPatientExceptionFault_QNAME is 34.,516
NCIP_c3pr-docs,edu.duke.cabig.c3pr.webservice.subjectregistry,ObjectFactory,createNoSuchPatientExceptionFault,Long Statement,The length of the statement "return new JAXBElement<NoSuchPatientExceptionFault>(_NoSuchPatientExceptionFault_QNAME`NoSuchPatientExceptionFault.class`null`value);" is 133.,516
NCIP_c3pr-docs,edu.duke.cabig.c3pr.webservice.subjectregistry,SubjectRegistryService,SubjectRegistryService,Long Identifier,The length of the field SUBJECTREGISTRYSERVICE_WSDL_LOCATION is 36.,40
NCIP_c3pr-docs,edu.duke.cabig.c3pr.webservice.subjectregistry,SubjectRegistryService,SubjectRegistryService,Long Statement,The length of the statement "super(SUBJECTREGISTRYSERVICE_WSDL_LOCATION`new QName("http://enterpriseservices.nci.nih.gov/SubjectRegistryService"`"SubjectRegistryService"));" is 143.,40
NCIP_c3pr-docs,edu.duke.cabig.c3pr.webservice.subjectregistry,SubjectRegistryService,getSubjectRegistry,Long Statement,The length of the statement "return (SubjectRegistry)super.getPort(new QName("http://enterpriseservices.nci.nih.gov/SubjectRegistryService"`"SubjectRegistry")`SubjectRegistry.class);" is 153.,44
NCIP_c3pr-docs,edu.duke.cabig.c3pr.webservice.subjectregistry,SubjectRegistryService,getSubjectRegistry,Long Statement,The length of the statement "return (SubjectRegistry)super.getPort(new QName("http://enterpriseservices.nci.nih.gov/SubjectRegistryService"`"SubjectRegistry")`SubjectRegistry.class`features);" is 162.,54
NCIP_c3pr-docs,edu.duke.cabig.c3pr.dao,C3PRBaseDao,findBySubname,Long Parameter List,The method has 5 parameters. ,89
NCIP_c3pr-docs,edu.duke.cabig.c3pr.dao,C3PRBaseDao,findBySubname,Magic Number,The method contains a magic number: 30,89
NCIP_c3pr-docs,edu.duke.cabig.c3pr.dao,C3PRBaseDao,buildSubnameQuery,Complex Method,Cyclomatic complexity of the method is 8,125
NCIP_c3pr-docs,edu.duke.cabig.c3pr.dao,C3PRBaseDao,buildSubnameQuery,Long Parameter List,The method has 5 parameters. ,125
NCIP_c3pr-docs,edu.duke.cabig.c3pr.dao,HealthcareSiteDao,getByNciInstituteCode,Long Statement,The length of the statement "return CollectionUtils.firstElement((List<HealthcareSite>)getHibernateTemplate().find("from HealthcareSite h where h.nciInstituteCode = ?"`nciInstituteCode));" is 158.,43
NCIP_c3pr-docs,edu.duke.cabig.c3pr.dao,HealthcareSiteInvestigatorDao,getBySubnames,Long Statement,The length of the statement "return findBySubname(subnames`"o.healthcareSite.id = '" + healthcareSite + "'"`EXTRA_PARAMS`SUBSTRING_MATCH_PROPERTIES`EXACT_MATCH_PROPERTIES);" is 143.,41
NCIP_c3pr-docs,edu.duke.cabig.c3pr.dao,HealthcareSiteInvestigatorDao,getSiteInvestigator,Long Statement,The length of the statement "return CollectionUtils.firstElement((List<HealthcareSiteInvestigator>)getHibernateTemplate().find("from HealthcareSiteInvestigator a where a.healthcareSite = ? and a.investigator = ?"`new Object[]{site`investigator}));" is 218.,46
