Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
NCIP_c3pr-docs,edu.duke.cabig.c3pr.webservice.iso21090,AD,getPart,6,2,0,50,0,,
NCIP_c3pr-docs,edu.duke.cabig.c3pr.webservice.iso21090,AD,getUseablePeriod,3,1,0,79,0,,
NCIP_c3pr-docs,edu.duke.cabig.c3pr.webservice.iso21090,AD,setUseablePeriod,3,1,1,91,0,,
NCIP_c3pr-docs,edu.duke.cabig.c3pr.webservice.iso21090,AD,getUse,6,2,0,103,0,,
NCIP_c3pr-docs,edu.duke.cabig.c3pr.webservice.iso21090,AD,isIsNotOrdered,3,1,0,132,0,,
NCIP_c3pr-docs,edu.duke.cabig.c3pr.webservice.iso21090,AD,setIsNotOrdered,3,1,1,144,0,,
NCIP_c3pr-docs,edu.duke.cabig.c3pr.webservice.iso21090,ADXP,getValue,3,1,0,46,0,,
NCIP_c3pr-docs,edu.duke.cabig.c3pr.webservice.iso21090,ADXP,setValue,3,1,1,58,0,,
NCIP_c3pr-docs,edu.duke.cabig.c3pr.webservice.iso21090,ADXP,getCode,3,1,0,70,0,,
NCIP_c3pr-docs,edu.duke.cabig.c3pr.webservice.iso21090,ADXP,setCode,3,1,1,82,0,,
NCIP_c3pr-docs,edu.duke.cabig.c3pr.webservice.iso21090,ADXP,getCodeSystem,3,1,0,94,0,,
NCIP_c3pr-docs,edu.duke.cabig.c3pr.webservice.iso21090,ADXP,setCodeSystem,3,1,1,106,0,,
NCIP_c3pr-docs,edu.duke.cabig.c3pr.webservice.iso21090,ADXP,getCodeSystemVersion,3,1,0,118,0,,
NCIP_c3pr-docs,edu.duke.cabig.c3pr.webservice.iso21090,ADXP,setCodeSystemVersion,3,1,1,130,0,,
NCIP_c3pr-docs,edu.duke.cabig.c3pr.webservice.iso21090,ADXP,getType,3,1,0,142,0,,
NCIP_c3pr-docs,edu.duke.cabig.c3pr.webservice.iso21090,ADXP,setType,3,1,1,154,0,,
NCIP_c3pr-docs,edu.duke.cabig.c3pr.webservice.iso21090,ANY,getNullFlavor,3,1,0,290,0,,
NCIP_c3pr-docs,edu.duke.cabig.c3pr.webservice.iso21090,ANY,setNullFlavor,3,1,1,302,0,,
NCIP_c3pr-docs,edu.duke.cabig.c3pr.webservice.iso21090,ANY,getFlavorId,3,1,0,314,0,,
NCIP_c3pr-docs,edu.duke.cabig.c3pr.webservice.iso21090,ANY,setFlavorId,3,1,1,326,0,,
NCIP_c3pr-docs,edu.duke.cabig.c3pr.webservice.iso21090,ANY,getUpdateMode,3,1,0,338,0,,
NCIP_c3pr-docs,edu.duke.cabig.c3pr.webservice.iso21090,ANY,setUpdateMode,3,1,1,350,0,,
NCIP_c3pr-docs,edu.duke.cabig.c3pr.webservice.iso21090,BAGAD,getItem,6,2,0,40,0,,
NCIP_c3pr-docs,edu.duke.cabig.c3pr.webservice.iso21090,BAGBL,getItem,6,2,0,40,0,,
NCIP_c3pr-docs,edu.duke.cabig.c3pr.webservice.iso21090,BAGBLNonNull,getItem,6,2,0,40,0,,
NCIP_c3pr-docs,edu.duke.cabig.c3pr.webservice.iso21090,BAGCD,getItem,6,2,0,40,0,,
NCIP_c3pr-docs,edu.duke.cabig.c3pr.webservice.iso21090,BAGCDCE,getItem,6,2,0,40,0,,
NCIP_c3pr-docs,edu.duke.cabig.c3pr.webservice.iso21090,BAGCDCENone,getItem,6,2,0,40,0,,
NCIP_c3pr-docs,edu.duke.cabig.c3pr.webservice.iso21090,BAGCDCV,getItem,6,2,0,40,0,,
NCIP_c3pr-docs,edu.duke.cabig.c3pr.webservice.iso21090,BAGCO,getItem,6,2,0,40,0,,
NCIP_c3pr-docs,edu.duke.cabig.c3pr.webservice.iso21090,BAGCS,getItem,6,2,0,40,0,,
NCIP_c3pr-docs,edu.duke.cabig.c3pr.webservice.iso21090,BAGED,getItem,6,2,0,40,0,,
NCIP_c3pr-docs,edu.duke.cabig.c3pr.webservice.iso21090,BAGEDDoc,getItem,6,2,0,40,0,,
NCIP_c3pr-docs,edu.duke.cabig.c3pr.webservice.iso21090,BAGEDDocInline,getItem,6,2,0,40,0,,
NCIP_c3pr-docs,edu.duke.cabig.c3pr.webservice.iso21090,BAGEDDocRef,getItem,6,2,0,40,0,,
NCIP_c3pr-docs,edu.duke.cabig.c3pr.webservice.iso21090,BAGEDImage,getItem,6,2,0,40,0,,
NCIP_c3pr-docs,edu.duke.cabig.c3pr.webservice.iso21090,BAGEDNarrative,getItem,6,2,0,40,0,,
NCIP_c3pr-docs,edu.duke.cabig.c3pr.webservice.iso21090,BAGEDSignature,getItem,6,2,0,40,0,,
NCIP_c3pr-docs,edu.duke.cabig.c3pr.webservice.iso21090,BAGEDText,getItem,6,2,0,40,0,,
NCIP_c3pr-docs,edu.duke.cabig.c3pr.webservice.iso21090,BAGEN,getItem,6,2,0,40,0,,
NCIP_c3pr-docs,edu.duke.cabig.c3pr.webservice.iso21090,BAGENON,getItem,6,2,0,40,0,,
NCIP_c3pr-docs,edu.duke.cabig.c3pr.webservice.iso21090,BAGENPN,getItem,6,2,0,40,0,,
NCIP_c3pr-docs,edu.duke.cabig.c3pr.webservice.iso21090,BAGENTN,getItem,6,2,0,40,0,,
NCIP_c3pr-docs,edu.duke.cabig.c3pr.webservice.iso21090,BAGII,getItem,6,2,0,40,0,,
NCIP_c3pr-docs,edu.duke.cabig.c3pr.webservice.iso21090,BAGINT,getItem,6,2,0,40,0,,
NCIP_c3pr-docs,edu.duke.cabig.c3pr.webservice.iso21090,BAGINTNonNeg,getItem,6,2,0,40,0,,
