Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
NCIP_c3pr-docs,edu.duke.cabig.c3pr.webservice.iso21090,AD,4,0,6,6,55,8,0,2,0.6666666666666666,2,2,E:\Repositories\Cloned_Reposit\NCIP_c3pr-docs\documentation\design\essn\SubjectRegistry\edu\duke\cabig\c3pr\webservice\iso21090\AD.java,12
NCIP_c3pr-docs,edu.duke.cabig.c3pr.webservice.iso21090,AddressPartType,0,0,0,0,10,0,0,0,-1.0,1,0,E:\Repositories\Cloned_Reposit\NCIP_c3pr-docs\documentation\design\essn\SubjectRegistry\edu\duke\cabig\c3pr\webservice\iso21090\AddressPartType.java,8
NCIP_c3pr-docs,edu.duke.cabig.c3pr.webservice.iso21090,ADXP,5,0,10,10,80,10,0,0,0.0,1,1,E:\Repositories\Cloned_Reposit\NCIP_c3pr-docs\documentation\design\essn\SubjectRegistry\edu\duke\cabig\c3pr\webservice\iso21090\ADXP.java,10
NCIP_c3pr-docs,edu.duke.cabig.c3pr.webservice.iso21090,ANY,3,0,6,6,50,6,235,1,0.5,0,2,E:\Repositories\Cloned_Reposit\NCIP_c3pr-docs\documentation\design\essn\SubjectRegistry\edu\duke\cabig\c3pr\webservice\iso21090\ANY.java,16
NCIP_c3pr-docs,edu.duke.cabig.c3pr.webservice.iso21090,BAGAD,1,0,1,1,15,2,0,3,0.0,1,1,E:\Repositories\Cloned_Reposit\NCIP_c3pr-docs\documentation\design\essn\SubjectRegistry\edu\duke\cabig\c3pr\webservice\iso21090\BAGAD.java,11
NCIP_c3pr-docs,edu.duke.cabig.c3pr.webservice.iso21090,BAGBL,1,0,1,1,15,2,0,3,0.0,1,1,E:\Repositories\Cloned_Reposit\NCIP_c3pr-docs\documentation\design\essn\SubjectRegistry\edu\duke\cabig\c3pr\webservice\iso21090\BAGBL.java,11
NCIP_c3pr-docs,edu.duke.cabig.c3pr.webservice.iso21090,BAGBLNonNull,1,0,1,1,15,2,0,3,0.0,1,1,E:\Repositories\Cloned_Reposit\NCIP_c3pr-docs\documentation\design\essn\SubjectRegistry\edu\duke\cabig\c3pr\webservice\iso21090\BAGBLNonNull.java,11
NCIP_c3pr-docs,edu.duke.cabig.c3pr.webservice.iso21090,BAGCD,1,0,1,1,15,2,0,3,0.0,1,1,E:\Repositories\Cloned_Reposit\NCIP_c3pr-docs\documentation\design\essn\SubjectRegistry\edu\duke\cabig\c3pr\webservice\iso21090\BAGCD.java,11
NCIP_c3pr-docs,edu.duke.cabig.c3pr.webservice.iso21090,BAGCDCE,1,0,1,1,15,2,0,3,0.0,1,1,E:\Repositories\Cloned_Reposit\NCIP_c3pr-docs\documentation\design\essn\SubjectRegistry\edu\duke\cabig\c3pr\webservice\iso21090\BAGCDCE.java,11
NCIP_c3pr-docs,edu.duke.cabig.c3pr.webservice.iso21090,BAGCDCENone,1,0,1,1,15,2,0,3,0.0,1,1,E:\Repositories\Cloned_Reposit\NCIP_c3pr-docs\documentation\design\essn\SubjectRegistry\edu\duke\cabig\c3pr\webservice\iso21090\BAGCDCENone.java,11
NCIP_c3pr-docs,edu.duke.cabig.c3pr.webservice.iso21090,BAGCDCV,1,0,1,1,15,2,0,3,0.0,1,1,E:\Repositories\Cloned_Reposit\NCIP_c3pr-docs\documentation\design\essn\SubjectRegistry\edu\duke\cabig\c3pr\webservice\iso21090\BAGCDCV.java,11
NCIP_c3pr-docs,edu.duke.cabig.c3pr.webservice.iso21090,BAGCO,1,0,1,1,15,2,0,3,0.0,1,1,E:\Repositories\Cloned_Reposit\NCIP_c3pr-docs\documentation\design\essn\SubjectRegistry\edu\duke\cabig\c3pr\webservice\iso21090\BAGCO.java,11
NCIP_c3pr-docs,edu.duke.cabig.c3pr.webservice.iso21090,BAGCS,1,0,1,1,15,2,0,3,0.0,1,1,E:\Repositories\Cloned_Reposit\NCIP_c3pr-docs\documentation\design\essn\SubjectRegistry\edu\duke\cabig\c3pr\webservice\iso21090\BAGCS.java,11
NCIP_c3pr-docs,edu.duke.cabig.c3pr.webservice.iso21090,BAGED,1,0,1,1,15,2,0,3,0.0,1,1,E:\Repositories\Cloned_Reposit\NCIP_c3pr-docs\documentation\design\essn\SubjectRegistry\edu\duke\cabig\c3pr\webservice\iso21090\BAGED.java,11
