Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
PunchApp_volley,com.android.volley,AuthFailureError,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): VolleyError
PunchApp_volley,com.android.volley,Cache,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: data; etag; serverDate; ttl; softTtl; responseHeaders
PunchApp_volley,com.android.volley,Cache.Entry,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
PunchApp_volley,com.android.volley,Cache.Entry,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: data; etag; serverDate; ttl; softTtl; responseHeaders
PunchApp_volley,com.android.volley,Cache.Entry,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: data; etag; serverDate; ttl; softTtl; responseHeaders
PunchApp_volley,com.android.volley,CacheDispatcher,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: Request; RequestQueue; Network; ResponseDelivery; NetworkDispatcher; CacheDispatcher
PunchApp_volley,com.android.volley,DefaultRetryPolicy,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
PunchApp_volley,com.android.volley,DefaultRetryPolicy,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: mCurrentTimeoutMs; mCurrentRetryCount; mMaxNumRetries; mBackoffMultiplier; DEFAULT_TIMEOUT_MS; DEFAULT_MAX_RETRIES; DEFAULT_BACKOFF_MULT
PunchApp_volley,com.android.volley,ExecutorDelivery.ResponseDeliveryRunnable,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: mRequest; mResponse; mRunnable
PunchApp_volley,com.android.volley,ExecutorDelivery.ResponseDeliveryRunnable,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
PunchApp_volley,com.android.volley,NetworkError,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): VolleyError
PunchApp_volley,com.android.volley,NetworkResponse,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: statusCode; data; headers; notModified
PunchApp_volley,com.android.volley,NoConnectionError,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
PunchApp_volley,com.android.volley,NoConnectionError,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): NetworkError
PunchApp_volley,com.android.volley,ParseError,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
PunchApp_volley,com.android.volley,ParseError,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): VolleyError
PunchApp_volley,com.android.volley,Request,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 36 public methods
PunchApp_volley,com.android.volley,Request.Method,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
PunchApp_volley,com.android.volley,Request.Method,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: DEPRECATED_GET_OR_POST; GET; POST; PUT; DELETE; HEAD; OPTIONS; TRACE; PATCH
PunchApp_volley,com.android.volley,Request.Priority,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
PunchApp_volley,com.android.volley,Request.Priority,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
PunchApp_volley,com.android.volley,RequestQueue.RequestFilter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
PunchApp_volley,com.android.volley,Response,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: result; cacheEntry; error; intermediate
PunchApp_volley,com.android.volley,Response.Listener,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
PunchApp_volley,com.android.volley,Response.ErrorListener,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
PunchApp_volley,com.android.volley,ServerError,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): VolleyError
PunchApp_volley,com.android.volley,TimeoutError,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
PunchApp_volley,com.android.volley,TimeoutError,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
PunchApp_volley,com.android.volley,VolleyError,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: networkResponse
PunchApp_volley,com.android.volley,VolleyLog,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: TAG; DEBUG; ENABLED; MIN_DURATION_FOR_LOGGING_MS; name; thread; time; mMarkers; mFinished
PunchApp_volley,com.android.volley,VolleyLog.MarkerLog,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
PunchApp_volley,com.android.volley,VolleyLog.MarkerLog,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: ENABLED; MIN_DURATION_FOR_LOGGING_MS; name; thread; time; mMarkers; mFinished
PunchApp_volley,com.android.volley,VolleyLog.MarkerLog,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: ENABLED; MIN_DURATION_FOR_LOGGING_MS; name; thread; time; mMarkers; mFinished
PunchApp_volley,com.android.volley,VolleyLog.Marker,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: name; thread; time
PunchApp_volley,com.android.volley,VolleyLog.Marker,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
PunchApp_volley,com.android.volley,VolleyLog.Marker,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: name; thread; time
PunchApp_volley,com.android.volley,RequestQueueTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
