Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
PunchApp_volley,com.android.volley,AuthFailureError,1,0,7,7,32,8,0,1,0.7142857142857143,1,1,E:\Repositories\Cloned_Reposit\PunchApp_volley\src\com\android\volley\AuthFailureError.java,24
PunchApp_volley,com.android.volley,Cache,6,6,6,6,77,6,0,0,-1.0,13,0,E:\Repositories\Cloned_Reposit\PunchApp_volley\src\com\android\volley\Cache.java,22
PunchApp_volley,com.android.volley,Cache.Entry,6,6,0,0,41,0,0,0,-1.0,0,0,E:\Repositories\Cloned_Reposit\PunchApp_volley\src\com\android\volley\Cache.java,64
PunchApp_volley,com.android.volley,CacheDispatcher,6,0,4,4,105,12,0,0,0.0,2,6,E:\Repositories\Cloned_Reposit\PunchApp_volley\src\com\android\volley\CacheDispatcher.java,23
PunchApp_volley,com.android.volley,DefaultRetryPolicy,7,3,6,5,79,7,0,1,0.3333333333333333,0,1,E:\Repositories\Cloned_Reposit\PunchApp_volley\src\com\android\volley\DefaultRetryPolicy.java,19
PunchApp_volley,com.android.volley,ExecutorDelivery,4,0,6,6,75,6,0,1,0.3333333333333333,1,3,E:\Repositories\Cloned_Reposit\PunchApp_volley\src\com\android\volley\ExecutorDelivery.java,23
PunchApp_volley,com.android.volley,ExecutorDelivery.ResponseDeliveryRunnable,3,0,0,0,34,0,0,0,-1.0,0,2,E:\Repositories\Cloned_Reposit\PunchApp_volley\src\com\android\volley\ExecutorDelivery.java,72
PunchApp_volley,com.android.volley,Network,0,0,1,1,12,1,1,0,-1.0,3,3,E:\Repositories\Cloned_Reposit\PunchApp_volley\src\com\android\volley\Network.java,19
PunchApp_volley,com.android.volley,NetworkDispatcher,5,0,5,3,98,11,0,0,0.0,2,8,E:\Repositories\Cloned_Reposit\PunchApp_volley\src\com\android\volley\NetworkDispatcher.java,26
PunchApp_volley,com.android.volley,NetworkError,0,0,3,3,14,3,1,1,-1.0,0,1,E:\Repositories\Cloned_Reposit\PunchApp_volley\src\com\android\volley\NetworkError.java,22
PunchApp_volley,com.android.volley,NetworkResponse,4,4,3,3,40,3,0,0,0.0,22,0,E:\Repositories\Cloned_Reposit\PunchApp_volley\src\com\android\volley\NetworkResponse.java,24
PunchApp_volley,com.android.volley,NoConnectionError,0,0,2,2,11,2,0,2,-1.0,0,0,E:\Repositories\Cloned_Reposit\PunchApp_volley\src\com\android\volley\NoConnectionError.java,19
PunchApp_volley,com.android.volley,ParseError,0,0,3,3,13,3,0,1,-1.0,0,1,E:\Repositories\Cloned_Reposit\PunchApp_volley\src\com\android\volley\ParseError.java,22
PunchApp_volley,com.android.volley,Request,26,0,46,36,435,60,3,0,0.2826086956521739,27,8,E:\Repositories\Cloned_Reposit\PunchApp_volley\src\com\android\volley\Request.java,35
PunchApp_volley,com.android.volley,Request.Method,9,0,0,0,14,0,0,0,-1.0,0,0,E:\Repositories\Cloned_Reposit\PunchApp_volley\src\com\android\volley\Request.java,47
PunchApp_volley,com.android.volley,Request.Priority,0,0,0,0,4,0,0,0,-1.0,0,0,E:\Repositories\Cloned_Reposit\PunchApp_volley\src\com\android\volley\Request.java,492
PunchApp_volley,com.android.volley,RequestQueue,11,0,12,11,206,26,0,0,0.3333333333333333,4,7,E:\Repositories\Cloned_Reposit\PunchApp_volley\src\com\android\volley\RequestQueue.java,31
PunchApp_volley,com.android.volley,RequestQueue.RequestFilter,0,0,0,0,6,0,0,0,-1.0,0,0,E:\Repositories\Cloned_Reposit\PunchApp_volley\src\com\android\volley\RequestQueue.java,173
PunchApp_volley,com.android.volley,Response,4,4,5,3,68,5,0,0,0.0,16,2,E:\Repositories\Cloned_Reposit\PunchApp_volley\src\com\android\volley\Response.java,19
PunchApp_volley,com.android.volley,Response.Listener,0,0,0,0,9,0,0,0,-1.0,0,0,E:\Repositories\Cloned_Reposit\PunchApp_volley\src\com\android\volley\Response.java,26
PunchApp_volley,com.android.volley,Response.ErrorListener,0,0,0,0,9,0,0,0,-1.0,0,0,E:\Repositories\Cloned_Reposit\PunchApp_volley\src\com\android\volley\Response.java,32
PunchApp_volley,com.android.volley,ResponseDelivery,0,0,3,3,14,3,1,0,-1.0,4,3,E:\Repositories\Cloned_Reposit\PunchApp_volley\src\com\android\volley\ResponseDelivery.java,19
PunchApp_volley,com.android.volley,RetryPolicy,0,0,3,3,19,3,1,0,-1.0,2,1,E:\Repositories\Cloned_Reposit\PunchApp_volley\src\com\android\volley\RetryPolicy.java,19
PunchApp_volley,com.android.volley,ServerError,0,0,2,2,11,2,0,1,-1.0,1,1,E:\Repositories\Cloned_Reposit\PunchApp_volley\src\com\android\volley\ServerError.java,22
PunchApp_volley,com.android.volley,TimeoutError,0,0,0,0,5,0,0,1,-1.0,0,0,E:\Repositories\Cloned_Reposit\PunchApp_volley\src\com\android\volley\TimeoutError.java,19
PunchApp_volley,com.android.volley,VolleyError,1,1,5,5,24,5,5,0,0.0,15,1,E:\Repositories\Cloned_Reposit\PunchApp_volley\src\com\android\volley\VolleyError.java,19
PunchApp_volley,com.android.volley,VolleyLog,9,6,8,7,120,11,0,0,0.25,9,0,E:\Repositories\Cloned_Reposit\PunchApp_volley\src\com\android\volley\VolleyLog.java,26
PunchApp_volley,com.android.volley,VolleyLog.MarkerLog,7,4,0,0,66,0,0,0,-1.0,0,1,E:\Repositories\Cloned_Reposit\PunchApp_volley\src\com\android\volley\VolleyLog.java,100
PunchApp_volley,com.android.volley,VolleyLog.Marker,3,3,0,0,10,0,0,0,-1.0,0,0,E:\Repositories\Cloned_Reposit\PunchApp_volley\src\com\android\volley\VolleyLog.java,109
PunchApp_volley,com.android.volley,CacheDispatcherTest,7,0,7,5,68,7,0,0,0.0,0,8,E:\Repositories\Cloned_Reposit\PunchApp_volley\tests\src\com\android\volley\CacheDispatcherTest.java,29
PunchApp_volley,com.android.volley,NetworkDispatcherTest,8,0,6,4,61,6,0,0,0.0,0,7,E:\Repositories\Cloned_Reposit\PunchApp_volley\tests\src\com\android\volley\NetworkDispatcherTest.java,31
PunchApp_volley,com.android.volley,RequestQueueTest,7,0,6,3,126,8,0,0,0.3333333333333333,0,7,E:\Repositories\Cloned_Reposit\PunchApp_volley\tests\src\com\android\volley\RequestQueueTest.java,38
PunchApp_volley,com.android.volley,RequestQueueTest.OrderCheckingNetwork,3,0,0,0,27,0,0,1,-1.0,0,0,E:\Repositories\Cloned_Reposit\PunchApp_volley\tests\src\com\android\volley\RequestQueueTest.java,135
