Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
Shanmathi1_MSGSP-implementation,edu.uic.cs583.msgsp,CandidateGen,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: edu.uic.cs583.msgsp.FrequentSeq; edu.uic.cs583.msgsp.TransactionData
Shanmathi1_MSGSP-implementation,edu.uic.cs583.msgsp,CandidateGen,Law of Demeter violation,The tool detected the smell in this method (joinSequences) because the method voilates the law of Demeter. The long chain of method invocations is : edu.uic.cs583.msgsp.TransactionData.copy; edu.uic.cs583.msgsp.TransactionData.getLastItem
Shanmathi1_MSGSP-implementation,edu.uic.cs583.msgsp,CandidateGen,Law of Demeter violation,The tool detected the smell in this method (joinSequences) because the method voilates the law of Demeter. The long chain of method invocations is : edu.uic.cs583.msgsp.TransactionData.getItems; edu.uic.cs583.msgsp.TransactionData.reverse
Shanmathi1_MSGSP-implementation,edu.uic.cs583.msgsp,CandidateGen,Law of Demeter violation,The tool detected the smell in this method (joinSequences) because the method voilates the law of Demeter. The long chain of method invocations is : edu.uic.cs583.msgsp.TransactionData.reverse; edu.uic.cs583.msgsp.TransactionData.getLastItem
Shanmathi1_MSGSP-implementation,edu.uic.cs583.msgsp,CandidateGen,Law of Demeter violation,The tool detected the smell in this method (joinSequences) because the method voilates the law of Demeter. The long chain of method invocations is : edu.uic.cs583.msgsp.TransactionData.reverse; edu.uic.cs583.msgsp.TransactionData.getLastItem
Shanmathi1_MSGSP-implementation,edu.uic.cs583.msgsp,CandidateGen,Law of Demeter violation,The tool detected the smell in this method (joinSequences) because the method voilates the law of Demeter. The long chain of method invocations is : edu.uic.cs583.msgsp.TransactionData.copy; edu.uic.cs583.msgsp.TransactionData.reverse
Shanmathi1_MSGSP-implementation,edu.uic.cs583.msgsp,CandidateGen,Law of Demeter violation,The tool detected the smell in this method (joinSequences) because the method voilates the law of Demeter. The long chain of method invocations is : edu.uic.cs583.msgsp.TransactionData.copy; edu.uic.cs583.msgsp.TransactionData.reverse; edu.uic.cs583.msgsp.TransactionData.getLastItem
Shanmathi1_MSGSP-implementation,edu.uic.cs583.msgsp,CandidateGen,Law of Demeter violation,The tool detected the smell in this method (joinSequences) because the method voilates the law of Demeter. The long chain of method invocations is : edu.uic.cs583.msgsp.TransactionData.getItems; edu.uic.cs583.msgsp.TransactionData.reverse
Shanmathi1_MSGSP-implementation,edu.uic.cs583.msgsp,CandidateGen,Law of Demeter violation,The tool detected the smell in this method (joinSequences) because the method voilates the law of Demeter. The long chain of method invocations is : edu.uic.cs583.msgsp.TransactionData.getItems; edu.uic.cs583.msgsp.TransactionData.reverse
Shanmathi1_MSGSP-implementation,edu.uic.cs583.msgsp,CandidateGen,Law of Demeter violation,The tool detected the smell in this method (joinSequences) because the method voilates the law of Demeter. The long chain of method invocations is : edu.uic.cs583.msgsp.TransactionData.reverse; edu.uic.cs583.msgsp.TransactionData.getLastItem
