Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
Stuv7CB_opticlabGUI,stuv7cb.gui,ButtonRun,addClient,Magic Number,The method contains a magic number: 1481598913629240428L,34
Stuv7CB_opticlabGUI,stuv7cb.gui,ButtonRun,addClient,Magic Number,The method contains a magic number: 2,34
Stuv7CB_opticlabGUI,stuv7cb.gui,ButtonRun,actionPerformed,Magic Number,The method contains a magic number: 1481598913629240428L,38
Stuv7CB_opticlabGUI,stuv7cb.gui,ButtonRun,actionPerformed,Magic Number,The method contains a magic number: 2,38
Stuv7CB_opticlabGUI,stuv7cb.gui,ButtonRun,addButton,Magic Number,The method contains a magic number: 2,47
Stuv7CB_opticlabGUI,stuv7cb.gui,ButtonRun,addSocket,Complex Method,Cyclomatic complexity of the method is 10,88
Stuv7CB_opticlabGUI,stuv7cb.gui,ButtonRun,addSocket,Magic Number,The method contains a magic number: 48,88
Stuv7CB_opticlabGUI,stuv7cb.gui,ButtonRun,addSocket,Magic Number,The method contains a magic number: 48,88
Stuv7CB_opticlabGUI,stuv7cb.gui,ButtonRun,addSocket,Magic Number,The method contains a magic number: 100,88
Stuv7CB_opticlabGUI,stuv7cb.gui,ButtonRun,addSocket,Magic Number,The method contains a magic number: 100,88
Stuv7CB_opticlabGUI,stuv7cb.gui,LabelDisplay,changeAngle,Magic Number,The method contains a magic number: 180,33
Stuv7CB_opticlabGUI,stuv7cb.gui,LabelDisplay,getAngle,Magic Number,The method contains a magic number: 180,45
Stuv7CB_opticlabGUI,stuv7cb.gui,LabelDisplay,getParams,Magic Number,The method contains a magic number: 180,57
Stuv7CB_opticlabGUI,stuv7cb.gui,LabelDisplay,paintComponent,Magic Number,The method contains a magic number: 0.5,64
Stuv7CB_opticlabGUI,stuv7cb.gui,LabelDisplay,paintComponent,Magic Number,The method contains a magic number: 0.5,64
Stuv7CB_opticlabGUI,stuv7cb.gui,LabelDisplay,setDimension,Magic Number,The method contains a magic number: 0.5,76
Stuv7CB_opticlabGUI,stuv7cb.gui,LabelDisplay,setDimension,Magic Number,The method contains a magic number: 0.5,76
Stuv7CB_opticlabGUI,stuv7cb.gui,LabelDisplay,setDimension,Magic Number,The method contains a magic number: 0.5,76
Stuv7CB_opticlabGUI,stuv7cb.gui,LabelDisplay,setDimension,Magic Number,The method contains a magic number: 0.5,76
Stuv7CB_opticlabGUI,stuv7cb.gui,LabelDisplay,setDimension,Magic Number,The method contains a magic number: 10,76
Stuv7CB_opticlabGUI,stuv7cb.gui,LabelDisplay,setDimension,Magic Number,The method contains a magic number: 10,76
Stuv7CB_opticlabGUI,stuv7cb.gui,LabelDisplay,setDimension,Magic Number,The method contains a magic number: 10,76
Stuv7CB_opticlabGUI,stuv7cb.gui,LabelDisplay,setDimension,Magic Number,The method contains a magic number: 10,76
Stuv7CB_opticlabGUI,stuv7cb.gui,LabelDisplay,setDimension,Magic Number,The method contains a magic number: 5,76
Stuv7CB_opticlabGUI,stuv7cb.gui,LabelDisplay,setDimension,Magic Number,The method contains a magic number: 5,76
Stuv7CB_opticlabGUI,stuv7cb.gui,LabelEllepticMirror,LabelEllepticMirror,Magic Number,The method contains a magic number: 9,21
Stuv7CB_opticlabGUI,stuv7cb.gui,LabelEllepticMirror,changeAngle,Magic Number,The method contains a magic number: 180,42
Stuv7CB_opticlabGUI,stuv7cb.gui,LabelEllepticMirror,getParams,Magic Number,The method contains a magic number: 180,50
Stuv7CB_opticlabGUI,stuv7cb.gui,LabelEllepticMirror,getAngle,Magic Number,The method contains a magic number: 180,63
Stuv7CB_opticlabGUI,stuv7cb.gui,LabelEllepticMirror,paintComponent,Magic Number,The method contains a magic number: 2,67
Stuv7CB_opticlabGUI,stuv7cb.gui,LabelEllepticMirror,paintComponent,Magic Number,The method contains a magic number: 2,67
Stuv7CB_opticlabGUI,stuv7cb.gui,LabelEllepticMirror,paintComponent,Magic Number,The method contains a magic number: 180,67
Stuv7CB_opticlabGUI,stuv7cb.gui,LabelEllepticMirror,setDimension,Magic Number,The method contains a magic number: 2,79
Stuv7CB_opticlabGUI,stuv7cb.gui,LabelEllepticMirror,setDimension,Magic Number,The method contains a magic number: 2,79
Stuv7CB_opticlabGUI,stuv7cb.gui,LabelEllepticMirror,setDimension,Magic Number,The method contains a magic number: 2,79
Stuv7CB_opticlabGUI,stuv7cb.gui,LabelEllepticMirror,setDimension,Magic Number,The method contains a magic number: 2,79
Stuv7CB_opticlabGUI,stuv7cb.gui,LabelEllepticMirror,setDimension,Magic Number,The method contains a magic number: 2.0,79
Stuv7CB_opticlabGUI,stuv7cb.gui,LabelEllepticMirror,setDimension,Magic Number,The method contains a magic number: 2.0,79
Stuv7CB_opticlabGUI,stuv7cb.gui,LabelLaser,LabelLaser,Magic Number,The method contains a magic number: 5,17
Stuv7CB_opticlabGUI,stuv7cb.gui,LabelLaser,paintComponent,Magic Number,The method contains a magic number: 3,51
Stuv7CB_opticlabGUI,stuv7cb.gui,LabelLaser,paintComponent,Magic Number,The method contains a magic number: 3,51
Stuv7CB_opticlabGUI,stuv7cb.gui,LabelLaser,paintComponent,Magic Number,The method contains a magic number: 6,51
Stuv7CB_opticlabGUI,stuv7cb.gui,LabelLaser,paintComponent,Magic Number,The method contains a magic number: 6,51
Stuv7CB_opticlabGUI,stuv7cb.gui,LabelLaser,paintComponent,Magic Number,The method contains a magic number: 180,51
Stuv7CB_opticlabGUI,stuv7cb.gui,LabelLaser,paintComponent,Magic Number,The method contains a magic number: 5,51
Stuv7CB_opticlabGUI,stuv7cb.gui,LabelLaser,paintComponent,Magic Number,The method contains a magic number: 180,51
Stuv7CB_opticlabGUI,stuv7cb.gui,LabelLaser,setDimension,Magic Number,The method contains a magic number: 6,62
