Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
Stuv7CB_opticlabGUI,(default package),Main,main,9,1,1,7,0,,
Stuv7CB_opticlabGUI,(default package),Main,run,4,1,0,11,0,,
Stuv7CB_opticlabGUI,stuv7cb.gui,ButtonRun,ButtonRun,3,1,1,30,0,,
Stuv7CB_opticlabGUI,stuv7cb.gui,ButtonRun,addClient,45,1,0,34,0,stuv7cb.gui.ButtonRun,stuv7cb.gui.ButtonRun
Stuv7CB_opticlabGUI,stuv7cb.gui,ButtonRun,actionPerformed,40,1,1,38,0,stuv7cb.gui.ButtonRun,stuv7cb.gui.ButtonRun
Stuv7CB_opticlabGUI,stuv7cb.gui,ButtonRun,addButton,31,1,0,47,0,stuv7cb.gui.ButtonRun,stuv7cb.gui.ButtonRun
Stuv7CB_opticlabGUI,stuv7cb.gui,ButtonRun,actionPerformed,11,1,1,63,0,stuv7cb.gui.ButtonRun,stuv7cb.gui.ButtonRun
Stuv7CB_opticlabGUI,stuv7cb.gui,ButtonRun,addSocket,72,10,0,88,0,,
Stuv7CB_opticlabGUI,stuv7cb.gui,LabelDisplay,LabelDisplay,7,1,3,20,0,stuv7cb.gui.LabelDisplay,stuv7cb.gui.LabelDisplay
Stuv7CB_opticlabGUI,stuv7cb.gui,LabelDisplay,changeAngle,3,1,1,33,0,,
Stuv7CB_opticlabGUI,stuv7cb.gui,LabelDisplay,changeCenter,3,1,2,37,0,,
Stuv7CB_opticlabGUI,stuv7cb.gui,LabelDisplay,changeLength,3,1,1,41,0,,
Stuv7CB_opticlabGUI,stuv7cb.gui,LabelDisplay,getAngle,3,1,0,45,0,,
Stuv7CB_opticlabGUI,stuv7cb.gui,LabelDisplay,getCenter,3,1,0,49,0,,
Stuv7CB_opticlabGUI,stuv7cb.gui,LabelDisplay,getLength,3,1,0,53,0,,
Stuv7CB_opticlabGUI,stuv7cb.gui,LabelDisplay,getParams,5,1,0,57,0,,
Stuv7CB_opticlabGUI,stuv7cb.gui,LabelDisplay,paintComponent,11,1,1,64,0,,
Stuv7CB_opticlabGUI,stuv7cb.gui,LabelDisplay,setDimension,31,3,0,76,0,,
Stuv7CB_opticlabGUI,stuv7cb.gui,LabelEllepticMirror,LabelEllepticMirror,8,1,4,21,0,stuv7cb.gui.LabelEllepticMirror,stuv7cb.gui.LabelEllepticMirror
Stuv7CB_opticlabGUI,stuv7cb.gui,LabelEllepticMirror,changeCenter,3,1,2,30,0,,
Stuv7CB_opticlabGUI,stuv7cb.gui,LabelEllepticMirror,changeA,3,1,1,34,0,,
Stuv7CB_opticlabGUI,stuv7cb.gui,LabelEllepticMirror,changeB,3,1,1,38,0,,
Stuv7CB_opticlabGUI,stuv7cb.gui,LabelEllepticMirror,changeAngle,3,1,1,42,0,,
Stuv7CB_opticlabGUI,stuv7cb.gui,LabelEllepticMirror,getCenter,3,1,0,46,0,,
Stuv7CB_opticlabGUI,stuv7cb.gui,LabelEllepticMirror,getParams,4,1,0,50,0,,
Stuv7CB_opticlabGUI,stuv7cb.gui,LabelEllepticMirror,getA,3,1,0,55,0,,
Stuv7CB_opticlabGUI,stuv7cb.gui,LabelEllepticMirror,getB,3,1,0,59,0,,
Stuv7CB_opticlabGUI,stuv7cb.gui,LabelEllepticMirror,getAngle,3,1,0,63,0,,
Stuv7CB_opticlabGUI,stuv7cb.gui,LabelEllepticMirror,paintComponent,11,1,1,67,0,,
Stuv7CB_opticlabGUI,stuv7cb.gui,LabelEllepticMirror,setDimension,13,2,0,79,0,,
Stuv7CB_opticlabGUI,stuv7cb.gui,LabelLaser,LabelLaser,6,1,2,17,0,stuv7cb.gui.LabelLaser,stuv7cb.gui.LabelLaser
Stuv7CB_opticlabGUI,stuv7cb.gui,LabelLaser,changeAngle,3,1,1,28,0,,
Stuv7CB_opticlabGUI,stuv7cb.gui,LabelLaser,changeCenter,3,1,2,32,0,,
Stuv7CB_opticlabGUI,stuv7cb.gui,LabelLaser,getAngle,3,1,0,36,0,,
Stuv7CB_opticlabGUI,stuv7cb.gui,LabelLaser,getCenter,3,1,0,40,0,,
Stuv7CB_opticlabGUI,stuv7cb.gui,LabelLaser,getParams,5,1,0,44,0,,
Stuv7CB_opticlabGUI,stuv7cb.gui,LabelLaser,paintComponent,10,1,1,51,0,,
