Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
Superjisan_Stormy,superjisan.com.stormy,ApplicationTest,ApplicationTest,3,1,0,10,0,,
Superjisan_Stormy,superjisan.com.stormy,AlertDialogFragment,onCreateDialog,6,1,1,13,0,,
Superjisan_Stormy,superjisan.com.stormy,CurrentWeather,getTimeZone,3,1,0,21,0,,
Superjisan_Stormy,superjisan.com.stormy,CurrentWeather,setTimeZone,3,1,1,25,0,,
Superjisan_Stormy,superjisan.com.stormy,CurrentWeather,getIcon,3,1,0,29,0,,
Superjisan_Stormy,superjisan.com.stormy,CurrentWeather,getFormattedTime,7,1,0,33,0,superjisan.com.stormy.CurrentWeather,superjisan.com.stormy.CurrentWeather
Superjisan_Stormy,superjisan.com.stormy,CurrentWeather,setIcon,3,1,1,42,0,,
Superjisan_Stormy,superjisan.com.stormy,CurrentWeather,getIconId,34,11,0,46,0,,
Superjisan_Stormy,superjisan.com.stormy,CurrentWeather,getTime,3,1,0,84,0,,
Superjisan_Stormy,superjisan.com.stormy,CurrentWeather,setTime,3,1,1,88,0,,
Superjisan_Stormy,superjisan.com.stormy,CurrentWeather,getTemperature,3,1,0,92,0,,
Superjisan_Stormy,superjisan.com.stormy,CurrentWeather,setTemperature,3,1,1,96,0,,
Superjisan_Stormy,superjisan.com.stormy,CurrentWeather,getPrecipChance,4,1,0,100,0,,
Superjisan_Stormy,superjisan.com.stormy,CurrentWeather,setPrecipChance,3,1,1,105,0,,
Superjisan_Stormy,superjisan.com.stormy,CurrentWeather,getHumidity,3,1,0,109,0,,
Superjisan_Stormy,superjisan.com.stormy,CurrentWeather,setHumidity,3,1,1,113,0,,
Superjisan_Stormy,superjisan.com.stormy,CurrentWeather,getSummary,3,1,0,117,0,,
Superjisan_Stormy,superjisan.com.stormy,CurrentWeather,setSummary,3,1,1,121,0,,
Superjisan_Stormy,superjisan.com.stormy,MainActivity,onCreate,15,1,1,47,0,superjisan.com.stormy.MainActivity,superjisan.com.stormy.MainActivity
Superjisan_Stormy,superjisan.com.stormy,MainActivity,onClick,3,1,1,58,0,superjisan.com.stormy.MainActivity,superjisan.com.stormy.MainActivity
Superjisan_Stormy,superjisan.com.stormy,MainActivity,getForecast,55,3,2,67,0,superjisan.com.stormy.MainActivity,superjisan.com.stormy.MainActivity
Superjisan_Stormy,superjisan.com.stormy,MainActivity,onFailure,9,1,2,84,0,superjisan.com.stormy.MainActivity,superjisan.com.stormy.MainActivity
Superjisan_Stormy,superjisan.com.stormy,MainActivity,run,3,1,0,87,0,superjisan.com.stormy.MainActivity,superjisan.com.stormy.MainActivity
Superjisan_Stormy,superjisan.com.stormy,MainActivity,onResponse,30,2,1,95,0,superjisan.com.stormy.MainActivity,superjisan.com.stormy.MainActivity
Superjisan_Stormy,superjisan.com.stormy,MainActivity,run,3,1,0,98,0,superjisan.com.stormy.MainActivity,superjisan.com.stormy.MainActivity
Superjisan_Stormy,superjisan.com.stormy,MainActivity,run,3,1,0,111,0,superjisan.com.stormy.MainActivity,superjisan.com.stormy.MainActivity
Superjisan_Stormy,superjisan.com.stormy,MainActivity,toggleRefresh,10,2,0,133,0,,
Superjisan_Stormy,superjisan.com.stormy,MainActivity,updateDisplay,9,1,0,143,0,,
Superjisan_Stormy,superjisan.com.stormy,MainActivity,getCurrentDetails,15,1,1,154,0,,
Superjisan_Stormy,superjisan.com.stormy,MainActivity,isNetworkAvailable,9,2,0,175,0,,
Superjisan_Stormy,superjisan.com.stormy,MainActivity,alertUserAboutError,4,1,0,186,0,,
