Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
The-WUUSTER_Randoms,(default package),AppendSums,main,Magic Number,The method contains a magic number: 2,5
The-WUUSTER_Randoms,(default package),AppendSums,main,Magic Number,The method contains a magic number: 10,5
The-WUUSTER_Randoms,(default package),AppendSums,main,Magic Number,The method contains a magic number: 20,5
The-WUUSTER_Randoms,(default package),AppendSums,appendSums,Magic Number,The method contains a magic number: 25,16
The-WUUSTER_Randoms,(default package),AppendSums,appendSums,Magic Number,The method contains a magic number: 2,16
The-WUUSTER_Randoms,(default package),AppendSums,appendSums,Magic Number,The method contains a magic number: 3,16
The-WUUSTER_Randoms,(default package),BankAccount,withdraw,Magic Number,The method contains a magic number: 5,35
The-WUUSTER_Randoms,(default package),BankAccount,withdraw,Magic Number,The method contains a magic number: 5,35
The-WUUSTER_Randoms,(default package),BankAccount,main,Magic Number,The method contains a magic number: 10,48
The-WUUSTER_Randoms,(default package),BankAccount,main,Magic Number,The method contains a magic number: 5,48
The-WUUSTER_Randoms,(default package),BankAccount,main,Magic Number,The method contains a magic number: 10,48
The-WUUSTER_Randoms,(default package),BankAccount,main,Magic Number,The method contains a magic number: 5,48
The-WUUSTER_Randoms,(default package),BankAccount,main,Magic Number,The method contains a magic number: 15,48
The-WUUSTER_Randoms,(default package),BankAccount,main,Magic Number,The method contains a magic number: 20,48
The-WUUSTER_Randoms,(default package),BankAccount,main,Magic Number,The method contains a magic number: 5,48
The-WUUSTER_Randoms,(default package),BankAccount,main,Magic Number,The method contains a magic number: 10,48
The-WUUSTER_Randoms,(default package),BankAccount,main,Magic Number,The method contains a magic number: 20,48
The-WUUSTER_Randoms,(default package),BankAccount,main,Magic Number,The method contains a magic number: 15,48
The-WUUSTER_Randoms,(default package),BankAccount,main,Magic Number,The method contains a magic number: 30,48
The-WUUSTER_Randoms,(default package),BankAccount,main,Magic Number,The method contains a magic number: 10,48
The-WUUSTER_Randoms,(default package),BankAccount,main,Magic Number,The method contains a magic number: 15,48
The-WUUSTER_Randoms,(default package),BankAccount,main,Magic Number,The method contains a magic number: 10,48
The-WUUSTER_Randoms,(default package),BankAccount,main,Magic Number,The method contains a magic number: 50,48
The-WUUSTER_Randoms,(default package),BankAccount,main,Magic Number,The method contains a magic number: 30,48
The-WUUSTER_Randoms,(default package),BankAccount,main,Magic Number,The method contains a magic number: 15,48
The-WUUSTER_Randoms,(default package),BankAccount,main,Magic Number,The method contains a magic number: 10,48
The-WUUSTER_Randoms,(default package),BankAccount,main,Magic Number,The method contains a magic number: 5,48
The-WUUSTER_Randoms,(default package),BankAccount,main,Magic Number,The method contains a magic number: 20,48
The-WUUSTER_Randoms,(default package),BankAccount,main,Magic Number,The method contains a magic number: 15,48
The-WUUSTER_Randoms,(default package),BankAccount,main,Magic Number,The method contains a magic number: 10,48
The-WUUSTER_Randoms,(default package),BankAccount,main,Magic Number,The method contains a magic number: 30,48
The-WUUSTER_Randoms,(default package),BankAccount,main,Magic Number,The method contains a magic number: 25,48
The-WUUSTER_Randoms,(default package),BankAccount,main,Magic Number,The method contains a magic number: 5,48
The-WUUSTER_Randoms,(default package),BankAccount,main,Magic Number,The method contains a magic number: 10,48
The-WUUSTER_Randoms,(default package),BankAccount,main,Magic Number,The method contains a magic number: 15,48
The-WUUSTER_Randoms,(default package),BankAccount,main,Magic Number,The method contains a magic number: 10,48
The-WUUSTER_Randoms,(default package),BankAccount,main,Magic Number,The method contains a magic number: 10,48
The-WUUSTER_Randoms,(default package),BankAccount,main,Magic Number,The method contains a magic number: 15,48
The-WUUSTER_Randoms,(default package),BankAccount,main,Magic Number,The method contains a magic number: 10,48
The-WUUSTER_Randoms,(default package),BankAccount,main,Magic Number,The method contains a magic number: 30,48
The-WUUSTER_Randoms,(default package),BankAccount,main,Magic Number,The method contains a magic number: 25,48
The-WUUSTER_Randoms,(default package),BankAccount,main,Magic Number,The method contains a magic number: 10,48
The-WUUSTER_Randoms,(default package),BankAccount,main,Magic Number,The method contains a magic number: 20,48
The-WUUSTER_Randoms,(default package),BankAccount,main,Magic Number,The method contains a magic number: 10,48
The-WUUSTER_Randoms,(default package),BankAccount,main,Magic Number,The method contains a magic number: 5,48
The-WUUSTER_Randoms,(default package),BankAccount,main,Magic Number,The method contains a magic number: 15,48
The-WUUSTER_Randoms,(default package),BankAccount,main,Magic Number,The method contains a magic number: 10,48
The-WUUSTER_Randoms,(default package),BankAccount,main,Magic Number,The method contains a magic number: 5,48
The-WUUSTER_Randoms,(default package),BankAccount,main,Magic Number,The method contains a magic number: 15,48
The-WUUSTER_Randoms,(default package),BankAccount,main,Magic Number,The method contains a magic number: 10,48
The-WUUSTER_Randoms,(default package),BankAccount,main,Magic Number,The method contains a magic number: 5,48
The-WUUSTER_Randoms,(default package),Grid,update2,Complex Method,Cyclomatic complexity of the method is 12,5
The-WUUSTER_Randoms,(default package),Grid,update2,Magic Number,The method contains a magic number: 2,5
The-WUUSTER_Randoms,(default package),Grid,update2,Magic Number,The method contains a magic number: 3,5
The-WUUSTER_Randoms,(default package),Grid,update2,Magic Number,The method contains a magic number: 3,5
The-WUUSTER_Randoms,(default package),Grid,update,Complex Conditional,The conditional expression (i > 0 && j > 0) && (i < height - 1 && j < width - 1) is complex.,43
The-WUUSTER_Randoms,(default package),Grid,update,Complex Method,Cyclomatic complexity of the method is 58,43
The-WUUSTER_Randoms,(default package),Grid,update,Magic Number,The method contains a magic number: 2,43
The-WUUSTER_Randoms,(default package),Grid,update,Magic Number,The method contains a magic number: 3,43
The-WUUSTER_Randoms,(default package),Grid,update,Magic Number,The method contains a magic number: 3,43
The-WUUSTER_Randoms,(default package),Grid,main,Magic Number,The method contains a magic number: .5,202
The-WUUSTER_Randoms,(default package),Grid,main,Magic Number,The method contains a magic number: 3,202
The-WUUSTER_Randoms,(default package),Grid,main,Magic Number,The method contains a magic number: 3,202
The-WUUSTER_Randoms,(default package),Plausibility,Plausibility,Magic Number,The method contains a magic number: 2,13
The-WUUSTER_Randoms,(default package),Plausibility,indexLookup,Complex Method,Cyclomatic complexity of the method is 8,21
The-WUUSTER_Randoms,(default package),Plausibility,indexLookup,Magic Number,The method contains a magic number: 97,21
The-WUUSTER_Randoms,(default package),Plausibility,indexLookup,Magic Number,The method contains a magic number: 26,21
The-WUUSTER_Randoms,(default package),Plausibility,indexLookup,Magic Number,The method contains a magic number: 27,21
The-WUUSTER_Randoms,(default package),Plausibility,indexLookup,Magic Number,The method contains a magic number: 28,21
The-WUUSTER_Randoms,(default package),Plausibility,indexLookup,Magic Number,The method contains a magic number: 29,21
