Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
The-WUUSTER_Randoms,(default package),AppendSums,main,9,1,1,5,0,,
The-WUUSTER_Randoms,(default package),AppendSums,appendSums,6,2,1,16,0,,
The-WUUSTER_Randoms,(default package),BankAccount,BankAccount,5,1,2,8,0,,
The-WUUSTER_Randoms,(default package),BankAccount,getName,3,1,0,15,0,,
The-WUUSTER_Randoms,(default package),BankAccount,getBalance,3,1,0,20,0,,
The-WUUSTER_Randoms,(default package),BankAccount,getFees,3,1,0,25,0,,
The-WUUSTER_Randoms,(default package),BankAccount,deposit,3,1,1,30,0,,
The-WUUSTER_Randoms,(default package),BankAccount,withdraw,9,2,1,35,0,,
The-WUUSTER_Randoms,(default package),BankAccount,main,46,1,1,48,0,,
The-WUUSTER_Randoms,(default package),Grid,update2,31,12,3,5,0,,
The-WUUSTER_Randoms,(default package),Grid,update,90,58,3,43,0,,
The-WUUSTER_Randoms,(default package),Grid,printBoard,8,3,1,190,0,,
The-WUUSTER_Randoms,(default package),Grid,main,29,6,1,202,0,,
The-WUUSTER_Randoms,(default package),Plausibility,Plausibility,6,1,1,13,0,,
The-WUUSTER_Randoms,(default package),Plausibility,indexLookup,17,8,1,21,0,,
The-WUUSTER_Randoms,(default package),Plausibility,createMatrix,29,8,1,52,0,,
The-WUUSTER_Randoms,(default package),Plausibility,calculatePlaus,3,1,1,96,0,,
The-WUUSTER_Randoms,(default package),Plausibility,calculatePlaus,7,2,1,101,0,,
The-WUUSTER_Randoms,(default package),Plausibility,nextMapping,17,3,0,111,0,,
The-WUUSTER_Randoms,(default package),Plausibility,main,7,1,1,133,0,,
The-WUUSTER_Randoms,(default package),Prime,isPrime,9,4,1,5,0,,
The-WUUSTER_Randoms,(default package),Prime,main,11,3,1,20,0,,
The-WUUSTER_Randoms,(default package),Test,main,11,1,1,4,0,,
The-WUUSTER_Randoms,(default package),Twenty48,Twenty48,6,1,2,8,0,,
The-WUUSTER_Randoms,(default package),Twenty48,reset,7,3,0,16,0,,
The-WUUSTER_Randoms,(default package),Twenty48,getRowLength,3,1,0,27,0,,
The-WUUSTER_Randoms,(default package),Twenty48,getColLength,3,1,0,32,0,,
The-WUUSTER_Randoms,(default package),Twenty48,getTile,3,1,2,37,0,,
The-WUUSTER_Randoms,(default package),Twenty48,setTile,3,1,3,42,0,,
The-WUUSTER_Randoms,(default package),Twenty48,merge,29,9,1,47,0,,
The-WUUSTER_Randoms,(default package),Twenty48,newTile,15,3,0,90,0,,
The-WUUSTER_Randoms,(default package),Twenty48,main,22,5,1,110,0,,
The-WUUSTER_Randoms,hangman,Hangman,has_blanks,8,3,1,14,0,,
The-WUUSTER_Randoms,hangman,Hangman,play_hangman,75,16,1,27,0,hangman.Hangman,hangman.Hangman
The-WUUSTER_Randoms,hangman,Hangman,main,17,2,1,124,0,hangman.Hangman,hangman.Hangman
The-WUUSTER_Randoms,markov,monteCarlo,monteCarlo,2,1,2,21,0,,
The-WUUSTER_Randoms,markov,monteCarlo,monteCarlo,17,4,1,27,0,markov.monteCarlo,markov.monteCarlo
The-WUUSTER_Randoms,markov,monteCarlo,createAlphabet,16,4,1,52,0,,
The-WUUSTER_Randoms,markov,monteCarlo,createMatrix,23,6,1,73,0,markov.monteCarlo,markov.monteCarlo
The-WUUSTER_Randoms,markov,monteCarlo,nextMapping,22,5,0,107,0,markov.monteCarlo,markov.monteCarlo
The-WUUSTER_Randoms,markov,monteCarlo,calcPlaus,4,1,1,133,0,,
The-WUUSTER_Randoms,markov,monteCarlo,calcPlaus,7,2,1,138,0,markov.monteCarlo,markov.monteCarlo
The-WUUSTER_Randoms,markov,monteCarlo,indexLookup,8,3,1,145,0,,
The-WUUSTER_Randoms,markov,monteCarlo,toString,19,6,0,153,0,,
The-WUUSTER_Randoms,markov,monteCarlo,main,12,2,1,173,0,,
