Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
Tibolte_ElasticDownload,is.arontibo.library,AVDWrapper.Callback,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Tibolte_ElasticDownload,is.arontibo.library,ElasticDownloadView,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): IntroView
Tibolte_ElasticDownload,is.arontibo.library,IntroView.EnterAnimationListener,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Tibolte_ElasticDownload,is.arontibo.library,ProgressDownloadView,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: LOG_TAG; ANIMATION_DURATION_BASE; mWidth; mHeight; bubbleAnchorX; bubbleAnchorY; mBubbleWidth; mBubbleHeight; mPadding; mPathBlack; mPathWhite; mPathBubble; mPaintBlack; mPaintWhite; mPaintBubble; mPaintText; mDensity; mProgress; mTarget; mSpeedAngle; mBubbleAngle; mFailAngle; mFlipFactor; mState
Tibolte_ElasticDownload,is.arontibo.library,ProgressDownloadView.State,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
Tibolte_ElasticDownload,is.arontibo.library,ProgressDownloadView.State,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Tibolte_ElasticDownload,is.arontibo.library.VectorCompat,AnimatedVectorDrawable,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 31 public methods
Tibolte_ElasticDownload,is.arontibo.library.VectorCompat,AnimatedVectorDrawable.AnimatedVectorDrawableState,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: mChangingConfigurations; mVectorDrawable; mAnimators; mTargetNameMap
Tibolte_ElasticDownload,is.arontibo.library.VectorCompat,AnimatedVectorDrawable.AnimatedVectorDrawableState,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Tibolte_ElasticDownload,is.arontibo.library.VectorCompat,DrawableCompat.ConstantStateCompat,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
Tibolte_ElasticDownload,is.arontibo.library.VectorCompat,DrawableCompat.ConstantStateCompat,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Tibolte_ElasticDownload,is.arontibo.library.VectorCompat,Outline,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: mPath; mRect; mRadius; mAlpha
Tibolte_ElasticDownload,is.arontibo.library.VectorCompat,PathAnimatorInflater.PathDataEvaluator,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: mNodeArray
Tibolte_ElasticDownload,is.arontibo.library.VectorCompat,PathAnimatorInflater.PathDataEvaluator,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Tibolte_ElasticDownload,is.arontibo.library.VectorCompat,PathParser.ExtractFloatResult,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: mEndPosition; mEndWithNegSign
Tibolte_ElasticDownload,is.arontibo.library.VectorCompat,PathParser.ExtractFloatResult,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Tibolte_ElasticDownload,is.arontibo.library.VectorCompat,PathParser.PathDataNode,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: mType; mParams
Tibolte_ElasticDownload,is.arontibo.library.VectorCompat,PathParser.PathDataNode,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Tibolte_ElasticDownload,is.arontibo.library.VectorCompat,ResourcesCompat,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Tibolte_ElasticDownload,is.arontibo.library.VectorCompat,ResourcesCompat,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: LOLLIPOP
Tibolte_ElasticDownload,is.arontibo.library.VectorCompat,VectorDrawable,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 23 public methods
Tibolte_ElasticDownload,is.arontibo.library.VectorCompat,VectorDrawable.VectorDrawableState,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Tibolte_ElasticDownload,is.arontibo.library.VectorCompat,VectorDrawable.VectorDrawableState,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: mThemeAttrs; mChangingConfigurations; mVPathRenderer; mTint; mTintMode; mAutoMirrored; mCachedBitmap; mCachedThemeAttrs; mCachedTint; mCachedTintMode; mCachedRootAlpha; mCachedAutoMirrored; mCacheDirty; mTempPaint
Tibolte_ElasticDownload,is.arontibo.library.VectorCompat,VectorDrawable.VPathRenderer,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Tibolte_ElasticDownload,is.arontibo.library.VectorCompat,VectorDrawable.VPathRenderer,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: mPath; mRenderPath; IDENTITY_MATRIX; mFinalPathMatrix; mStrokePaint; mFillPaint; mPathMeasure; mChangingConfigurations; mRootGroup; mBaseWidth; mBaseHeight; mViewportWidth; mViewportHeight; mRootAlpha; mRootName; mVGTargetsMap
Tibolte_ElasticDownload,is.arontibo.library.VectorCompat,VectorDrawable.VGroup,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Tibolte_ElasticDownload,is.arontibo.library.VectorCompat,VectorDrawable.VGroup,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: mStackedMatrix; mChildren; mRotate; mPivotX; mPivotY; mScaleX; mScaleY; mTranslateX; mTranslateY; mLocalMatrix; mChangingConfigurations; mThemeAttrs; mGroupName
Tibolte_ElasticDownload,is.arontibo.library.VectorCompat,VectorDrawable.VPath,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: mNodes; mPathName; mChangingConfigurations
Tibolte_ElasticDownload,is.arontibo.library.VectorCompat,VectorDrawable.VPath,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Tibolte_ElasticDownload,is.arontibo.library.VectorCompat,VectorDrawable.VClipPath,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
Tibolte_ElasticDownload,is.arontibo.library.VectorCompat,VectorDrawable.VClipPath,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Tibolte_ElasticDownload,is.arontibo.library.VectorCompat,VectorDrawable.VFullPath,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Tibolte_ElasticDownload,is.arontibo.library.VectorCompat,VectorDrawable.VFullPath,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: mThemeAttrs; mStrokeColor; mStrokeWidth; mFillColor; mStrokeAlpha; mFillRule; mFillAlpha; mTrimPathStart; mTrimPathEnd; mTrimPathOffset; mStrokeLineCap; mStrokeLineJoin; mStrokeMiterlimit
Tibolte_ElasticDownload,is.arontibo.sample,ApplicationTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Tibolte_ElasticDownload,is.arontibo.sample,MainActivity,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
