Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
Tibolte_ElasticDownload,is.arontibo.library,ElasticDownloadView,ElasticDownloadView,Long Statement,The length of the statement "mBackgroundColor=a.getColor(R.styleable.ColorOptionsView_backgroundColor`getResources().getColor(R.color.orange_salmon));" is 121.,23
Tibolte_ElasticDownload,is.arontibo.library,ProgressDownloadView,ProgressDownloadView,Magic Number,The method contains a magic number: 30,44
Tibolte_ElasticDownload,is.arontibo.library,ProgressDownloadView,ProgressDownloadView,Magic Number,The method contains a magic number: 45,44
Tibolte_ElasticDownload,is.arontibo.library,ProgressDownloadView,ProgressDownloadView,Magic Number,The method contains a magic number: 35,44
Tibolte_ElasticDownload,is.arontibo.library,ProgressDownloadView,ProgressDownloadView,Magic Number,The method contains a magic number: 5,44
Tibolte_ElasticDownload,is.arontibo.library,ProgressDownloadView,ProgressDownloadView,Magic Number,The method contains a magic number: 5,44
Tibolte_ElasticDownload,is.arontibo.library,ProgressDownloadView,ProgressDownloadView,Magic Number,The method contains a magic number: 12,44
Tibolte_ElasticDownload,is.arontibo.library,ProgressDownloadView,onDraw,Complex Method,Cyclomatic complexity of the method is 8,81
Tibolte_ElasticDownload,is.arontibo.library,ProgressDownloadView,onDraw,Long Statement,The length of the statement "float textX=Math.max(getPaddingLeft() - (int)(mBubbleWidth / 4.0f)`mProgress * mWidth / 100 - (int)(mBubbleWidth / 4.0f));" is 122.,81
Tibolte_ElasticDownload,is.arontibo.library,ProgressDownloadView,onDraw,Magic Number,The method contains a magic number: 4.0f,81
Tibolte_ElasticDownload,is.arontibo.library,ProgressDownloadView,onDraw,Magic Number,The method contains a magic number: 100,81
Tibolte_ElasticDownload,is.arontibo.library,ProgressDownloadView,onDraw,Magic Number,The method contains a magic number: 4.0f,81
Tibolte_ElasticDownload,is.arontibo.library,ProgressDownloadView,onDraw,Magic Number,The method contains a magic number: 2,81
Tibolte_ElasticDownload,is.arontibo.library,ProgressDownloadView,onDraw,Magic Number,The method contains a magic number: 2,81
Tibolte_ElasticDownload,is.arontibo.library,ProgressDownloadView,onDraw,Magic Number,The method contains a magic number: 20,81
Tibolte_ElasticDownload,is.arontibo.library,ProgressDownloadView,onDraw,Magic Number,The method contains a magic number: 10,81
Tibolte_ElasticDownload,is.arontibo.library,ProgressDownloadView,onDraw,Magic Number,The method contains a magic number: 20,81
Tibolte_ElasticDownload,is.arontibo.library,ProgressDownloadView,onDraw,Magic Number,The method contains a magic number: 20,81
Tibolte_ElasticDownload,is.arontibo.library,ProgressDownloadView,onDraw,Magic Number,The method contains a magic number: 20,81
Tibolte_ElasticDownload,is.arontibo.library,ProgressDownloadView,onDraw,Magic Number,The method contains a magic number: 20,81
Tibolte_ElasticDownload,is.arontibo.library,ProgressDownloadView,onDraw,Magic Number,The method contains a magic number: 20,81
Tibolte_ElasticDownload,is.arontibo.library,ProgressDownloadView,onDraw,Magic Number,The method contains a magic number: .9f,81
Tibolte_ElasticDownload,is.arontibo.library,ProgressDownloadView,onDraw,Magic Number,The method contains a magic number: 7,81
Tibolte_ElasticDownload,is.arontibo.library,ProgressDownloadView,onDraw,Magic Number,The method contains a magic number: 3.2f,81
Tibolte_ElasticDownload,is.arontibo.library,ProgressDownloadView,onDraw,Magic Number,The method contains a magic number: 100,81
Tibolte_ElasticDownload,is.arontibo.library,ProgressDownloadView,onDraw,Magic Number,The method contains a magic number: 3.2f,81
Tibolte_ElasticDownload,is.arontibo.library,ProgressDownloadView,onDraw,Magic Number,The method contains a magic number: 3.2f,81
Tibolte_ElasticDownload,is.arontibo.library,ProgressDownloadView,onDraw,Magic Number,The method contains a magic number: 100,81
Tibolte_ElasticDownload,is.arontibo.library,ProgressDownloadView,onDraw,Magic Number,The method contains a magic number: 3.2f,81
Tibolte_ElasticDownload,is.arontibo.library,ProgressDownloadView,makePathBlack,Magic Number,The method contains a magic number: 100,155
Tibolte_ElasticDownload,is.arontibo.library,ProgressDownloadView,makePathBlack,Magic Number,The method contains a magic number: 2,155
Tibolte_ElasticDownload,is.arontibo.library,ProgressDownloadView,makePathBlack,Magic Number,The method contains a magic number: 2,155
Tibolte_ElasticDownload,is.arontibo.library,ProgressDownloadView,makePathWhite,Magic Number,The method contains a magic number: 2,172
Tibolte_ElasticDownload,is.arontibo.library,ProgressDownloadView,makePathWhite,Magic Number,The method contains a magic number: 100,172
Tibolte_ElasticDownload,is.arontibo.library,ProgressDownloadView,makePathWhite,Magic Number,The method contains a magic number: 2,172
Tibolte_ElasticDownload,is.arontibo.library,ProgressDownloadView,makePathBubble,Long Statement,The length of the statement "Rect r=new Rect((int)(Math.max(getPaddingLeft() - width / 2`mProgress * mWidth / 100 - width / 2))`(int)(mHeight / 2 - height + calculateDeltaY())`(int)(Math.max(getPaddingLeft() + width / 2`mProgress * mWidth / 100 + width / 2))`(int)(mHeight / 2 + height - height + calculateDeltaY()));" is 288.,185
Tibolte_ElasticDownload,is.arontibo.library,ProgressDownloadView,makePathBubble,Long Statement,The length of the statement "path.arcTo(new RectF(r.left + r.width() - 2 * radius`r.top + r.height() - arrowHeight - 2 * radius`r.left + r.width()`r.top + r.height() - arrowHeight)`90`-90);" is 160.,185
Tibolte_ElasticDownload,is.arontibo.library,ProgressDownloadView,makePathBubble,Long Statement,The length of the statement "path.arcTo(new RectF(r.left`r.top + r.height() - arrowHeight - 2 * radius`r.left + 2 * radius`r.top + r.height() - arrowHeight)`180`-90);" is 137.,185
Tibolte_ElasticDownload,is.arontibo.library,ProgressDownloadView,makePathBubble,Magic Number,The method contains a magic number: 3,185
Tibolte_ElasticDownload,is.arontibo.library,ProgressDownloadView,makePathBubble,Magic Number,The method contains a magic number: 2,185
Tibolte_ElasticDownload,is.arontibo.library,ProgressDownloadView,makePathBubble,Magic Number,The method contains a magic number: 100,185
Tibolte_ElasticDownload,is.arontibo.library,ProgressDownloadView,makePathBubble,Magic Number,The method contains a magic number: 2,185
Tibolte_ElasticDownload,is.arontibo.library,ProgressDownloadView,makePathBubble,Magic Number,The method contains a magic number: 2,185
Tibolte_ElasticDownload,is.arontibo.library,ProgressDownloadView,makePathBubble,Magic Number,The method contains a magic number: 2,185
Tibolte_ElasticDownload,is.arontibo.library,ProgressDownloadView,makePathBubble,Magic Number,The method contains a magic number: 100,185
Tibolte_ElasticDownload,is.arontibo.library,ProgressDownloadView,makePathBubble,Magic Number,The method contains a magic number: 2,185
Tibolte_ElasticDownload,is.arontibo.library,ProgressDownloadView,makePathBubble,Magic Number,The method contains a magic number: 2,185
Tibolte_ElasticDownload,is.arontibo.library,ProgressDownloadView,makePathBubble,Magic Number,The method contains a magic number: 1.5f,185
Tibolte_ElasticDownload,is.arontibo.library,ProgressDownloadView,makePathBubble,Magic Number,The method contains a magic number: 8,185
Tibolte_ElasticDownload,is.arontibo.library,ProgressDownloadView,makePathBubble,Magic Number,The method contains a magic number: 2,185
Tibolte_ElasticDownload,is.arontibo.library,ProgressDownloadView,makePathBubble,Magic Number,The method contains a magic number: 2,185
Tibolte_ElasticDownload,is.arontibo.library,ProgressDownloadView,makePathBubble,Magic Number,The method contains a magic number: 2,185
Tibolte_ElasticDownload,is.arontibo.library,ProgressDownloadView,makePathBubble,Magic Number,The method contains a magic number: 2,185
Tibolte_ElasticDownload,is.arontibo.library,ProgressDownloadView,makePathBubble,Magic Number,The method contains a magic number: 2,185
Tibolte_ElasticDownload,is.arontibo.library,ProgressDownloadView,makePathBubble,Magic Number,The method contains a magic number: 2,185
Tibolte_ElasticDownload,is.arontibo.library,ProgressDownloadView,makePathBubble,Magic Number,The method contains a magic number: 2,185
