Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
Tibolte_ElasticDownload,is.arontibo.library,AVDWrapper,run,5,2,0,16,0,,
Tibolte_ElasticDownload,is.arontibo.library,AVDWrapper,AVDWrapper,5,1,3,30,0,,
Tibolte_ElasticDownload,is.arontibo.library,AVDWrapper,start,4,1,1,38,0,,
Tibolte_ElasticDownload,is.arontibo.library,AVDWrapper,stop,7,2,0,43,0,,
Tibolte_ElasticDownload,is.arontibo.library,ElasticDownloadView,ElasticDownloadView,7,1,2,23,0,,
Tibolte_ElasticDownload,is.arontibo.library,ElasticDownloadView,onFinishInflate,21,2,0,40,0,,
Tibolte_ElasticDownload,is.arontibo.library,ElasticDownloadView,onGlobalLayout,11,2,0,54,0,,
Tibolte_ElasticDownload,is.arontibo.library,ElasticDownloadView,onRestoreInstanceState,5,1,1,69,0,,
Tibolte_ElasticDownload,is.arontibo.library,ElasticDownloadView,startIntro,3,1,0,77,0,,
Tibolte_ElasticDownload,is.arontibo.library,ElasticDownloadView,setProgress,3,1,1,85,0,,
Tibolte_ElasticDownload,is.arontibo.library,ElasticDownloadView,success,3,1,0,89,0,,
Tibolte_ElasticDownload,is.arontibo.library,ElasticDownloadView,fail,3,1,0,93,0,,
Tibolte_ElasticDownload,is.arontibo.library,ElasticDownloadView,onEnterAnimationFinished,5,1,0,98,0,,
Tibolte_ElasticDownload,is.arontibo.library,ElasticDownloadView,setBackgroundColor,4,1,1,112,0,,
Tibolte_ElasticDownload,is.arontibo.library,ElasticDownloadView,setBackgroundColor,12,2,1,121,0,is.arontibo.library.ElasticDownloadView,is.arontibo.library.ElasticDownloadView
Tibolte_ElasticDownload,is.arontibo.library,IntroView,IntroView,4,1,2,27,0,is.arontibo.library.IntroView,is.arontibo.library.IntroView
Tibolte_ElasticDownload,is.arontibo.library,IntroView,setListener,3,1,1,36,0,,
Tibolte_ElasticDownload,is.arontibo.library,IntroView,init,12,2,0,44,0,,
Tibolte_ElasticDownload,is.arontibo.library,IntroView,startAnimation,15,1,0,63,0,,
Tibolte_ElasticDownload,is.arontibo.library,IntroView,onAnimationDone,4,1,0,69,0,,
Tibolte_ElasticDownload,is.arontibo.library,IntroView,onAnimationStopped,2,1,0,75,0,,
Tibolte_ElasticDownload,is.arontibo.library,ProgressDownloadView,ProgressDownloadView,24,1,2,44,0,,
Tibolte_ElasticDownload,is.arontibo.library,ProgressDownloadView,onDraw,52,8,1,81,0,is.arontibo.library.ProgressDownloadView,is.arontibo.library.ProgressDownloadView
Tibolte_ElasticDownload,is.arontibo.library,ProgressDownloadView,onSizeChanged,6,1,4,144,0,,
Tibolte_ElasticDownload,is.arontibo.library,ProgressDownloadView,makePathBlack,9,2,0,155,0,is.arontibo.library.ProgressDownloadView,is.arontibo.library.ProgressDownloadView
Tibolte_ElasticDownload,is.arontibo.library,ProgressDownloadView,makePathWhite,9,2,0,172,0,is.arontibo.library.ProgressDownloadView,is.arontibo.library.ProgressDownloadView
Tibolte_ElasticDownload,is.arontibo.library,ProgressDownloadView,makePathBubble,27,2,0,185,0,is.arontibo.library.ProgressDownloadView,is.arontibo.library.ProgressDownloadView
Tibolte_ElasticDownload,is.arontibo.library,ProgressDownloadView,calculateDeltaY,9,2,0,238,0,is.arontibo.library.ProgressDownloadView,is.arontibo.library.ProgressDownloadView
Tibolte_ElasticDownload,is.arontibo.library,ProgressDownloadView,setPercentage,11,2,1,251,0,is.arontibo.library.ProgressDownloadView,is.arontibo.library.ProgressDownloadView
Tibolte_ElasticDownload,is.arontibo.library,ProgressDownloadView,setProgress,7,1,1,265,0,is.arontibo.library.ProgressDownloadView,is.arontibo.library.ProgressDownloadView
Tibolte_ElasticDownload,is.arontibo.library,ProgressDownloadView,setFailAngle,7,1,1,273,0,is.arontibo.library.ProgressDownloadView,is.arontibo.library.ProgressDownloadView
Tibolte_ElasticDownload,is.arontibo.library,ProgressDownloadView,setFlip,7,1,1,281,0,is.arontibo.library.ProgressDownloadView,is.arontibo.library.ProgressDownloadView
Tibolte_ElasticDownload,is.arontibo.library,ProgressDownloadView,getProgress,3,1,0,289,0,,
Tibolte_ElasticDownload,is.arontibo.library,ProgressDownloadView,drawFail,11,1,0,293,0,is.arontibo.library.ProgressDownloadView,is.arontibo.library.ProgressDownloadView
Tibolte_ElasticDownload,is.arontibo.library,ProgressDownloadView,drawSuccess,23,1,0,312,0,is.arontibo.library.ProgressDownloadView,is.arontibo.library.ProgressDownloadView
Tibolte_ElasticDownload,is.arontibo.library,ProgressDownloadView,onAnimationStart,2,1,1,323,0,,
