Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
Trololoshe4ki_Forest,(default package),Proba1,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Trololoshe4ki_Forest,(default package),Proba3,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Trololoshe4ki_Forest,(default package),Command,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Trololoshe4ki_Forest,(default package),Command.CommandDell,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Trololoshe4ki_Forest,(default package),Command.Invoker,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: addVertex; deleteVertex; printTree; printVertex; aR
Trololoshe4ki_Forest,(default package),Command.Invoker,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Trololoshe4ki_Forest,(default package),Command.Invoker,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: addVertex; deleteVertex; printTree; printVertex; aR
Trololoshe4ki_Forest,(default package),Command.Receiver,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
Trololoshe4ki_Forest,(default package),Command.Receiver,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Trololoshe4ki_Forest,(default package),Command.ARCommand,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: theAR
Trololoshe4ki_Forest,(default package),Command.ARCommand,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Trololoshe4ki_Forest,(default package),Command.PrintVertexCommand,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: thePrintV
Trololoshe4ki_Forest,(default package),Command.PrintVertexCommand,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Trololoshe4ki_Forest,(default package),Command.PrintTreeCommand,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: thePrintT
Trololoshe4ki_Forest,(default package),Command.PrintTreeCommand,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Trololoshe4ki_Forest,(default package),Command.AddVertexCommand,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: theTest
Trololoshe4ki_Forest,(default package),Command.AddVertexCommand,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Trololoshe4ki_Forest,(default package),Command.DeleteVertexCommand,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: theDelete
Trololoshe4ki_Forest,(default package),Command.DeleteVertexCommand,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Trololoshe4ki_Forest,(default package),Command.TestCommand,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Trololoshe4ki_Forest,(default package),Command.TestCommand,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: tree; sc; numberVertex; R; CDel; CAdd; CPrintT; CPrintV; CaR; IA
Trololoshe4ki_Forest,(default package),Command.TestCommand,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: tree; sc; numberVertex; R; CDel; CAdd; CPrintT; CPrintV; CaR; IA
