Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
Trololoshe4ki_Forest,(default package),Proba1,main,12,2,1,7,0,,
Trololoshe4ki_Forest,(default package),Proba1,command,8,2,0,19,0,,
Trololoshe4ki_Forest,(default package),Proba1,peint,5,2,0,81,0,,
Trololoshe4ki_Forest,(default package),Proba1,addVertex,15,2,0,86,0,,
Trololoshe4ki_Forest,(default package),Proba3,main,35,9,1,8,0,,
Trololoshe4ki_Forest,(default package),Proba3,addVertex,25,3,0,40,0,,
Trololoshe4ki_Forest,(default package),Proba3,deleteVertex,14,4,1,64,0,,
Trololoshe4ki_Forest,(default package),Proba3,metodDelete,19,5,1,77,0,,
Trololoshe4ki_Forest,(default package),Proba3,printTree,5,2,0,96,0,,
Trololoshe4ki_Forest,(default package),Proba3,printVertex,10,2,0,102,0,,
Trololoshe4ki_Forest,(default package),Proba3,rR,40,8,0,112,0,,
Trololoshe4ki_Forest,(default package),Proba3,test,5,1,0,161,0,,
Trololoshe4ki_Forest,(default package),Command,execute,0,1,0,11,0,,
