Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
TymchenkoIvan_study,com.company.constant,AppScopeConstants,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: CONTEXT_USER_SERVICE; CONTEXT_PRODUCT_SERVICE; CONTEXT_ORDER_SERVICE; CONTEXT_BASKET_SERVICE; CONTEXT_CAPTCHA_SAVER; CONTEXT_LOCALE_HANDLER; CONTEXT_COOKIE_TIMEOUT; CONTEXT_SECURITY_DISPATCHER; CONTEXT_RESOURCE_FOLDER
TymchenkoIvan_study,com.company.constant,AppScopeConstants,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: CONTEXT_USER_SERVICE; CONTEXT_PRODUCT_SERVICE; CONTEXT_ORDER_SERVICE; CONTEXT_BASKET_SERVICE; CONTEXT_CAPTCHA_SAVER; CONTEXT_LOCALE_HANDLER; CONTEXT_COOKIE_TIMEOUT; CONTEXT_SECURITY_DISPATCHER; CONTEXT_RESOURCE_FOLDER
TymchenkoIvan_study,com.company.constant,Constants,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: CONTENT_TYPE_IMAGE; CAPTCHA_ID_ARGS; FORM_FIRST_NAME; FORM_LAST_NAME; FORM_LOGIN; FORM_MAIL; FORM_PASSWORD; FORM_RE_PASSWORD; FORM_CAPTCHA_ID; FORM_CAPTCHA_CODE; FORM_NOTIFICATION; FORM_AVATAR; SORT_FORM_SEARCH; SORT_FORM_SORT; SORT_FORM_TYPES; SORT_FORM_BRANDS; SORT_FORM_ON_PAGE; SORT_FORM_MIN_PRICE; SORT_FORM_MAX_PRICE; SORT_FORM_PAGE_NUMBER; ORDER_DETAILS_FORM_DELIVERY; ORDER_DETAILS_FORM_PAYMENT; PRODUCT_ID; LOCALE; PATTERN_MAIL; PATTERN_NAME; PATTERN_PASSWORD; PATTERN_NUMBER; MAX_ITEMS_ON_PAGE; DEFAULT_ITEMS_ON_PAGE; DEFAULT_PAGE; WEB_LOGIN_BEAN; WEB_REGISTER_BEAN; WEB_SORT_BEAN; WEB_PRODUCT_BEANS; WEB_PRODUCT_BEAN; WEB_PRODUCTS_COUNT; WEB_USER; WEB_COUNT_ON_PAGE; WEB_PAGE; WEB_PAGES; WEB_OLD_URL; WEB_ORDER_ID; WEB_LOCALE; WEB_SESSION_BASKET; WEB_SESSION_ORDER_DETAILS; ERROR_EXCEPTIONS_MAP; ERROR_MESSAGE_NAME; REGISTER_ERROR_MESSAGE_VALUE; IMAGE_DIR; AVATAR_FILE; AVATAR_DEFAULT_FILE; PRODUCT_DEFAULT_FILE; PRODUCT_IMAGE_DIR; DIR_LOCALES
TymchenkoIvan_study,com.company.constant,Constants,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: CONTENT_TYPE_IMAGE; CAPTCHA_ID_ARGS; FORM_FIRST_NAME; FORM_LAST_NAME; FORM_LOGIN; FORM_MAIL; FORM_PASSWORD; FORM_RE_PASSWORD; FORM_CAPTCHA_ID; FORM_CAPTCHA_CODE; FORM_NOTIFICATION; FORM_AVATAR; SORT_FORM_SEARCH; SORT_FORM_SORT; SORT_FORM_TYPES; SORT_FORM_BRANDS; SORT_FORM_ON_PAGE; SORT_FORM_MIN_PRICE; SORT_FORM_MAX_PRICE; SORT_FORM_PAGE_NUMBER; ORDER_DETAILS_FORM_DELIVERY; ORDER_DETAILS_FORM_PAYMENT; PRODUCT_ID; LOCALE; PATTERN_MAIL; PATTERN_NAME; PATTERN_PASSWORD; PATTERN_NUMBER; MAX_ITEMS_ON_PAGE; DEFAULT_ITEMS_ON_PAGE; DEFAULT_PAGE; WEB_LOGIN_BEAN; WEB_REGISTER_BEAN; WEB_SORT_BEAN; WEB_PRODUCT_BEANS; WEB_PRODUCT_BEAN; WEB_PRODUCTS_COUNT; WEB_USER; WEB_COUNT_ON_PAGE; WEB_PAGE; WEB_PAGES; WEB_OLD_URL; WEB_ORDER_ID; WEB_LOCALE; WEB_SESSION_BASKET; WEB_SESSION_ORDER_DETAILS; ERROR_EXCEPTIONS_MAP; ERROR_MESSAGE_NAME; REGISTER_ERROR_MESSAGE_VALUE; IMAGE_DIR; AVATAR_FILE; AVATAR_DEFAULT_FILE; PRODUCT_DEFAULT_FILE; PRODUCT_IMAGE_DIR; DIR_LOCALES
TymchenkoIvan_study,com.company.constant,DBConstants,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: ID; NAME; SUBS_USER_ID; USER_LOGIN; USER_ROLE_ID; USER_FIRST_NAME; USER_LAST_NAME; USER_EMAIL; USER_PASS; PRODUCT_TYPE_ID; PRODUCT_BRAND_ID; PRODUCT_PRICE; PRODUCT_NAME; PRODUCT_TEXT; ORDER_USER_ID; ORDER_PAYMENT_ID; ORDER_DELIVERY_ID; ORDER_STATUS_ID; ORDER_STATUS_MESSAGE; ORDER_CREATED; ORDER_ITEM_ORDER_ID; ORDER_ITEM_PRODUCT_ID; ORDER_ITEM_COUNT; ORDER_ITEM_PRICE
TymchenkoIvan_study,com.company.constant,DBConstants,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: ID; NAME; SUBS_USER_ID; USER_LOGIN; USER_ROLE_ID; USER_FIRST_NAME; USER_LAST_NAME; USER_EMAIL; USER_PASS; PRODUCT_TYPE_ID; PRODUCT_BRAND_ID; PRODUCT_PRICE; PRODUCT_NAME; PRODUCT_TEXT; ORDER_USER_ID; ORDER_PAYMENT_ID; ORDER_DELIVERY_ID; ORDER_STATUS_ID; ORDER_STATUS_MESSAGE; ORDER_CREATED; ORDER_ITEM_ORDER_ID; ORDER_ITEM_PRODUCT_ID; ORDER_ITEM_COUNT; ORDER_ITEM_PRICE
TymchenkoIvan_study,com.company.constant,DeployConstants,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: WEB_XML_DELIMITER; WEB_XML_LOCALES; WEB_XML_SECURITY_FILE_PATH; WEB_XML_CAPTCHA_SAVER; WEB_XML_LOCALE_SAVER; WEB_XML_LOCALE_COOKIE_TIMEOUT; WEB_XML_CAPTCHA_TIMEOUT; WEB_XML_RESOURCE_FOLDER; CONTEXT_XML_DATA_SOURCE
TymchenkoIvan_study,com.company.constant,DeployConstants,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: WEB_XML_DELIMITER; WEB_XML_LOCALES; WEB_XML_SECURITY_FILE_PATH; WEB_XML_CAPTCHA_SAVER; WEB_XML_LOCALE_SAVER; WEB_XML_LOCALE_COOKIE_TIMEOUT; WEB_XML_CAPTCHA_TIMEOUT; WEB_XML_RESOURCE_FOLDER; CONTEXT_XML_DATA_SOURCE
TymchenkoIvan_study,com.company.db.dao,MySqlOrderDAO,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
TymchenkoIvan_study,com.company.db.dao,MySqlOrderItemDAO,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
TymchenkoIvan_study,com.company.db.dao,MySqlProductDAO,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
TymchenkoIvan_study,com.company.db.dao,MySqlUserDAO,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
TymchenkoIvan_study,com.company.db,JdbcTransactionManager,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
TymchenkoIvan_study,com.company.entity,Basket,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): Entity
TymchenkoIvan_study,com.company.entity,Brand,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: name
