Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
TymchenkoIvan_study,com.company.db.dao,MySqlOrderDAO,MySqlOrderDAO,2,1,0,26,0,,
TymchenkoIvan_study,com.company.db.dao,MySqlOrderDAO,add,25,2,1,29,0,,
TymchenkoIvan_study,com.company.db.dao,MySqlOrderItemDAO,add,18,2,2,22,0,,
TymchenkoIvan_study,com.company.db.dao,MySqlProductDAO,getProductById,18,2,1,25,0,com.company.db.dao.MySqlProductDAO,com.company.db.dao.MySqlProductDAO
TymchenkoIvan_study,com.company.db.dao,MySqlProductDAO,getProductsByQuery,16,2,1,46,0,com.company.db.dao.MySqlProductDAO,com.company.db.dao.MySqlProductDAO
TymchenkoIvan_study,com.company.db.dao,MySqlProductDAO,getAllProducts,16,2,0,64,0,com.company.db.dao.MySqlProductDAO,com.company.db.dao.MySqlProductDAO
TymchenkoIvan_study,com.company.db.dao,MySqlProductDAO,getProductsCountByQuery,16,2,1,83,0,,
TymchenkoIvan_study,com.company.db.dao,MySqlProductDAO,executeProduct,10,1,1,101,0,,
TymchenkoIvan_study,com.company.db.dao,MySqlUserDAO,MySqlUserDAO,2,1,0,30,0,,
TymchenkoIvan_study,com.company.db.dao,MySqlUserDAO,add,17,1,1,33,0,,
TymchenkoIvan_study,com.company.db.dao,MySqlUserDAO,addUsersNotifications,15,2,2,51,0,,
TymchenkoIvan_study,com.company.db.dao,MySqlUserDAO,isLoginUnique,13,1,1,68,0,,
TymchenkoIvan_study,com.company.db.dao,MySqlUserDAO,getUserByLogin,16,2,1,82,0,com.company.db.dao.MySqlUserDAO,com.company.db.dao.MySqlUserDAO
TymchenkoIvan_study,com.company.db.dao,MySqlUserDAO,executeUser,11,1,1,99,0,,
TymchenkoIvan_study,com.company.db.dao,OrderDAO,add,0,1,1,8,0,,
TymchenkoIvan_study,com.company.db.dao,OrderItemDAO,add,0,1,2,8,0,,
TymchenkoIvan_study,com.company.db.dao,ProductDAO,getProductById,0,1,1,10,0,,
TymchenkoIvan_study,com.company.db.dao,ProductDAO,getProductsByQuery,0,1,1,12,0,,
TymchenkoIvan_study,com.company.db.dao,ProductDAO,getProductsCountByQuery,0,1,1,14,0,,
TymchenkoIvan_study,com.company.db.dao,ProductDAO,getAllProducts,0,1,0,16,0,,
TymchenkoIvan_study,com.company.db.dao,UserDAO,add,0,1,1,13,0,,
TymchenkoIvan_study,com.company.db.dao,UserDAO,addUsersNotifications,0,1,2,15,0,,
TymchenkoIvan_study,com.company.db.dao,UserDAO,isLoginUnique,0,1,1,17,0,,
TymchenkoIvan_study,com.company.db.dao,UserDAO,getUserByLogin,0,1,1,19,0,,
TymchenkoIvan_study,com.company.db,JdbcHolder,setConnection,3,1,1,14,0,,
TymchenkoIvan_study,com.company.db,JdbcHolder,getConnection,3,1,0,18,0,,
TymchenkoIvan_study,com.company.db,JdbcTransactionManager,JdbcTransactionManager,3,1,0,25,0,,
TymchenkoIvan_study,com.company.db,JdbcTransactionManager,execute,25,2,2,29,0,,
TymchenkoIvan_study,com.company.db,JdbcTransactionManager,execute,23,2,1,58,0,,
TymchenkoIvan_study,com.company.db,MySqlConnector,MySqlConnector,10,1,0,22,0,,
TymchenkoIvan_study,com.company.db,MySqlConnector,getConnection,3,1,0,32,0,,
TymchenkoIvan_study,com.company.db,Operation,execute,0,1,0,12,0,,
TymchenkoIvan_study,com.company.db,TransactionManager,execute,0,1,2,11,0,,
TymchenkoIvan_study,com.company.db,TransactionManager,execute,0,1,1,13,0,,
TymchenkoIvan_study,com.company.entity,Basket,Basket,3,1,0,13,0,,
TymchenkoIvan_study,com.company.entity,Basket,addProduct,9,2,1,17,0,,
TymchenkoIvan_study,com.company.entity,Basket,minusProduct,13,4,1,28,0,com.company.entity.Basket,com.company.entity.Basket
TymchenkoIvan_study,com.company.entity,Basket,deleteProduct,8,3,1,42,0,,
TymchenkoIvan_study,com.company.entity,Basket,getProductsCount,7,2,0,51,0,,
TymchenkoIvan_study,com.company.entity,Basket,getTotalPrice,8,2,0,60,0,,
TymchenkoIvan_study,com.company.entity,Basket,print,5,2,0,71,0,,
TymchenkoIvan_study,com.company.entity,Basket,getMap,3,1,0,77,0,,
TymchenkoIvan_study,com.company.entity,Order,getId,3,1,0,15,0,,
TymchenkoIvan_study,com.company.entity,Order,setId,3,1,1,18,0,,
TymchenkoIvan_study,com.company.entity,Order,getUserId,3,1,0,21,0,,
TymchenkoIvan_study,com.company.entity,Order,setUserId,3,1,1,24,0,,
TymchenkoIvan_study,com.company.entity,Order,getPaymentId,3,1,0,27,0,,
TymchenkoIvan_study,com.company.entity,Order,setPaymentId,3,1,1,30,0,,
TymchenkoIvan_study,com.company.entity,Order,getDeliveryId,3,1,0,33,0,,
TymchenkoIvan_study,com.company.entity,Order,setDeliveryId,3,1,1,36,0,,
TymchenkoIvan_study,com.company.entity,Order,getStatusId,3,1,0,39,0,,
TymchenkoIvan_study,com.company.entity,Order,setStatusId,3,1,1,42,0,,
TymchenkoIvan_study,com.company.entity,Order,getStatusMessage,3,1,0,45,0,,
TymchenkoIvan_study,com.company.entity,Order,setStatusMessage,3,1,1,48,0,,
TymchenkoIvan_study,com.company.entity,Order,getCreated,3,1,0,51,0,,
TymchenkoIvan_study,com.company.entity,Order,setCreated,3,1,1,54,0,,
TymchenkoIvan_study,com.company.entity,OrderItem,getId,3,1,0,13,0,,
TymchenkoIvan_study,com.company.entity,OrderItem,setId,3,1,1,16,0,,
TymchenkoIvan_study,com.company.entity,OrderItem,getOrderId,3,1,0,19,0,,
TymchenkoIvan_study,com.company.entity,OrderItem,setOrderId,3,1,1,22,0,,
TymchenkoIvan_study,com.company.entity,OrderItem,getProductId,3,1,0,25,0,,
TymchenkoIvan_study,com.company.entity,OrderItem,setProductId,3,1,1,28,0,,
TymchenkoIvan_study,com.company.entity,OrderItem,getCount,3,1,0,31,0,,
TymchenkoIvan_study,com.company.entity,OrderItem,setCount,3,1,1,34,0,,
TymchenkoIvan_study,com.company.entity,OrderItem,getPrice,3,1,0,37,0,,
TymchenkoIvan_study,com.company.entity,OrderItem,setPrice,3,1,1,40,0,,
TymchenkoIvan_study,com.company.entity,Product,hashCode,6,1,0,14,0,,
TymchenkoIvan_study,com.company.entity,Product,equals,8,5,1,22,0,,
TymchenkoIvan_study,com.company.entity,Product,getId,3,1,0,38,0,,
TymchenkoIvan_study,com.company.entity,Product,setId,3,1,1,41,0,,
TymchenkoIvan_study,com.company.entity,Product,getTypeId,3,1,0,44,0,,
TymchenkoIvan_study,com.company.entity,Product,setTypeId,3,1,1,47,0,,
TymchenkoIvan_study,com.company.entity,Product,getBrandId,3,1,0,50,0,,
TymchenkoIvan_study,com.company.entity,Product,setBrandId,3,1,1,53,0,,
TymchenkoIvan_study,com.company.entity,Product,getPrice,3,1,0,56,0,,
TymchenkoIvan_study,com.company.entity,Product,setPrice,3,1,1,59,0,,
TymchenkoIvan_study,com.company.entity,Product,getName,3,1,0,62,0,,
TymchenkoIvan_study,com.company.entity,Product,setName,3,1,1,65,0,,
TymchenkoIvan_study,com.company.entity,Product,getText,3,1,0,68,0,,
TymchenkoIvan_study,com.company.entity,Product,setText,3,1,1,71,0,,
TymchenkoIvan_study,com.company.entity,User,getLogin,3,1,0,19,0,,
TymchenkoIvan_study,com.company.entity,User,setLogin,3,1,1,22,0,,
TymchenkoIvan_study,com.company.entity,User,getFirstName,3,1,0,25,0,,
TymchenkoIvan_study,com.company.entity,User,setFirstName,3,1,1,28,0,,
TymchenkoIvan_study,com.company.entity,User,getLastName,3,1,0,31,0,,
TymchenkoIvan_study,com.company.entity,User,setLastName,3,1,1,34,0,,
TymchenkoIvan_study,com.company.entity,User,getPassword,3,1,0,37,0,,
TymchenkoIvan_study,com.company.entity,User,setPassword,3,1,1,40,0,,
TymchenkoIvan_study,com.company.entity,User,getEmail,3,1,0,43,0,,
TymchenkoIvan_study,com.company.entity,User,setEmail,3,1,1,46,0,,
TymchenkoIvan_study,com.company.entity,User,getNotifications,3,1,0,49,0,,
TymchenkoIvan_study,com.company.entity,User,setNotifications,3,1,1,52,0,,
TymchenkoIvan_study,com.company.entity,User,getId,3,1,0,55,0,,
TymchenkoIvan_study,com.company.entity,User,setId,3,1,1,58,0,,
TymchenkoIvan_study,com.company.entity,User,getRoleId,3,1,0,61,0,,
TymchenkoIvan_study,com.company.entity,User,setRoleId,3,1,1,64,0,,
TymchenkoIvan_study,com.company.entity.security,Constraint,getUrlPattern,3,1,0,15,0,,
TymchenkoIvan_study,com.company.entity.security,Constraint,setUrlPattern,3,1,1,19,0,,
TymchenkoIvan_study,com.company.entity.security,Constraint,getRoles,3,1,0,24,0,,
TymchenkoIvan_study,com.company.entity.security,Constraint,setRoles,3,1,1,28,0,,
TymchenkoIvan_study,com.company.entity.security,Security,setConstraints,3,1,1,13,0,,
TymchenkoIvan_study,com.company.entity.security,Security,getConstraints,3,1,0,18,0,,
TymchenkoIvan_study,com.company.exception,DataException,DataException,3,1,0,12,0,,
TymchenkoIvan_study,com.company.exception,DataException,DataException,3,1,1,16,0,,
TymchenkoIvan_study,com.company.exception,FilterException,FilterException,3,1,0,12,0,,
TymchenkoIvan_study,com.company.exception,FilterException,FilterException,3,1,1,16,0,,
