Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
UniTime_cpsolver,org.cpsolver.coursett,Constants,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: SLOTS_PER_DAY; DAY_CODES; DAY_CODE_ALL; DAY_CODE_WEEK; SLOT_LENGTH_MIN; FIRST_SLOT_TIME_MIN; DAY_SLOTS_FIRST; DAY_SLOTS_LAST; SLOTS_PER_DAY_NO_EVENINGS; DAY_NAMES_SHORT; NR_DAYS; NR_DAYS_WEEK; sPreferenceProhibited; sPreferenceRequired; sPreferenceStronglyDiscouraged; sPreferenceDiscouraged; sPreferencePreferred; sPreferenceStronglyPreferred; sPreferenceNeutral; sPreferenceLevelProhibited; sPreferenceLevelRequired; sPreferenceLevelStronglyDiscouraged; sPreferenceLevelDiscouraged; sPreferenceLevelPreferred; sPreferenceLevelStronglyPreferred; sPreferenceLevelNeutral
UniTime_cpsolver,org.cpsolver.coursett,GetInfo,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
UniTime_cpsolver,org.cpsolver.coursett,GetInfo.Info,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: iPrefix; iInfo
UniTime_cpsolver,org.cpsolver.coursett,GetInfo.Info,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
UniTime_cpsolver,org.cpsolver.coursett,GetMppInfo,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
UniTime_cpsolver,org.cpsolver.coursett,JenrlChart,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
UniTime_cpsolver,org.cpsolver.coursett,SolutionEvaluator,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
UniTime_cpsolver,org.cpsolver.coursett,Test,Insufficient Modularization,The tool detected the smell in this class because the class is highly complex. The sum of cyclomatic complexity of all methods of this class (i.e. WMC) is: 138
UniTime_cpsolver,org.cpsolver.coursett,Test.ShutdownHook,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: iSolver
UniTime_cpsolver,org.cpsolver.coursett,Test.ShutdownHook,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
UniTime_cpsolver,org.cpsolver.coursett,TimetableSolver,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
