Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
UniTime_cpsolver,org.cpsolver.coursett,Constants,preference2preferenceLevel,Long Identifier,The length of the field sPreferenceLevelStronglyPreferred is 33.,91
UniTime_cpsolver,org.cpsolver.coursett,Constants,preference2preferenceLevel,Long Identifier,The length of the field sPreferenceStronglyDiscouraged is 30.,91
UniTime_cpsolver,org.cpsolver.coursett,Constants,preference2preferenceLevel,Long Identifier,The length of the field sPreferenceLevelStronglyDiscouraged is 35.,91
UniTime_cpsolver,org.cpsolver.coursett,Constants,preferenceLevel2preference,Long Identifier,The length of the field sPreferenceLevelStronglyDiscouraged is 35.,111
UniTime_cpsolver,org.cpsolver.coursett,Constants,preferenceLevel2preference,Long Identifier,The length of the field sPreferenceStronglyDiscouraged is 30.,111
UniTime_cpsolver,org.cpsolver.coursett,Constants,preferenceLevel2preference,Long Identifier,The length of the field sPreferenceLevelStronglyPreferred is 33.,111
UniTime_cpsolver,org.cpsolver.coursett,Constants,preferenceLevel2preference,Magic Number,The method contains a magic number: 2,111
UniTime_cpsolver,org.cpsolver.coursett,Constants,preferenceLevel2preference,Magic Number,The method contains a magic number: 2,111
UniTime_cpsolver,org.cpsolver.coursett,Constants,time2slot,Magic Number,The method contains a magic number: 60,131
UniTime_cpsolver,org.cpsolver.coursett,DomainChart,DomainChart,Long Statement,The length of the statement "this(xmlFile.getName().substring(0`xmlFile.getName().lastIndexOf('.'))`new TimetableModel(new DataProperties())`sizeX`sizeY);" is 125.,56
UniTime_cpsolver,org.cpsolver.coursett,DomainChart,clearTable,Magic Number,The method contains a magic number: 2,64
UniTime_cpsolver,org.cpsolver.coursett,DomainChart,clearTable,Magic Number,The method contains a magic number: 2,64
UniTime_cpsolver,org.cpsolver.coursett,DomainChart,clearTable,Magic Number,The method contains a magic number: 2,64
UniTime_cpsolver,org.cpsolver.coursett,DomainChart,clearTable,Magic Number,The method contains a magic number: 2,64
UniTime_cpsolver,org.cpsolver.coursett,DomainChart,computeTable,Long Statement,The length of the statement "if (lecture.getNrRooms() > 1) add(lecture.nrTimeLocations()`(int)Math.round(Math.pow(lecture.nrRoomLocations()`1.0 / lecture.getNrRooms()))`1);" is 143.,83
UniTime_cpsolver,org.cpsolver.coursett,DomainChart,createTable,Magic Number,The method contains a magic number: 2,94
UniTime_cpsolver,org.cpsolver.coursett,DomainChart,createTable,Magic Number,The method contains a magic number: 2,94
UniTime_cpsolver,org.cpsolver.coursett,DomainChart,main,Long Statement,The length of the statement "if (output.exists() && output.isDirectory()) output=new File(output`input.getName().substring(0`input.getName().lastIndexOf('.')) + "_domain.csv");" is 147.,114
UniTime_cpsolver,org.cpsolver.coursett,DomainChart,main,Magic Number,The method contains a magic number: 2,114
UniTime_cpsolver,org.cpsolver.coursett,DomainChart,main,Magic Number,The method contains a magic number: 3,114
UniTime_cpsolver,org.cpsolver.coursett,DomainChart,main,Magic Number,The method contains a magic number: 3,114
UniTime_cpsolver,org.cpsolver.coursett,GetInfo,getInfoOfASolution,Long Statement,The length of the statement "TimetableXMLLoader loader=new TimetableXMLLoader(new TimetableModel(properties)`new DefaultSingleAssignment<Lecture`Placement>());" is 130.,54
UniTime_cpsolver,org.cpsolver.coursett,GetInfo,getInfo,Magic Number,The method contains a magic number: 2,80
UniTime_cpsolver,org.cpsolver.coursett,GetInfo,getInfo,Magic Number,The method contains a magic number: 2,118
