Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
UniTime_cpsolver,org.cpsolver.coursett,Constants,preference2preferenceLevel,9,7,1,91,0,,
UniTime_cpsolver,org.cpsolver.coursett,Constants,preferenceLevel2preference,9,7,1,111,0,,
UniTime_cpsolver,org.cpsolver.coursett,Constants,time2slot,3,1,2,131,0,,
UniTime_cpsolver,org.cpsolver.coursett,DomainChart,DomainChart,7,1,4,48,0,,
UniTime_cpsolver,org.cpsolver.coursett,DomainChart,DomainChart,6,1,3,56,0,,
UniTime_cpsolver,org.cpsolver.coursett,DomainChart,clearTable,10,5,0,64,0,,
UniTime_cpsolver,org.cpsolver.coursett,DomainChart,add,3,1,3,79,0,,
UniTime_cpsolver,org.cpsolver.coursett,DomainChart,computeTable,7,3,0,83,0,org.cpsolver.coursett.DomainChart,org.cpsolver.coursett.DomainChart
UniTime_cpsolver,org.cpsolver.coursett,DomainChart,createTable,16,5,0,94,0,org.cpsolver.coursett.DomainChart,org.cpsolver.coursett.DomainChart
UniTime_cpsolver,org.cpsolver.coursett,DomainChart,main,20,3,1,114,0,org.cpsolver.coursett.DomainChart,org.cpsolver.coursett.DomainChart
UniTime_cpsolver,org.cpsolver.coursett,GetInfo,getInfoOfASolution,25,3,1,54,0,,
UniTime_cpsolver,org.cpsolver.coursett,GetInfo,getInfo,38,7,1,80,0,,
UniTime_cpsolver,org.cpsolver.coursett,GetInfo,getInfo,38,7,1,118,0,,
UniTime_cpsolver,org.cpsolver.coursett,GetInfo,getInfo,33,7,1,156,0,,
UniTime_cpsolver,org.cpsolver.coursett,GetInfo,getInfo,45,7,3,191,0,org.cpsolver.coursett.GetInfo,org.cpsolver.coursett.GetInfo
UniTime_cpsolver,org.cpsolver.coursett,GetInfo,getInfos,6,3,3,244,0,org.cpsolver.coursett.GetInfo,org.cpsolver.coursett.GetInfo
UniTime_cpsolver,org.cpsolver.coursett,GetInfo,writeInfos,28,4,2,253,0,,
UniTime_cpsolver,org.cpsolver.coursett,GetInfo,main,12,2,1,281,0,org.cpsolver.coursett.GetInfo,org.cpsolver.coursett.GetInfo
UniTime_cpsolver,org.cpsolver.coursett,GetMppInfo,getInfo,38,7,1,39,0,,
UniTime_cpsolver,org.cpsolver.coursett,GetMppInfo,getInfos,27,7,3,77,0,org.cpsolver.coursett.GetMppInfo,org.cpsolver.coursett.GetMppInfo
UniTime_cpsolver,org.cpsolver.coursett,GetMppInfo,writeInfos,33,9,2,108,0,,
UniTime_cpsolver,org.cpsolver.coursett,GetMppInfo,main,27,9,1,146,0,org.cpsolver.coursett.GetMppInfo,org.cpsolver.coursett.GetMppInfo
UniTime_cpsolver,org.cpsolver.coursett,IdConvertor,IdConvertor,4,1,1,49,0,org.cpsolver.coursett.IdConvertor,org.cpsolver.coursett.IdConvertor
UniTime_cpsolver,org.cpsolver.coursett,IdConvertor,getInstance,4,2,0,59,0,,
UniTime_cpsolver,org.cpsolver.coursett,IdConvertor,convert,15,3,2,68,0,,
UniTime_cpsolver,org.cpsolver.coursett,IdConvertor,clear,3,1,0,89,0,,
UniTime_cpsolver,org.cpsolver.coursett,IdConvertor,save,33,4,1,96,0,,
UniTime_cpsolver,org.cpsolver.coursett,IdConvertor,save,4,3,0,133,0,org.cpsolver.coursett.IdConvertor,org.cpsolver.coursett.IdConvertor
UniTime_cpsolver,org.cpsolver.coursett,IdConvertor,load,22,4,1,143,0,,
UniTime_cpsolver,org.cpsolver.coursett,IdConvertor,load,4,3,0,169,0,org.cpsolver.coursett.IdConvertor,org.cpsolver.coursett.IdConvertor
UniTime_cpsolver,org.cpsolver.coursett,JenrlChart,JenrlChart,4,1,3,39,0,,
UniTime_cpsolver,org.cpsolver.coursett,JenrlChart,JenrlChart,6,1,2,44,0,,
UniTime_cpsolver,org.cpsolver.coursett,JenrlChart,computeTable,28,8,0,51,0,,
UniTime_cpsolver,org.cpsolver.coursett,JenrlChart,compare,7,3,2,55,0,,
UniTime_cpsolver,org.cpsolver.coursett,JenrlChart,main,19,3,1,86,0,,
UniTime_cpsolver,org.cpsolver.coursett,SolutionEvaluator,main,12,1,1,42,0,,
UniTime_cpsolver,org.cpsolver.coursett,Test,getVersionString,3,1,0,122,0,,
UniTime_cpsolver,org.cpsolver.coursett,Test,init,4,1,1,130,0,,
