Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
UniTime_cpsolver,org.cpsolver.coursett,Constants,26,26,3,3,147,15,0,0,0.6666666666666666,68,0,E:\Repositories\Cloned_Reposit\UniTime_cpsolver\src\org\cpsolver\coursett\Constants.java,3
UniTime_cpsolver,org.cpsolver.coursett,DomainChart,9,0,7,4,83,19,1,0,0.0,0,5,E:\Repositories\Cloned_Reposit\UniTime_cpsolver\src\org\cpsolver\coursett\DomainChart.java,15
UniTime_cpsolver,org.cpsolver.coursett,GetInfo,2,0,8,8,245,40,0,0,0.375,0,6,E:\Repositories\Cloned_Reposit\UniTime_cpsolver\src\org\cpsolver\coursett\GetInfo.java,28
UniTime_cpsolver,org.cpsolver.coursett,GetInfo.Info,2,0,0,0,14,0,0,0,-1.0,0,0,E:\Repositories\Cloned_Reposit\UniTime_cpsolver\src\org\cpsolver\coursett\GetInfo.java,294
UniTime_cpsolver,org.cpsolver.coursett,GetMppInfo,0,0,4,4,131,32,0,0,-1.0,0,0,E:\Repositories\Cloned_Reposit\UniTime_cpsolver\src\org\cpsolver\coursett\GetMppInfo.java,14
UniTime_cpsolver,org.cpsolver.coursett,IdConvertor,4,0,8,8,130,21,0,0,0.25,5,0,E:\Repositories\Cloned_Reposit\UniTime_cpsolver\src\org\cpsolver\coursett\IdConvertor.java,17
UniTime_cpsolver,org.cpsolver.coursett,JenrlChart,1,0,5,4,64,16,0,1,0.6,0,3,E:\Repositories\Cloned_Reposit\UniTime_cpsolver\src\org\cpsolver\coursett\JenrlChart.java,13
UniTime_cpsolver,org.cpsolver.coursett,SolutionEvaluator,0,0,1,1,18,1,0,0,-1.0,0,7,E:\Repositories\Cloned_Reposit\UniTime_cpsolver\src\org\cpsolver\coursett\SolutionEvaluator.java,14
UniTime_cpsolver,org.cpsolver.coursett,Test,10,0,17,15,832,138,0,0,0.47058823529411764,2,35,E:\Repositories\Cloned_Reposit\UniTime_cpsolver\src\org\cpsolver\coursett\Test.java,62
UniTime_cpsolver,org.cpsolver.coursett,Test.ShutdownHook,1,0,0,0,64,0,0,0,-1.0,0,2,E:\Repositories\Cloned_Reposit\UniTime_cpsolver\src\org\cpsolver\coursett\Test.java,1078
UniTime_cpsolver,org.cpsolver.coursett,TimetableLoader,0,0,1,1,14,1,1,0,-1.0,1,2,E:\Repositories\Cloned_Reposit\UniTime_cpsolver\src\org\cpsolver\coursett\TimetableLoader.java,10
UniTime_cpsolver,org.cpsolver.coursett,TimetableSaver,0,0,1,1,13,1,1,0,-1.0,0,1,E:\Repositories\Cloned_Reposit\UniTime_cpsolver\src\org\cpsolver\coursett\TimetableSaver.java,10
UniTime_cpsolver,org.cpsolver.coursett,TimetableSolver,4,0,4,2,113,30,0,0,0.5,0,9,E:\Repositories\Cloned_Reposit\UniTime_cpsolver\src\org\cpsolver\coursett\TimetableSolver.java,16
UniTime_cpsolver,org.cpsolver.coursett,TimetableXMLLoader,11,0,9,8,762,169,0,1,0.0,4,22,E:\Repositories\Cloned_Reposit\UniTime_cpsolver\src\org\cpsolver\coursett\TimetableXMLLoader.java,51
UniTime_cpsolver,org.cpsolver.coursett,TimetableXMLLoader.DatePattern,3,0,0,0,43,0,0,0,-1.0,0,0,E:\Repositories\Cloned_Reposit\UniTime_cpsolver\src\org\cpsolver\coursett\TimetableXMLLoader.java,1013
UniTime_cpsolver,org.cpsolver.coursett,TimetableXMLSaver,12,1,8,4,447,145,0,1,0.0,0,10,E:\Repositories\Cloned_Reposit\UniTime_cpsolver\src\org\cpsolver\coursett\TimetableXMLSaver.java,51
UniTime_cpsolver,org.cpsolver.coursett.constraint,BreakFlexibleConstraint,3,0,5,4,108,24,0,1,0.0,0,4,E:\Repositories\Cloned_Reposit\UniTime_cpsolver\src\org\cpsolver\coursett\constraint\BreakFlexibleConstraint.java,20
UniTime_cpsolver,org.cpsolver.coursett.constraint,ClassLimitConstraint,5,0,15,15,108,32,0,0,0.0,1,3,E:\Repositories\Cloned_Reposit\UniTime_cpsolver\src\org\cpsolver\coursett\constraint\ClassLimitConstraint.java,15
UniTime_cpsolver,org.cpsolver.coursett.constraint,ClassLimitConstraint.ClassLimitComparator,0,0,0,0,11,0,0,0,-1.0,0,0,E:\Repositories\Cloned_Reposit\UniTime_cpsolver\src\org\cpsolver\coursett\constraint\ClassLimitConstraint.java,157
UniTime_cpsolver,org.cpsolver.coursett.constraint,DepartmentSpreadConstraint,1,0,4,3,20,4,0,1,0.75,3,3,E:\Repositories\Cloned_Reposit\UniTime_cpsolver\src\org\cpsolver\coursett\constraint\DepartmentSpreadConstraint.java,10
UniTime_cpsolver,org.cpsolver.coursett.constraint,DiscouragedRoomConstraint,4,0,9,9,80,13,0,1,1.0,0,4,E:\Repositories\Cloned_Reposit\UniTime_cpsolver\src\org\cpsolver\coursett\constraint\DiscouragedRoomConstraint.java,13
UniTime_cpsolver,org.cpsolver.coursett.constraint,DiscouragedRoomConstraint.DiscouragedRoomConstraintContext,3,0,0,0,41,0,0,0,-1.0,0,0,E:\Repositories\Cloned_Reposit\UniTime_cpsolver\src\org\cpsolver\coursett\constraint\DiscouragedRoomConstraint.java,92
UniTime_cpsolver,org.cpsolver.coursett.constraint,ExtendedStudentConflicts,5,0,23,15,177,60,0,0,0.391304347826087,0,8,E:\Repositories\Cloned_Reposit\UniTime_cpsolver\src\org\cpsolver\coursett\constraint\ExtendedStudentConflicts.java,24
UniTime_cpsolver,org.cpsolver.coursett.constraint,FlexibleConstraint,16,0,22,18,357,44,8,0,0.3181818181818182,1,5,E:\Repositories\Cloned_Reposit\UniTime_cpsolver\src\org\cpsolver\coursett\constraint\FlexibleConstraint.java,23
UniTime_cpsolver,org.cpsolver.coursett.constraint,FlexibleConstraint.FlexibleConstraintType,3,0,0,0,53,0,0,0,-1.0,0,0,E:\Repositories\Cloned_Reposit\UniTime_cpsolver\src\org\cpsolver\coursett\constraint\FlexibleConstraint.java,63
